,ZipCode,Total,MedFosters
0,78704,119,7
1,78705,91,2
2,78741,82,5
3,78745,77,6
4,78749,54,0
5,78748,50,3
6,78702,45,0
7,78703,38,0
8,78759,35,0
9,78746,34,3
10,78751,34,1
11,78723,31,2
12,78758,30,1
13,78731,30,3
14,78660,29,3
15,78727,27,1
16,78744,27,0
17,78757,27,2
18,78613,26,2
19,78735,23,0
20,78729,21,1
21,78737,19,0
22,78752,19,0
23,78753,19,2
24,78664,18,0
25,78734,18,0
26,78739,17,0
27,78641,16,1
28,78750,15,0
29,78610,15,1
30,78747,13,0
31,78666,13,0
32,78681,13,1
33,78722,13,0
34,78701,12,0
35,78756,11,0
36,78754,11,1
37,78717,11,0
38,78738,11,1
39,78730,10,0
40,78640,10,0
41,78721,10,2
42,78728,10,0
43,78725,10,0
44,78665,10,0
45,78736,8,1
46,78628,7,0
47,78726,7,0
48,78634,6,0
49,78620,6,0
50,78653,6,0
51,78732,6,0
52,78645,5,0
53,78626,5,0
54,78724,5,1
55,78619,4,0
56,78669,4,0
57,78652,4,1
58,78621,4,0
59,78733,4,1
60,78602,3,0
61,76537,3,0
62,78676,2,0
63,78612,2,0
64,78655,1,0
65,78667,1,0
66,78715,1,0
67,"us, 78703",1,0
68,78713,1,0
69,79746,1,0
70,76549,1,0
71,78642,1,0
72,79703,1,0
73,72402,1,0
74,78789,1,0
75,23225,1,0
76,78605,1,0
77,787491880,1,0
78,75705,1,0
