,FosterZipCode,MedFosters
78704,178,5
78705,134,0
78741,94,6
78745,82,1
78748,70,0
78702,65,2
78749,63,1
78758,59,2
78759,55,1
78660,54,2
78723,53,3
78757,50,2
78731,48,1
78703,45,1
78751,45,2
78744,42,1
78727,41,2
78613,40,1
78746,34,1
78752,32,0
78701,32,0
78753,27,2
78754,27,1
78735,26,1
78750,25,1
78681,24,0
78664,24,0
78641,24,2
78737,21,0
78665,21,0
78717,21,0
78729,21,2
78726,20,0
78739,20,1
78721,18,2
78725,17,0
78728,17,0
78756,17,0
78610,16,1
78722,16,0
78666,15,0
78732,14,0
78724,14,0
78626,14,0
78734,14,0
78730,14,0
78747,13,0
78628,12,0
78653,11,1
78640,11,0
78736,10,1
78634,10,0
78738,10,0
78733,8,1
78621,7,0
78617,6,0
78612,6,0
78620,6,0
78645,4,0
76537,3,0
78642,3,0
76513,3,0
78669,3,0
78676,2,0
78652,2,0
78829,2,0
76557,1,0
78132,1,0
78667,1,0
78633,1,0
78210,1,0
76502,1,0
78260,1,0
78629,1,0
78130,1,0
76549,1,0
78957,1,0
78619,1,0
78784,1,0
78214,1,0
78659,1,0
78654,1,0
78648,1,0
78953,1,0
77479,1,0
78644,1,0
78602,1,0
76801,1,0
