,FosterZipCode
78704,1018
78705,783
78745,553
78749,502
78741,484
78759,440
78748,428
78613,411
78660,371
78727,362
78731,356
78723,342
78757,329
78744,311
78746,294
78758,289
78751,284
78717,254
78703,244
78702,240
78739,236
78732,219
78729,209
78641,179
78752,177
78753,177
78665,172
78701,161
78735,151
78728,150
78737,130
78726,128
78722,128
78754,124
78756,121
78681,117
78664,113
78750,110
78721,108
78734,102
78610,88
78738,86
78725,76
78640,71
78724,70
78653,68
78733,66
78736,62
78747,58
78628,53
78730,52
76537,46
78634,46
78617,44
78620,42
78626,40
78645,38
78666,30
78612,28
78652,25
78648,23
78642,22
78621,18
76574,14
78654,12
76502,11
43231,10
78130,9
78676,9
78619,9
79732,8
78762,8
78669,8
79751,7
75025,6
78214,5
78780,5
78784,4
78616,4
75042,4
78829,4
76513,4
78651,4
77024,3
76801,2
78682,2
77546,2
77479,2
78644,2
66048,2
78629,2
78667,2
78957,2
78633,1
77836,1
79745,1
78646,1
78260,1
76549,1
78210,1
78574,1
78132,1
76557,1
98926,1
79922,1
78659,1
78336,1
78953,1
78602,1
77459,1
