,Zip Code,Total ,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races ,Two or more races Two races including Some other race,"Two or more races Two races excluding Some other race, and three or more races"
0,78610,"1,996","1,514",594,233,315,30,449,"1,345","1,183",492
3,78612,"2,025","1,146",622,81,198,22,"1,414","1,215","1,207",116
6,78613,"1,563","2,419",752,206,"1,091",211,848,"1,106",819,957
9,78615,490,340,14,167,14,14,42,315,316,7
12,78617,"2,213","1,868",316,46,284,26,"2,125",921,891,142
15,78620,"1,467","1,418",141,26,149,96,198,318,235,212
18,78621,"1,743","1,507",642,12,94,26,"1,468",798,733,252
21,78634,"1,427","1,535","1,048",182,317,75,663,"1,127",943,532
24,78641,"1,938","2,221","1,410",68,691,68,742,"1,266",595,"1,087"
27,78645,640,621,182,53,59,17,47,81,46,69
30,78652,957,896,137,20,69,20,80,352,357,25
33,78653,"2,992","3,003","1,308",168,327,26,"1,399","1,038",896,503
36,78654,768,870,315,67,115,47,518,225,208,127
39,78660,"4,829","3,282","2,243",352,"1,652",86,"1,588","4,289","4,194","1,180"
42,78663,277,258,14,14,14,70,6,14,14,14
45,78664,"2,226","2,190","1,331",16,970,33,832,"1,429","1,080","1,124"
48,78669,"1,161",978,461,14,418,19,128,191,96,156
51,78701,"1,428","1,281",166,3,440,22,117,436,413,166
54,78702,"1,893","1,364",663,69,156,9,718,"1,113","1,084",299
57,78703,"1,607","1,535",126,12,359,26,120,255,167,183
60,78704,"2,514","2,459",748,259,361,91,404,874,662,511
63,78705,"1,906","1,369",409,54,517,26,221,646,479,348
66,78712,331,239,98,14,30,14,26,49,52,27
69,78719,409,337,126,12,14,14,242,51,35,37
72,78721,961,751,454,85,92,22,462,341,250,172
75,78722,589,434,264,44,99,20,162,229,213,102
78,78723,"2,022","1,656",867,109,352,30,"1,541",630,596,369
81,78724,"2,304","1,437",800,181,66,29,"1,808","1,544","1,389",720
84,78725,952,822,367,14,52,20,816,486,446,134
87,78726,"1,474","1,434",177,68,691,22,305,517,22,517
90,78727,"1,925","1,744",831,228,716,30,314,600,429,410
93,78728,"2,116","1,658","1,112",76,547,26,499,922,896,276
96,78729,"1,691","1,400",545,72,729,26,373,641,389,486
99,78730,"1,430",927,106,38,285,230,116,615,192,590
102,78731,"1,629","1,632",174,86,530,26,161,372,319,183
105,78732,"2,571","2,407",372,22,426,22,11,582,496,316
108,78733,997,859,101,20,465,28,116,339,282,178
111,78734,"1,183","1,119",339,41,232,22,143,569,424,322
114,78735,"1,408","1,245",532,139,563,22,147,284,92,268
117,78736,"1,265","1,314",104,26,176,22,64,208,189,80
120,78737,"1,969","1,365",162,36,311,26,164,"1,573","1,564",414
123,78738,740,727,117,27,502,22,202,313,192,240
126,78739,"1,440","1,118",448,23,699,26,241,309,183,247
129,78741,"2,277","1,787","1,051",297,437,68,"1,137",927,740,495
132,78742,371,234,98,14,14,14,184,140,140,21
135,78744,"2,941","1,877","1,040",299,251,13,"2,006","1,485","1,312",545
138,78745,"3,118","2,729",672,179,449,33,"1,040",746,595,427
141,78746,"1,028","1,105",146,10,525,26,284,150,58,141
144,78747,"1,142","1,390",289,177,329,39,"1,015",432,141,399
147,78748,"2,931","3,118",705,146,704,33,339,"1,149",468,"1,011"
150,78749,"2,252","1,820",521,41,775,30,534,"1,122",458,"1,001"
153,78750,"2,270","1,862",902,109,"1,091",8,528,974,316,924
156,78751,"1,355","1,019",223,58,458,50,375,581,544,147
159,78752,"1,980","1,591",871,468,402,117,"1,054","1,038","1,016",280
162,78753,"3,164","2,363","1,447",622,912,33,"1,871","1,013",664,669
165,78754,"2,497","1,550","1,511",181,819,121,"1,941",522,193,512
168,78756,"1,124",694,145,27,222,20,60,473,377,161
171,78757,"2,406","1,395",588,26,259,26,957,"1,449","1,370",244
174,78758,"3,125","2,255",965,324,"1,024",48,"1,498","1,436","1,331",388
177,78759,"2,097","1,626",407,20,674,23,429,921,708,608
180,"Travis County, Texas",*****,"6,261","1,808","1,218","1,560",343,"5,152","5,205","5,052","2,750"
