"Label (Grouping)","Total:","Total:!!Not Hispanic or Latino","Total:!!Hispanic or Latino"
"ZCTA5 78610","","",""
"    Estimate","39,498","23,880","15,618"
"    Margin of Error","±1,996","±1,415","±1,787"
"ZCTA5 78612","","",""
"    Estimate","16,234","7,202","9,032"
"    Margin of Error","±2,025","±1,025","±1,765"
"ZCTA5 78613","","",""
"    Estimate","83,876","65,898","17,978"
"    Margin of Error","±1,563","±2,139","±1,723"
"ZCTA5 78615","","",""
"    Estimate","1,363","745","618"
"    Margin of Error","±490","±226","±455"
"ZCTA5 78617","","",""
"    Estimate","28,376","7,193","21,183"
"    Margin of Error","±2,213","±1,290","±2,181"
"ZCTA5 78620","","",""
"    Estimate","18,420","15,334","3,086"
"    Margin of Error","±1,467","±1,363","±863"
"ZCTA5 78621","","",""
"    Estimate","24,590","14,789","9,801"
"    Margin of Error","±1,743","±1,167","±1,503"
"ZCTA5 78634","","",""
"    Estimate","37,298","25,090","12,208"
"    Margin of Error","±1,427","±1,239","±1,349"
"ZCTA5 78641","","",""
"    Estimate","78,568","60,233","18,335"
"    Margin of Error","±1,938","±2,343","±1,815"
"ZCTA5 78645","","",""
"    Estimate","11,873","10,182","1,691"
"    Margin of Error","±640","±692","±588"
"ZCTA5 78652","","",""
"    Estimate","5,763","3,811","1,952"
"    Margin of Error","±957","±686","±653"
"ZCTA5 78653","","",""
"    Estimate","29,622","14,055","15,567"
"    Margin of Error","±2,992","±1,691","±2,960"
"ZCTA5 78654","","",""
"    Estimate","18,524","13,704","4,820"
"    Margin of Error","±768","±772","±625"
"ZCTA5 78660","","",""
"    Estimate","101,937","65,086","36,851"
"    Margin of Error","±4,829","±2,978","±4,754"
"ZCTA5 78663","","",""
"    Estimate","782","756","26"
"    Margin of Error","±277","±274","±30"
"ZCTA5 78664","","",""
"    Estimate","63,661","41,649","22,012"
"    Margin of Error","±2,226","±2,594","±1,972"
"ZCTA5 78669","","",""
"    Estimate","14,038","12,874","1,164"
"    Margin of Error","±1,161","±1,148","±347"
"ZCTA5 78701","","",""
"    Estimate","11,903","10,056","1,847"
"    Margin of Error","±1,428","±1,533","±644"
