"Label (Grouping)","Population 3 years and over enrolled in school","Population 3 years and over enrolled in school!!Nursery school, preschool","Population 3 years and over enrolled in school!!Kindergarten to 12th grade","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Kindergarten","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 1 to grade 4","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 5 to grade 8","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!High school: grade 9 to grade 12","Population 3 years and over enrolled in school!!College, undergraduate","Population 3 years and over enrolled in school!!Graduate, professional school","Population enrolled in college or graduate school","Population enrolled in college or graduate school!!Males enrolled in college or graduate school","Population enrolled in college or graduate school!!Females enrolled in college or graduate school","Population 3 to 4 years","Population 3 to 4 years!!3 to 4 year olds enrolled in school","Population 5 to 9 years","Population 5 to 9 years!!5 to 9 year olds enrolled in school","Population 10 to 14 years","Population 10 to 14 years!!10 to 14 year olds enrolled in school","Population 15 to 17","Population 15 to 17!!15 to 17 year olds enrolled in school","Population 18 to 19 years","Population 18 to 19 years!!18 and 19 year olds enrolled in school","Population 20 to 24 years","Population 20 to 24 years!!20 to 24 year olds enrolled in school","Population 25 to 34 years","Population 25 to 34 years!!25 to 34 year olds enrolled in school","Population 35 years and over","Population 35 years and over!!35 years and over enrolled in school","Population 18 to 24 years","Population 18 to 24 years!!Enrolled in college or graduate school","Population 18 to 24 years!!Males 18 to 24 years","Population 18 to 24 years!!Males 18 to 24 years!!Enrolled in college or graduate school","Population 18 to 24 years!!Females 18 to 24 years","Population 18 to 24 years!!Females 18 to 24 years!!Enrolled in college or graduate school"
"ZCTA5 78610","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","9,433","443","7,340","537","2,714","2,028","2,061","1,215","435","1,650","749","901","1,109","313","3,938","3,085","2,607","2,607","1,486","1,482","748","525","2,417","536","5,850","371","19,547","514","3,165","774","1,974","420","1,191","354"
"        Margin of Error","±1,393","±196","±1,122","±210","±974","±498","±400","±434","±302","±516","±384","±412","±324","±166","±985","±935","±554","±554","±352","±353","±302","±255","±572","±342","±782","±195","±1,146","±361","±702","±390","±606","±311","±349","±220"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","4.7%","77.8%","5.7%","28.8%","21.5%","21.8%","12.9%","4.6%","17.5%","15.7%","19.4%","(X)","28.2%","(X)","78.3%","(X)","100.0%","(X)","99.7%","(X)","70.2%","(X)","22.2%","(X)","6.3%","(X)","2.6%","(X)","24.5%","(X)","21.3%","(X)","29.7%"
"        Margin of Error","(X)","±2.1","±4.2","±2.7","±7.3","±4.3","±5.1","±4.5","±2.9","±4.5","±7.6","±7.0","(X)","±13.4","(X)","±10.2","(X)","±1.7","(X)","±0.5","(X)","±13.9","(X)","±12.8","(X)","±3.4","(X)","±1.9","(X)","±10.8","(X)","±13.7","(X)","±14.5"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","215","6,463","376","2,532","1,612","1,943","1,126","394","1,520","718","802","(X)","150","(X)","2,679","(X)","2,189","(X)","1,364","(X)","525","(X)","528","(X)","354","(X)","409","(X)","766","(X)","417","(X)","349"
"        Margin of Error","(X)","±121","±968","±142","±915","±420","±365","±441","±299","±516","±382","±399","(X)","±91","(X)","±941","(X)","±469","(X)","±328","(X)","±255","(X)","±342","(X)","±194","(X)","±331","(X)","±390","(X)","±311","(X)","±220"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","86.9%","48.5%","88.1%","70.0%","93.3%","79.5%","94.3%","92.7%","90.6%","92.1%","95.9%","89.0%","(X)","47.9%","(X)","86.8%","(X)","84.0%","(X)","92.0%","(X)","100.0%","(X)","98.5%","(X)","95.4%","(X)","79.6%","(X)","99.0%","(X)","99.3%","(X)","98.6%"
"        Margin of Error","±6.1","±20.1","±7.2","±21.4","±9.6","±15.4","±6.3","±6.1","±13.2","±5.5","±5.1","±9.1","(X)","±22.5","(X)","±9.5","(X)","±12.0","(X)","±8.8","(X)","±8.2","(X)","±1.7","(X)","±8.2","(X)","±17.4","(X)","±1.1","(X)","±1.3","(X)","±1.6"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","228","877","161","182","416","118","89","41","130","31","99","(X)","163","(X)","406","(X)","418","(X)","118","(X)","0","(X)","8","(X)","17","(X)","105","(X)","8","(X)","3","(X)","5"
"        Margin of Error","(X)","±146","±580","±150","±270","±343","±139","±65","±48","±83","±33","±79","(X)","±127","(X)","±272","(X)","±343","(X)","±139","(X)","±30","(X)","±7","(X)","±30","(X)","±78","(X)","±7","(X)","±4","(X)","±5"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","13.1%","51.5%","11.9%","30.0%","6.7%","20.5%","5.7%","7.3%","9.4%","7.9%","4.1%","11.0%","(X)","52.1%","(X)","13.2%","(X)","16.0%","(X)","8.0%","(X)","0.0%","(X)","1.5%","(X)","4.6%","(X)","20.4%","(X)","1.0%","(X)","0.7%","(X)","1.4%"
"        Margin of Error","±6.1","±20.1","±7.2","±21.4","±9.6","±15.4","±6.3","±6.1","±13.2","±5.5","±5.1","±9.1","(X)","±22.5","(X)","±9.5","(X)","±12.0","(X)","±8.8","(X)","±8.2","(X)","±1.7","(X)","±8.2","(X)","±17.4","(X)","±1.1","(X)","±1.3","(X)","±1.6"
"ZCTA5 78612","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,936","299","4,716","119","1,161","1,623","1,813","726","195","921","272","649","547","153","1,371","1,220","2,263","2,263","1,171","1,171","392","345","736","241","1,815","451","7,414","92","1,128","400","525","90","603","310"
"        Margin of Error","±1,020","±199","±880","±135","±385","±446","±417","±354","±158","±391","±202","±300","±358","±150","±403","±382","±531","±531","±294","±294","±215","±216","±276","±201","±431","±211","±911","±74","±347","±303","±258","±143","±244","±218"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","5.0%","79.4%","2.0%","19.6%","27.3%","30.5%","12.2%","3.3%","15.5%","8.7%","23.0%","(X)","28.0%","(X)","89.0%","(X)","100.0%","(X)","100.0%","(X)","88.0%","(X)","32.7%","(X)","24.8%","(X)","1.2%","(X)","35.5%","(X)","17.1%","(X)","51.4%"
"        Margin of Error","(X)","±3.2","±6.6","±2.3","±5.1","±5.1","±6.5","±5.5","±2.7","±6.0","±6.4","±8.5","(X)","±19.5","(X)","±9.4","(X)","±2.0","(X)","±3.8","(X)","±18.4","(X)","±22.7","(X)","±10.4","(X)","±1.1","(X)","±21.1","(X)","±25.9","(X)","±23.9"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","177","4,142","119","1,050","1,430","1,543","552","23","575","161","414","(X)","92","(X)","1,073","(X)","1,936","(X)","1,010","(X)","345","(X)","88","(X)","258","(X)","92","(X)","247","(X)","0","(X)","247"
"        Margin of Error","(X)","±158","±882","±135","±375","±436","±426","±254","±40","±253","±119","±227","(X)","±122","(X)","±336","(X)","±495","(X)","±306","(X)","±216","(X)","±111","(X)","±141","(X)","±74","(X)","±199","(X)","±22","(X)","±199"
