"Label (Grouping)","AGE BY EDUCATIONAL ATTAINMENT","AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years","AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years!!Less than high school graduate","AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years!!High school graduate (includes equivalency)","AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years!!Some college or associate's degree","AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years!!Bachelor's degree or higher","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency)","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate or higher","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 to 34 years","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 to 34 years!!High school graduate or higher","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 to 34 years!!Bachelor's degree or higher","AGE BY EDUCATIONAL ATTAINMENT!!Population 35 to 44 years","AGE BY EDUCATIONAL ATTAINMENT!!Population 35 to 44 years!!High school graduate or higher","AGE BY EDUCATIONAL ATTAINMENT!!Population 35 to 44 years!!Bachelor's degree or higher","AGE BY EDUCATIONAL ATTAINMENT!!Population 45 to 64 years","AGE BY EDUCATIONAL ATTAINMENT!!Population 45 to 64 years!!High school graduate or higher","AGE BY EDUCATIONAL ATTAINMENT!!Population 45 to 64 years!!Bachelor's degree or higher","AGE BY EDUCATIONAL ATTAINMENT!!Population 65 years and over","AGE BY EDUCATIONAL ATTAINMENT!!Population 65 years and over!!High school graduate or higher","AGE BY EDUCATIONAL ATTAINMENT!!Population 65 years and over!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone, not Hispanic or Latino","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone, not Hispanic or Latino!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone, not Hispanic or Latino!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Black alone","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Black alone!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Black alone!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!American Indian or Alaska Native alone","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!American Indian or Alaska Native alone!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!American Indian or Alaska Native alone!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Asian alone","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Asian alone!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Asian alone!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Native Hawaiian and Other Pacific Islander alone","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Native Hawaiian and Other Pacific Islander alone!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Native Hawaiian and Other Pacific Islander alone!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Some other race alone","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Some other race alone!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Some other race alone!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Two or more races","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Two or more races!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Two or more races!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Hispanic or Latino Origin","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Hispanic or Latino Origin!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Hispanic or Latino Origin!!Bachelor's degree or higher","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Less than high school graduate","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!High school graduate (includes equivalency)","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Some college or associate's degree","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Bachelor's degree or higher","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Less than high school graduate","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!High school graduate (includes equivalency)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Some college or associate's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Bachelor's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Graduate or professional degree"
"ZCTA5 78610","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","3,165","428","1,571","946","220","25,397","1,067","1,055","6,262","4,811","1,974","6,958","3,270","23,275","10,228","5,850","5,632","2,505","6,614","5,835","3,094","9,513","8,686","3,328","3,420","3,122","1,301","","21,457","19,971","9,020","14,091","13,753","7,184","1,039","1,014","323","118","118","2","347","344","163","0","0","0","969","686","206","1,467","1,142","514","9,181","7,579","2,375","","(X)","(X)","(X)","(X)","","51,091","28,624","42,629","42,598","58,454","64,541"
"        Margin of Error","","±702","±191","±498","±362","±176","±1,224","±301","±345","±805","±646","±455","±847","±668","±1,136","±1,081","±782","±773","±634","±842","±805","±633","±756","±753","±570","±505","±492","±328","","±1,239","±1,170","±1,109","±918","±887","±839","±296","±294","±258","±154","±154","±5","±175","±175","±157","±30","±30","±30","±350","±274","±135","±574","±463","±304","±1,004","±920","±651","","(X)","(X)","(X)","(X)","","±2,312","±8,056","±10,478","±4,514","±9,326","±9,151"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","13.5%","49.6%","29.9%","7.0%","(X)","4.2%","4.2%","24.7%","18.9%","7.8%","27.4%","12.9%","91.6%","40.3%","(X)","96.3%","42.8%","(X)","88.2%","46.8%","(X)","91.3%","35.0%","(X)","91.3%","38.0%","","(X)","93.1%","42.0%","(X)","97.6%","51.0%","(X)","97.6%","31.1%","(X)","100.0%","1.7%","(X)","99.1%","47.0%","(X)","-","-","(X)","70.8%","21.3%","(X)","77.8%","35.0%","(X)","82.6%","25.9%","","22.0%","6.8%","8.1%","2.0%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","","(X)","±5.5","±10.5","±9.1","±5.5","(X)","±1.1","±1.3","±3.0","±2.6","±1.7","±3.2","±2.4","±1.9","±3.7","(X)","±2.6","±9.2","(X)","±4.5","±7.3","(X)","±2.3","±5.3","(X)","±4.8","±9.0","","(X)","±1.8","±4.1","(X)","±1.5","±5.0","(X)","±3.1","±21.7","(X)","±30.7","±7.0","(X)","±1.8","±29.3","(X)","**","**","(X)","±10.2","±11.6","(X)","±18.3","±15.4","(X)","±4.5","±5.8","","±8.7","±3.1","±4.6","±1.9","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,974","331","1,144","369","130","11,610","476","660","3,037","2,418","797","3,109","1,113","10,474","4,222","2,367","2,283","664","3,240","2,917","1,341","4,539","3,991","1,624","1,464","1,283","593","","9,973","9,192","3,621","6,452","6,220","2,950","315","293","41","73","73","2","89","89","69","0","0","0","419","208","125","741","619","364","4,449","3,627","1,038","","(X)","(X)","(X)","(X)","","58,370","35,778","54,342","52,837","71,806","79,243"
"        Margin of Error","","±606","±174","±412","±235","±144","±747","±178","±265","±453","±508","±266","±533","±298","±679","±554","±482","±476","±258","±469","±468","±353","±460","±438","±408","±274","±256","±152","","±685","±622","±545","±593","±536","±464","±140","±137","±48","±84","±84","±5","±85","±85","±81","±30","±30","±30","±190","±143","±102","±333","±306","±250","±553","±531","±374","","(X)","(X)","(X)","(X)","","±8,040","±10,543","±11,951","±6,863","±12,764","±18,512"
"    Percent Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","16.8%","58.0%","18.7%","6.6%","(X)","4.1%","5.7%","26.2%","20.8%","6.9%","26.8%","9.6%","90.2%","36.4%","(X)","96.5%","28.1%","(X)","90.0%","41.4%","(X)","87.9%","35.8%","(X)","87.6%","40.5%","","(X)","92.2%","36.3%","(X)","96.4%","45.7%","(X)","93.0%","13.0%","(X)","100.0%","2.7%","(X)","100.0%","77.5%","(X)","-","-","(X)","49.6%","29.8%","(X)","83.5%","49.1%","(X)","81.5%","23.3%","","11.1%","3.6%","4.7%","2.1%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","","(X)","±8.1","±12.2","±8.9","±7.2","(X)","±1.5","±2.2","±3.5","±4.2","±2.2","±4.6","±2.5","±2.4","±4.6","(X)","±3.3","±9.1","(X)","±5.7","±8.3","(X)","±3.5","±7.8","(X)","±9.8","±9.8","","(X)","±2.5","±5.1","(X)","±2.9","±6.5","(X)","±10.4","±16.6","(X)","±40.8","±10.3","(X)","±36.9","±40.1","(X)","**","**","(X)","±21.4","±18.2","(X)","±16.5","±23.1","(X)","±5.3","±7.3","","±9.2","±2.5","±4.7","±2.5","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,191","97","427","577","90","13,787","591","395","3,225","2,393","1,177","3,849","2,157","12,801","6,006","3,483","3,349","1,841","3,374","2,918","1,753","4,974","4,695","1,704","1,956","1,839","708","","11,484","10,779","5,399","7,639","7,533","4,234","724","721","282","45","45","0","258","255","94","0","0","0","550","478","81","726","523","150","4,732","3,952","1,337","","(X)","(X)","(X)","(X)","","46,574","18,333","40,032","36,526","51,465","63,317"
"        Margin of Error","","±349","±80","±214","±298","±71","±844","±250","±190","±525","±448","±312","±641","±565","±835","±909","±496","±501","±506","±591","±545","±511","±503","±526","±434","±354","±351","±249","","±830","±819","±878","±577","±574","±626","±259","±259","±239","±71","±71","±30","±110","±109","±93","±30","±30","±30","±214","±207","±91","±329","±260","±114","±632","±603","±426","","(X)","(X)","(X)","(X)","","±6,040","±2,805","±11,594","±3,602","±1,404","±7,037"
"    Percent Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","8.1%","35.9%","48.4%","7.6%","(X)","4.3%","2.9%","23.4%","17.4%","8.5%","27.9%","15.6%","92.8%","43.6%","(X)","96.2%","52.9%","(X)","86.5%","52.0%","(X)","94.4%","34.3%","(X)","94.0%","36.2%","","(X)","93.9%","47.0%","(X)","98.6%","55.4%","(X)","99.6%","39.0%","(X)","100.0%","0.0%","(X)","98.8%","36.4%","(X)","-","-","(X)","86.9%","14.7%","(X)","72.0%","20.7%","(X)","83.5%","28.3%","","34.6%","9.8%","11.2%","1.9%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","","(X)","±6.6","±15.6","±17.9","±6.2","(X)","±1.8","±1.4","±3.9","±3.4","±2.1","±4.1","±3.8","±2.2","±5.3","(X)","±3.6","±12.3","(X)","±6.8","±10.9","(X)","±2.9","±7.1","(X)","±3.5","±11.9","","(X)","±2.0","±5.8","(X)","±0.9","±6.7","(X)","±1.2","±25.7","(X)","±52.0","±52.0","(X)","±2.3","±27.4","(X)","**","**","(X)","±9.0","±14.4","(X)","±24.8","±15.3","(X)","±5.4","±7.2","","±18.4","±5.0","±7.3","±1.8","","(X)","(X)","(X)","(X)","(X)","(X)"
"ZCTA5 78612","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
