"Label (Grouping)","Population 5 years and over","Population 5 years and over!!Speak only English","Population 5 years and over!!Speak a language other than English","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Spanish","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Spanish!!5 to 17 years old","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Spanish!!18 to 64 years old","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Spanish!!65 years old and over","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other Indo-European languages","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other Indo-European languages!!5 to 17 years old","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other Indo-European languages!!18 to 64 years old","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other Indo-European languages!!65 years old and over","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Asian and Pacific Island languages","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Asian and Pacific Island languages!!5 to 17 years old","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Asian and Pacific Island languages!!18 to 64 years old","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Asian and Pacific Island languages!!65 years old and over","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other languages","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other languages!!5 to 17 years old","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other languages!!18 to 64 years old","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other languages!!65 years old and over","CITIZENS 18 YEARS AND OVER","CITIZENS 18 YEARS AND OVER!!All citizens 18 years old and over","CITIZENS 18 YEARS AND OVER!!All citizens 18 years old and over!!Speak only English","CITIZENS 18 YEARS AND OVER!!All citizens 18 years old and over!!Speak a language other than English","CITIZENS 18 YEARS AND OVER!!All citizens 18 years old and over!!Speak a language other than English!!Spanish","CITIZENS 18 YEARS AND OVER!!All citizens 18 years old and over!!Speak a language other than English!!Other languages"
"ZCTA5 78610","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","36,593","27,814","8,779","","7,464","1,377","5,557","530","145","51","82","12","257","51","196","10","913","382","413","118","","26,361","21,263","5,098","4,848","250"
"        Margin of Error","±2,018","±1,757","±1,581","","±1,383","±646","±891","±235","±132","±57","±78","±13","±187","±78","±134","±18","±847","±376","±414","±156","","±1,459","±1,328","±871","±866","±134"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","76.0%","24.0%","","20.4%","3.8%","15.2%","1.4%","0.4%","0.1%","0.2%","0.0%","0.7%","0.1%","0.5%","0.0%","2.5%","1.0%","1.1%","0.3%","","(X)","80.7%","19.3%","18.4%","0.9%"
"        Margin of Error","(X)","±3.8","±3.8","","±3.2","±1.6","±2.2","±0.6","±0.4","±0.2","±0.2","±0.1","±0.5","±0.2","±0.4","±0.1","±2.3","±1.0","±1.1","±0.4","","(X)","±3.0","±3.0","±2.9","±0.5"
"    Percent of specified language speakers","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","33,458","(X)","5,644","","5,112","896","3,873","343","145","51","82","12","168","51","112","5","219","185","34","0","","25,418","(X)","4,155","3,958","197"
"            Margin of Error","±1,808","(X)","±1,075","","±999","±291","±805","±183","±132","±57","±78","±13","±121","±78","±92","±12","±311","±256","±58","±30","","±1,474","(X)","±828","±814","±121"
"        Percent speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","91.4%","(X)","64.3%","","68.5%","65.1%","69.7%","64.7%","100.0%","100.0%","100.0%","100.0%","65.4%","100.0%","57.1%","50.0%","24.0%","48.4%","8.2%","0.0%","","96.4%","(X)","81.5%","81.6%","78.8%"
"            Margin of Error","±3.3","(X)","±10.6","","±10.8","±29.1","±8.9","±23.0","±26.2","±48.9","±38.5","±100.0","±17.3","±48.9","±30.3","±50.0","±32.2","±37.6","±15.7","±30.7","","±1.4","(X)","±6.8","±7.0","±24.6"
"        Speak English  less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","3,135","(X)","3,135","","2,352","481","1,684","187","0","0","0","0","89","0","84","5","694","197","379","118","","943","(X)","943","890","53"
"            Margin of Error","±1,267","(X)","±1,267","","±1,050","±591","±559","±153","±30","±30","±30","±30","±83","±30","±83","±10","±718","±186","±394","±156","","±366","(X)","±366","±360","±67"
"        Percent speak English less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","8.6%","(X)","35.7%","","31.5%","34.9%","30.3%","35.3%","0.0%","0.0%","0.0%","0.0%","34.6%","0.0%","42.9%","50.0%","76.0%","51.6%","91.8%","100.0%","","3.6%","(X)","18.5%","18.4%","21.2%"
"            Margin of Error","±3.3","(X)","±10.6","","±10.8","±29.1","±8.9","±23.0","±26.2","±48.9","±38.5","±100.0","±17.3","±48.9","±30.3","±50.0","±32.2","±37.6","±15.7","±30.7","","±1.4","(X)","±6.8","±7.0","±24.6"
"ZCTA5 78612","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","15,162","9,189","5,973","","5,611","1,986","3,352","273","142","0","142","0","220","0","204","16","0","0","0","0","","8,338","6,322","2,016","1,702","314"
"        Margin of Error","±1,828","±1,403","±1,480","","±1,489","±677","±983","±188","±108","±22","±108","±22","±198","±22","±183","±17","±22","±22","±22","±22","","±1,032","±839","±583","±577","±227"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","60.6%","39.4%","","37.0%","13.1%","22.1%","1.8%","0.9%","0.0%","0.9%","0.0%","1.5%","0.0%","1.3%","0.1%","0.0%","0.0%","0.0%","0.0%","","(X)","75.8%","24.2%","20.4%","3.8%"
"        Margin of Error","(X)","±7.7","±7.7","","±7.8","±4.0","±5.3","±1.3","±0.7","±0.3","±0.7","±0.3","±1.3","±0.3","±1.2","±0.1","±0.3","±0.3","±0.3","±0.3","","(X)","±5.7","±5.7","±5.8","±2.7"
"    Percent of specified language speakers","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","13,084","(X)","3,895","","3,533","1,805","1,536","192","142","0","142","0","220","0","204","16","0","0","0","0","","7,931","(X)","1,609","1,295","314"
"            Margin of Error","±1,547","(X)","±865","","±848","±615","±453","±168","±108","±22","±108","±22","±198","±22","±183","±17","±22","±22","±22","±22","","±960","(X)","±461","±438","±227"
"        Percent speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","86.3%","(X)","65.2%","","63.0%","90.9%","45.8%","70.3%","100.0%","-","100.0%","-","100.0%","-","100.0%","100.0%","-","-","-","-","","95.1%","(X)","79.8%","76.1%","100.0%"
