"Label (Grouping)","Population for whom poverty status is determined","Population for whom poverty status is determined!!AGE","Population for whom poverty status is determined!!AGE!!Under 18 years","Population for whom poverty status is determined!!AGE!!Under 18 years!!Under 5 years","Population for whom poverty status is determined!!AGE!!Under 18 years!!5 to 17 years","Population for whom poverty status is determined!!AGE!!Under 18 years!!Related children of householder under 18 years","Population for whom poverty status is determined!!AGE!!18 to 64 years","Population for whom poverty status is determined!!AGE!!18 to 64 years!!18 to 34 years","Population for whom poverty status is determined!!AGE!!18 to 64 years!!35 to 64 years","Population for whom poverty status is determined!!AGE!!60 years and over","Population for whom poverty status is determined!!AGE!!65 years and over","Population for whom poverty status is determined!!SEX","Population for whom poverty status is determined!!SEX!!Male","Population for whom poverty status is determined!!SEX!!Female","Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN","Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone","Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone","Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone","Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone","Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone","Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone","Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races","Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race)","Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino","Population for whom poverty status is determined!!EDUCATIONAL ATTAINMENT","Population for whom poverty status is determined!!EDUCATIONAL ATTAINMENT!!Population 25 years and over","Population for whom poverty status is determined!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than high school graduate","Population for whom poverty status is determined!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency)","Population for whom poverty status is determined!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, associate's degree","Population for whom poverty status is determined!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Population for whom poverty status is determined!!EMPLOYMENT STATUS","Population for whom poverty status is determined!!EMPLOYMENT STATUS!!Civilian labor force 16 years and over","Population for whom poverty status is determined!!EMPLOYMENT STATUS!!Civilian labor force 16 years and over!!Employed","Population for whom poverty status is determined!!EMPLOYMENT STATUS!!Civilian labor force 16 years and over!!Employed!!Male","Population for whom poverty status is determined!!EMPLOYMENT STATUS!!Civilian labor force 16 years and over!!Employed!!Female","Population for whom poverty status is determined!!EMPLOYMENT STATUS!!Civilian labor force 16 years and over!!Unemployed","Population for whom poverty status is determined!!EMPLOYMENT STATUS!!Civilian labor force 16 years and over!!Unemployed!!Male","Population for whom poverty status is determined!!EMPLOYMENT STATUS!!Civilian labor force 16 years and over!!Unemployed!!Female","Population for whom poverty status is determined!!WORK EXPERIENCE","Population for whom poverty status is determined!!WORK EXPERIENCE!!Population 16 years and over","Population for whom poverty status is determined!!WORK EXPERIENCE!!Population 16 years and over!!Worked full-time, year-round in the past 12 months","Population for whom poverty status is determined!!WORK EXPERIENCE!!Population 16 years and over!!Worked part-time or part-year in the past 12 months","Population for whom poverty status is determined!!WORK EXPERIENCE!!Population 16 years and over!!Did not work","Population for whom poverty status is determined!!ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS","Population for whom poverty status is determined!!ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!50 percent of poverty level","Population for whom poverty status is determined!!ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!125 percent of poverty level","Population for whom poverty status is determined!!ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!150 percent of poverty level","Population for whom poverty status is determined!!ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!185 percent of poverty level","Population for whom poverty status is determined!!ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!200 percent of poverty level","Population for whom poverty status is determined!!ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!300 percent of poverty level","Population for whom poverty status is determined!!ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!400 percent of poverty level","Population for whom poverty status is determined!!ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!500 percent of poverty level","UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED","UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED!!Male","UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED!!Female","UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED!!15 years","UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED!!16 to 17 years","UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED!!18 to 24 years","UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED!!25 to 34 years","UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED!!35 to 44 years","UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED!!45 to 54 years","UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED!!55 to 64 years","UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED!!65 to 74 years","UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED!!75 years and over","UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED!!Mean income deficit for unrelated individuals (dollars)","UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED!!Worked full-time, year-round in the past 12 months","UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED!!Worked less than full-time, year-round in the past 12 months","UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED!!Did not work"
"ZCTA5 78610","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","39,360","","10,798","2,860","7,938","10,757","25,142","9,015","16,127","5,500","3,420","","19,407","19,953","","32,530","1,787","176","523","0","1,341","3,003","15,521","20,421","","25,397","2,122","6,262","6,785","10,228","","21,691","20,843","10,738","10,105","848","405","443","","29,690","16,661","5,550","7,479","","867","3,245","4,535","6,406","7,410","15,211","21,065","25,299","4,723","1,768","2,955","3","38","301","1,235","969","484","720","694","279","6,651","2,690","795","1,238"
"        Margin of Error","±1,995","","±1,097","±495","±1,100","±1,110","±1,408","±931","±1,071","±727","±505","","±1,336","±1,233","","±1,515","±591","±233","±315","±30","±440","±1,345","±1,785","±1,290","","±1,224","±499","±805","±860","±1,081","","±1,365","±1,229","±920","±850","±333","±217","±264","","±1,596","±1,182","±684","±996","","±349","±772","±1,197","±1,418","±1,564","±2,352","±2,255","±2,174","±764","±487","±556","±4","±65","±195","±444","±360","±261","±270","±258","±145","±1,729","±541","±301","±345"
"    Below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,587","","757","167","590","716","1,546","377","1,169","483","284","","867","1,720","","1,876","131","0","0","0","239","341","1,536","723","","1,649","467","427","550","205","","938","549","195","354","389","124","265","","1,995","299","327","1,369","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","847","197","650","3","38","41","167","216","73","95","121","93","(X)","148","132","567"
"        Margin of Error","±753","","±322","±111","±324","±314","±491","±219","±400","±298","±214","","±367","±523","","±600","±95","±30","±30","±30","±208","±265","±554","±464","","±532","±215","±188","±325","±192","","±379","±263","±156","±188","±263","±151","±223","","±617","±188","±175","±487","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","±341","±165","±296","±4","±65","±46","±178","±219","±69","±79","±146","±83","(X)","±165","±96","±280"
"    Percent below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6.6%","","7.0%","5.8%","7.4%","6.7%","6.1%","4.2%","7.2%","8.8%","8.3%","","4.5%","8.6%","","5.8%","7.3%","0.0%","0.0%","-","17.8%","11.4%","9.9%","3.5%","","6.5%","22.0%","6.8%","8.1%","2.0%","","4.3%","2.6%","1.8%","3.5%","45.9%","30.6%","59.8%","","6.7%","1.8%","5.9%","18.3%","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","17.9%","11.1%","22.0%","100.0%","100.0%","13.6%","13.5%","22.3%","15.1%","13.2%","17.4%","33.3%","(X)","5.5%","16.6%","45.8%"
"        Margin of Error","±1.9","","±3.0","±3.8","±4.1","±2.9","±1.9","±2.4","±2.3","±5.2","±6.0","","±1.9","±2.5","","±1.9","±5.5","±22.3","±8.2","**","±13.8","±6.7","±3.4","±2.2","","±2.1","±8.7","±3.1","±4.6","±1.9","","±1.7","±1.3","±1.5","±1.8","±19.6","±28.5","±23.2","","±2.0","±1.1","±2.9","±5.5","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","±6.4","±9.0","±8.3","±100.0","±56.6","±16.4","±13.2","±18.2","±14.4","±11.0","±18.5","±23.3","(X)","±6.0","±11.5","±14.3"
"ZCTA5 78612","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","16,201","","5,844","1,057","4,787","5,844","8,696","2,943","5,753","2,660","1,661","","8,145","8,056","","7,631","1,272","46","220","0","4,701","2,331","9,014","5,627","","9,229","2,103","2,357","2,896","1,873","","6,319","5,949","3,491","2,458","370","67","303","","11,166","4,421","2,427","4,318","","328","3,188","3,436","4,505","6,795","9,597","12,316","13,565","1,486","817","669","0","0","144","258","43","178","511","255","97","8,211","543","396","547"
"        Margin of Error","±2,025","","±1,092","±453","±908","±1,092","±1,125","±552","±815","±566","±469","","±983","±1,209","","±1,150","±622","±81","±198","±22","±1,414","±1,215","±1,766","±957","","±1,011","±543","±506","±618","±426","","±851","±809","±545","±473","±207","±80","±195","","±1,265","±687","±563","±671","","±220","±1,060","±1,198","±1,406","±1,871","±1,909","±1,925","±1,988","±360","±258","±235","±22","±22","±129","±187","±64","±106","±243","±154","±74","±1,889","±212","±182","±260"
"    Below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,073","","986","165","821","986","1,033","472","561","179","54","","980","1,093","","1,014","69","0","0","0","711","279","1,533","443","","960","326","197","314","123","","511","511","225","286","0","0","0","","1,225","142","410","673","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","394","112","282","0","0","120","133","0","69","72","0","0","(X)","20","207","167"
"        Margin of Error","±911","","±567","±221","±515","±567","±383","±225","±251","±123","±49","","±580","±501","","±575","±80","±22","±22","±22","±602","±418","±849","±338","","±352","±181","±129","±180","±118","","±228","±228","±143","±176","±22","±22","±22","","±463","±124","±201","±297","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","±196","±117","±159","±22","±22","±113","±103","±22","±80","±107","±22","±22","(X)","±32","±143","±158"
"    Percent below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
