"Label (Grouping)","Families","Families!!With related children of householder under 18 years","Families!!With related children of householder under 18 years!!With related children of householder under 5 years","Families!!With related children of householder under 18 years!!With related children of householder under 5 years and 5 to 17 years","Families!!With related children of householder under 18 years!!With related children of householder 5 to 17  years","Families!!RACE AND HISPANIC OR LATINO ORIGIN","Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--","Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!White alone","Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Black or African American alone","Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!American Indian and Alaska Native alone","Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Asian alone","Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Native Hawaiian and Other Pacific Islander alone","Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Some other race alone","Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Two or more races","Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Hispanic or Latino origin (of any race)","Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!White alone, not Hispanic or Latino","Families!!Householder worked","Families!!Householder worked!!Householder worked full-time, year-round in the past 12 months","Families!!Householder 65 years and over","Families!!Family received --","Families!!Family received --!!Supplemental Security Income (SSI) and/or cash public assistance income in the past 12 months","Families!!Family received --!!Social security income in the past 12 months","Families!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER","Families!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Less than high school graduate","Families!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!High school graduate (includes equivalency)","Families!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Some college, associate's degree","Families!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Bachelor's degree or higher","Families!!NUMBER OF RELATED CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS","Families!!NUMBER OF RELATED CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!No child","Families!!NUMBER OF RELATED CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!1 or 2 children","Families!!NUMBER OF RELATED CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!3 or 4 children","Families!!NUMBER OF RELATED CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!5 or more children","Families!!NUMBER OF OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS","Families!!NUMBER OF OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!No own child of the householder","Families!!NUMBER OF OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!1 or 2 own children of the householder","Families!!NUMBER OF OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!3 or 4 own children of the householder","Families!!NUMBER OF OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!5 or more own children of the householder","Families!!NUMBER OF PEOPLE IN FAMILY","Families!!NUMBER OF PEOPLE IN FAMILY!!2 people","Families!!NUMBER OF PEOPLE IN FAMILY!!3 or 4 people","Families!!NUMBER OF PEOPLE IN FAMILY!!5 or 6 people","Families!!NUMBER OF PEOPLE IN FAMILY!!7 or more people","Families!!NUMBER OF WORKERS IN FAMILY","Families!!NUMBER OF WORKERS IN FAMILY!!No workers","Families!!NUMBER OF WORKERS IN FAMILY!!1 worker","Families!!NUMBER OF WORKERS IN FAMILY!!2 workers","Families!!NUMBER OF WORKERS IN FAMILY!!3 or more workers","Families!!INCOME DEFICIT","Families!!INCOME DEFICIT!!Mean income deficit for families (dollars)","Families!!TENURE","Families!!TENURE!!Owner occupied","Families!!TENURE!!Renter Occupied","Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS","Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!50 percent of poverty level","Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!125 percent of poverty level","Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!150 percent of poverty level","Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!185 percent of poverty level","Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!200 percent of poverty level","Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!300 percent of poverty level","Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!400 percent of poverty level","Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!500 percent of poverty level"
"ZCTA5 78610","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    All families","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","10,269","5,339","800","1,177","3,362","","","8,888","396","53","116","0","414","402","3,343","6,174","8,340","6,643","1,135","","661","1,826","","551","2,596","2,532","4,590","","4,930","4,023","1,303","13","","5,100","3,999","1,157","13","","4,109","4,878","1,156","126","","698","2,960","5,555","1,056","","N","","8,180","2,089","","150","672","899","1,315","1,545","3,376","4,651","5,828"
"            Margin of Error","±658","±474","±305","±264","±479","","","±631","±154","±83","±88","±30","±172","±204","±410","±589","±647","±710","±268","","±273","±365","","±207","±486","±424","±574","","±697","±584","±407","±12","","±697","±573","±393","±12","","±684","±571","±282","±108","","±218","±495","±650","±258","","N","","±688","±375","","±89","±223","±235","±286","±333","±565","±568","±545"
"        Percent below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","5.2%","6.2%","2.5%","10.6%","5.6%","","","4.5%","0.0%","0.0%","0.0%","-","30.4%","0.0%","6.3%","3.8%","2.2%","1.4%","1.0%","","16.2%","13.2%","","17.2%","6.6%","5.7%","2.6%","","4.0%","4.0%","12.9%","46.2%","","4.0%","5.5%","8.9%","46.2%","","6.2%","3.1%","9.7%","11.1%","","34.5%","8.3%","0.8%","0.2%","","(X)","","4.8%","6.4%","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±2.2","±2.7","±4.1","±6.5","±4.0","","","±2.0","±10.7","±47.9","±31.0","**","±22.8","±10.6","±2.9","±2.6","±1.6","±1.0","±1.0","","±11.5","±7.8","","±11.7","±4.9","±4.5","±2.6","","±3.2","±2.3","±10.5","±52.2","","±3.1","±2.7","±10.6","±52.2","","±4.3","±1.7","±9.8","±13.7","","±16.6","±5.5","±1.0","±0.4","","(X)","","±2.5","±4.6","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","8,219","4,077","711","1,013","2,353","","","7,353","206","53","116","0","252","239","2,595","5,103","6,715","5,252","968","","456","1,424","","257","2,312","1,817","3,833","","4,142","3,294","779","4","","4,211","3,243","761","4","","3,231","3,911","997","80","","475","1,911","4,989","844","","N","","6,671","1,548","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±694","±474","±289","±241","±402","","","±681","±132","±83","±88","±30","±142","±159","±376","±594","±690","±732","±257","","±234","±343","","±150","±451","±345","±546","","±679","±536","±253","±5","","±678","±537","±252","±5","","±666","±562","±266","±93","","±180","±396","±683","±259","","N","","±613","±374","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Percent below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","3.0%","3.6%","0.0%","5.9%","3.7%","","","2.5%","0.0%","0.0%","0.0%","-","27.0%","0.0%","3.1%","2.0%","2.3%","1.3%","1.1%","","9.2%","6.0%","","5.8%","6.6%","1.3%","1.6%","","2.5%","1.3%","13.2%","0.0%","","2.6%","1.2%","13.5%","0.0%","","3.2%","0.9%","10.3%","10.0%","","5.9%","9.6%","0.7%","0.2%","","(X)","","3.1%","2.8%","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±2.1","±3.0","±6.1","±6.6","±4.4","","","±1.7","±19.5","±47.9","±31.0","**","±33.4","±17.1","±2.5","±2.1","±1.9","±1.3","±1.2","","±11.3","±7.2","","±6.9","±5.4","±1.6","±2.5","","±2.6","±1.4","±14.2","±100.0","","±2.6","±1.3","±14.5","±100.0","","±3.4","±1.1","±11.3","±19.0","","±7.2","±7.8","±1.2","±0.5","","(X)","","±2.3","±3.8","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female householder, no spouse present","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
