"Label (Grouping)","Total civilian noninstitutionalized population","Total civilian noninstitutionalized population!!SEX","Total civilian noninstitutionalized population!!SEX!!Male","Total civilian noninstitutionalized population!!SEX!!Female","Total civilian noninstitutionalized population!!RACE AND HISPANIC OR LATINO ORIGIN","Total civilian noninstitutionalized population!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone","Total civilian noninstitutionalized population!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone","Total civilian noninstitutionalized population!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone","Total civilian noninstitutionalized population!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone","Total civilian noninstitutionalized population!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone","Total civilian noninstitutionalized population!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone","Total civilian noninstitutionalized population!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races","Total civilian noninstitutionalized population!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino","Total civilian noninstitutionalized population!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino (of any race)","Total civilian noninstitutionalized population!!AGE","Total civilian noninstitutionalized population!!AGE!!Under 5 years","Total civilian noninstitutionalized population!!AGE!!5 to 17 years","Total civilian noninstitutionalized population!!AGE!!18 to 34 years","Total civilian noninstitutionalized population!!AGE!!35 to 64 years","Total civilian noninstitutionalized population!!AGE!!65 to 74 years","Total civilian noninstitutionalized population!!AGE!!75 years and over","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With a hearing difficulty","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With a hearing difficulty!!Population under 18 years","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With a hearing difficulty!!Population under 18 years!!Population under 5 years","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With a hearing difficulty!!Population under 18 years!!Population 5 to 17 years","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With a hearing difficulty!!Population 18 to 64 years","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With a hearing difficulty!!Population 18 to 64 years!!Population 18 to 34 years","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With a hearing difficulty!!Population 18 to 64 years!!Population 35 to 64 years","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With a hearing difficulty!!Population 65 years and over","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With a hearing difficulty!!Population 65 years and over!!Population 65 to 74 years","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With a hearing difficulty!!Population 65 years and over!!Population 75 years and over","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With a vision difficulty","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With a vision difficulty!!Population under 18 years","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With a vision difficulty!!Population under 18 years!!Population under 5 years","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With a vision difficulty!!Population under 18 years!!Population 5 to 17 years","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With a vision difficulty!!Population 18 to 64 years","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With a vision difficulty!!Population 18 to 64 years!!Population 18 to 34 years","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With a vision difficulty!!Population 18 to 64 years!!Population 35 to 64 years","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With a vision difficulty!!Population 65 years and over","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With a vision difficulty!!Population 65 years and over!!Population 65 to 74 years","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With a vision difficulty!!Population 65 years and over!!Population 75 years and over","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With a cognitive difficulty","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With a cognitive difficulty!!Population under 18 years","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With a cognitive difficulty!!Population 18 to 64 years","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With a cognitive difficulty!!Population 18 to 64 years!!Population 18 to 34 years","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With a cognitive difficulty!!Population 18 to 64 years!!Population 35 to 64 years","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With a cognitive difficulty!!Population 65 years and over","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With a cognitive difficulty!!Population 65 years and over!!Population 65 to 74 years","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With a cognitive difficulty!!Population 65 years and over!!Population 75 years and over","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With an ambulatory difficulty","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With an ambulatory difficulty!!Population under 18 years","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With an ambulatory difficulty!!Population 18 to 64 years","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With an ambulatory difficulty!!Population 18 to 64 years!!Population 18 to 34 years","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With an ambulatory difficulty!!Population 18 to 64 years!!Population 35 to 64 years","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With an ambulatory difficulty!!Population 65 years and over","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With an ambulatory difficulty!!Population 65 years and over!!Population 65 to 74 years","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With an ambulatory difficulty!!Population 65 years and over!!Population 75 years and over","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With a self-care difficulty","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With a self-care difficulty!!Population under 18 years","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With a self-care difficulty!!Population 18 to 64 years","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With a self-care difficulty!!Population 18 to 64 years!!Population 18 to 34 years","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With a self-care difficulty!!Population 18 to 64 years!!Population 35 to 64 years","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With a self-care difficulty!!Population 65 years and over","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With a self-care difficulty!!Population 65 years and over!!Population 65 to 74 years","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With a self-care difficulty!!Population 65 years and over!!Population 75 years and over","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With an independent living difficulty","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With an independent living difficulty!!Population 18 to 64 years","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With an independent living difficulty!!Population 18 to 64 years!!Population 18 to 34 years","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With an independent living difficulty!!Population 18 to 64 years!!Population 35 to 64 years","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With an independent living difficulty!!Population 65 years and over","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With an independent living difficulty!!Population 65 years and over!!Population 65 to 74 years","Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With an independent living difficulty!!Population 65 years and over!!Population 75 years and over"
"ZCTA5 78610","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","39,429","","19,406","20,023","","32,551","1,809","176","523","0","1,367","3,003","20,456","15,555","","2,903","8,023","9,015","16,068","2,385","1,035","","(X)","10,926","2,903","8,023","25,083","9,015","16,068","3,420","2,385","1,035","(X)","10,926","2,903","8,023","25,083","9,015","16,068","3,420","2,385","1,035","(X)","8,023","25,083","9,015","16,068","3,420","2,385","1,035","(X)","8,023","25,083","9,015","16,068","3,420","2,385","1,035","(X)","8,023","25,083","9,015","16,068","3,420","2,385","1,035","(X)","25,083","9,015","16,068","3,420","2,385","1,035"
"        Margin of Error","±2,004","","±1,338","±1,237","","±1,514","±593","±233","±315","±30","±449","±1,345","±1,281","±1,793","","±493","±1,105","±931","±1,080","±405","±292","","(X)","±1,106","±493","±1,105","±1,410","±931","±1,080","±505","±405","±292","(X)","±1,106","±493","±1,105","±1,410","±931","±1,080","±505","±405","±292","(X)","±1,105","±1,410","±931","±1,080","±505","±405","±292","(X)","±1,105","±1,410","±931","±1,080","±505","±405","±292","(X)","±1,105","±1,410","±931","±1,080","±505","±405","±292","(X)","±1,410","±931","±1,080","±505","±405","±292"
"    With a disability","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,451","","1,686","1,765","","2,933","170","13","0","0","110","225","1,893","1,207","","16","277","372","1,569","729","488","","923","3","0","3","410","59","351","510","300","210","786","119","16","103","309","31","278","358","269","89","1,495","233","1,011","280","731","251","136","115","1,423","62","714","1","713","647","300","347","799","62","483","63","420","254","57","197","1,457","1,000","142","858","457","184","273"
"        Margin of Error","±680","","±408","±447","","±622","±131","±18","±30","±30","±84","±145","±507","±344","","±24","±157","±222","±416","±286","±223","","±272","±4","±30","±4","±217","±105","±183","±164","±144","±95","±335","±73","±24","±66","±197","±54","±187","±259","±252","±64","±433","±146","±333","±194","±270","±153","±100","±101","±362","±46","±228","±3","±227","±270","±149","±203","±290","±46","±230","±71","±207","±144","±64","±132","±522","±379","±95","±334","±228","±151","±133"
"    Percent with a disability","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","8.8%","","8.7%","8.8%","","9.0%","9.4%","7.4%","0.0%","-","8.0%","7.5%","9.3%","7.8%","","0.6%","3.5%","4.1%","9.8%","30.6%","47.1%","","2.3%","0.0%","0.0%","0.0%","1.6%","0.7%","2.2%","14.9%","12.6%","20.3%","2.0%","1.1%","0.6%","1.3%","1.2%","0.3%","1.7%","10.5%","11.3%","8.6%","4.1%","2.9%","4.0%","3.1%","4.5%","7.3%","5.7%","11.1%","3.9%","0.8%","2.8%","0.0%","4.4%","18.9%","12.6%","33.5%","2.2%","0.8%","1.9%","0.7%","2.6%","7.4%","2.4%","19.0%","5.1%","4.0%","1.6%","5.3%","13.4%","7.7%","26.4%"
"        Margin of Error","±1.8","","±2.0","±2.2","","±1.9","±7.5","±19.8","±8.2","**","±6.4","±5.2","±2.5","±2.2","","±0.8","±2.0","±2.4","±2.6","±10.1","±16.7","","±0.7","±0.1","±1.5","±0.1","±0.8","±1.2","±1.1","±5.0","±6.1","±8.7","±0.9","±0.7","±0.8","±0.8","±0.8","±0.6","±1.2","±7.2","±9.9","±6.0","±1.2","±1.9","±1.3","±2.1","±1.7","±4.3","±4.1","±8.5","±1.0","±0.6","±0.9","±0.1","±1.4","±7.3","±6.3","±15.2","±0.8","±0.6","±0.9","±0.8","±1.3","±3.9","±2.7","±11.5","±1.8","±1.5","±1.0","±2.1","±6.1","±5.9","±11.5"
"ZCTA5 78612","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","16,234","","8,178","8,056","","7,646","1,272","46","220","0","4,701","2,349","5,642","9,032","","1,072","4,805","2,943","5,753","1,250","411","","(X)","5,877","1,072","4,805","8,696","2,943","5,753","1,661","1,250","411","(X)","5,877","1,072","4,805","8,696","2,943","5,753","1,661","1,250","411","(X)","4,805","8,696","2,943","5,753","1,661","1,250","411","(X)","4,805","8,696","2,943","5,753","1,661","1,250","411","(X)","4,805","8,696","2,943","5,753","1,661","1,250","411","(X)","8,696","2,943","5,753","1,661","1,250","411"
"        Margin of Error","±2,025","","±977","±1,209","","±1,146","±622","±81","±198","±22","±1,414","±1,215","±954","±1,765","","±452","±910","±552","±815","±446","±175","","(X)","±1,093","±452","±910","±1,125","±552","±815","±469","±446","±175","(X)","±1,093","±452","±910","±1,125","±552","±815","±469","±446","±175","(X)","±910","±1,125","±552","±815","±469","±446","±175","(X)","±910","±1,125","±552","±815","±469","±446","±175","(X)","±910","±1,125","±552","±815","±469","±446","±175","(X)","±1,125","±552","±815","±469","±446","±175"
"    With a disability","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,258","","914","1,344","","1,393","443","24","0","0","290","108","1,021","873","","0","560","272","754","446","226","","625","46","0","46","189","0","189","390","205","185","399","67","0","67","161","38","123","171","75","96","706","108","391","200","191","207","147","60","1,121","272","486","37","449","363","227","136","359","67","190","45","145","102","42","60","672","453","173","280","219","97","122"
"        Margin of Error","±565","","±306","±424","","±466","±269","±42","±22","±22","±167","±146","±339","±325","","±22","±281","±153","±303","±205","±136","","±267","±73","±22","±73","±174","±22","±174","±171","±134","±114","±226","±111","±22","±111","±118","±66","±100","±115","±88","±72","±263","±105","±199","±126","±138","±148","±122","±71","±382","±206","±246","±58","±235","±174","±138","±96","±203","±101","±147","±72","±127","±94","±43","±71","±259","±252","±144","±177","±134","±80","±96"
"    Percent with a disability","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","13.9%","","11.2%","16.7%","","18.2%","34.8%","52.2%","0.0%","-","6.2%","4.6%","18.1%","9.7%","","0.0%","11.7%","9.2%","13.1%","35.7%","55.0%","","3.8%","0.8%","0.0%","1.0%","2.2%","0.0%","3.3%","23.5%","16.4%","45.0%","2.5%","1.1%","0.0%","1.4%","1.9%","1.3%","2.1%","10.3%","6.0%","23.4%","4.7%","2.2%","4.5%","6.8%","3.3%","12.5%","11.8%","14.6%","7.4%","5.7%","5.6%","1.3%","7.8%","21.9%","18.2%","33.1%","2.4%","1.4%","2.2%","1.5%","2.5%","6.1%","3.4%","14.6%","6.5%","5.2%","5.9%","4.9%","13.2%","7.8%","29.7%"
"        Margin of Error","±3.6","","±3.8","±5.1","","±5.7","±18.4","±14.9","±18.4","**","±3.2","±5.8","±5.9","±3.7","","±4.1","±5.8","±4.9","±5.2","±15.0","±19.6","","±1.7","±1.3","±4.1","±1.6","±2.0","±1.5","±3.0","±9.4","±9.9","±19.3","±1.4","±2.0","±4.1","±2.4","±1.4","±2.2","±1.7","±6.9","±6.8","±14.1","±1.8","±2.1","±2.3","±4.2","±2.5","±8.6","±9.2","±16.4","±2.5","±4.4","±2.9","±1.9","±4.3","±9.9","±11.2","±17.9","±1.3","±2.1","±1.7","±2.4","±2.2","±5.6","±3.4","±16.4","±2.5","±2.9","±4.7","±3.2","±7.7","±6.1","±18.3"
"ZCTA5 78613","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
