"Label (Grouping)","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!White","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!Black or African American","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!American Indian and Alaska Native","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!Asian","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!Native Hawaiian and Other Pacific Islander","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!Some other race","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!Two or more races","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!Hispanic or Latino origin (of any race)","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!White alone, not Hispanic or Latino","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","FAMILIES","FAMILIES!!Families","FAMILIES!!Families!!With own children of householder under 18 years","FAMILIES!!Families!!With no own children of householder under 18 years","FAMILIES!!Families!!Married-couple families","FAMILIES!!Families!!Married-couple families!!With own children under 18 years","FAMILIES!!Families!!Female householder, no spouse present","FAMILIES!!Families!!Female householder, no spouse present!!With own children under 18 years","FAMILIES!!Families!!Male householder, no spouse present","FAMILIES!!Families!!Male householder, no spouse present!!With own children under 18 years","FAMILY INCOME BY FAMILY SIZE","FAMILY INCOME BY FAMILY SIZE!!2-person families","FAMILY INCOME BY FAMILY SIZE!!3-person families","FAMILY INCOME BY FAMILY SIZE!!4-person families","FAMILY INCOME BY FAMILY SIZE!!5-person families","FAMILY INCOME BY FAMILY SIZE!!6-person families","FAMILY INCOME BY FAMILY SIZE!!7-or-more person families","FAMILY INCOME BY NUMBER OF EARNERS","FAMILY INCOME BY NUMBER OF EARNERS!!No earners","FAMILY INCOME BY NUMBER OF EARNERS!!1 earner","FAMILY INCOME BY NUMBER OF EARNERS!!2 earners","FAMILY INCOME BY NUMBER OF EARNERS!!3 or more earners","NONFAMILY HOUSEHOLDS","NONFAMILY HOUSEHOLDS!!Nonfamily households","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone"
"ZCTA5 78610","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","13,284","","11,448","558","64","150","0","460","604","4,164","8,030","","299","5,638","5,298","2,049","","10,269","5,169","5,100","8,219","4,008","1,577","929","473","232","","4,109","2,309","2,569","800","356","126","","698","2,960","5,555","1,056","","3,015","1,843","1,519","324","1,172","809","363"
"        Margin of Error","","±716","","±713","±196","±85","±102","±30","±178","±269","±486","±667","","±138","±618","±519","±383","","±658","±475","±697","±694","±476","±501","±375","±189","±164","","±684","±460","±463","±264","±176","±108","","±218","±495","±650","±258","","±521","±381","±345","±138","±378","±355","±150"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","13,284","","86.2%","4.2%","0.5%","1.1%","0.0%","3.5%","4.5%","31.3%","60.4%","","2.3%","42.4%","39.9%","15.4%","","10,269","50.3%","49.7%","80.0%","39.0%","15.4%","9.0%","4.6%","2.3%","","40.0%","22.5%","25.0%","7.8%","3.5%","1.2%","","6.8%","28.8%","54.1%","10.3%","","3,015","61.1%","50.4%","10.7%","38.9%","26.8%","12.0%"
"        Margin of Error","","±716","","±2.8","±1.5","±0.6","±0.8","±0.3","±1.3","±2.0","±3.3","±3.4","","±1.0","±3.9","±3.5","±2.7","","±658","±4.9","±4.9","±5.0","±5.3","±4.7","±3.5","±1.8","±1.6","","±5.1","±4.4","±4.4","±2.6","±1.8","±1.1","","±2.0","±4.5","±5.0","±2.6","","±521","±9.5","±8.4","±4.7","±9.5","±9.7","±5.0"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","84,114","","84,679","82,857","85,962","101,034","-","56,375","76,023","77,269","94,091","","54,036","95,284","88,510","61,649","","94,644","91,551","100,032","102,268","101,924","58,384","57,905","73,983","-","","91,433","96,216","98,355","79,312","118,021","71,983","","36,176","71,198","109,057","132,500","","52,465","43,104","35,382","101,983","71,860","51,963","85,461"
"        Margin of Error","","±5,435","","±9,329","±24,859","±36,145","±78,655","**","±27,581","±68,287","±6,058","±7,314","","±18,804","±12,093","±16,768","±14,727","","±7,764","±13,536","±12,361","±8,098","±9,851","±3,844","±4,698","±17,772","**","","±17,816","±9,236","±11,351","±7,868","±46,594","±68,243","","±13,440","±7,949","±12,808","±38,140","","±11,162","±11,643","±10,548","±35,358","±15,161","±20,972","±21,554"
"ZCTA5 78612","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","4,119","","2,531","380","24","32","0","863","289","1,593","2,091","","55","1,288","1,872","904","","3,244","1,490","1,754","2,462","1,170","725","297","57","23","","1,071","635","628","467","182","261","","385","1,538","703","618","","875","488","407","81","387","340","47"
"        Margin of Error","","±430","","±351","±178","±42","±33","±22","±240","±169","±280","±299","","±67","±295","±307","±258","","±431","±333","±356","±423","±283","±241","±162","±65","±40","","±280","±212","±222","±206","±132","±144","","±157","±370","±215","±187","","±262","±187","±181","±67","±169","±177","±62"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
