,Zip Code,Total ,Male ,Male Under 5 years,Male 5 to 9 years,Male 10 to 14 years,Male 15 to 17 years,Male 18 and 19 years,Male 20 years,Male 21 years,Male 22 to 24 years,Male 25 to 29 years,Male 30 to 34 years,Male 35 to 39 years,Male 40 to 44 years,Male 45 to 49 years,Male 50 to 54 years,Male 55 to 59 years,Male 60 and 61 years,Male 62 to 64 years,Male 65 and 66 years,Male 67 to 69 years,Male 70 to 74 years,Male 75 to 79 years,Male 80 to 84 years,Male 85 years and over,Female ,Female Under 5 years,Female 5 to 9 years,Female 10 to 14 years,Female 15 to 17 years,Female 18 and 19 years,Female 20 years,Female 21 years,Female 22 to 24 years,Female 25 to 29 years,Female 30 to 34 years,Female 35 to 39 years,Female 40 to 44 years,Female 45 to 49 years,Female 50 to 54 years,Female 55 to 59 years,Female 60 and 61 years,Female 62 to 64 years,Female 65 and 66 years,Female 67 to 69 years,Female 70 to 74 years,Female 75 to 79 years,Female 80 to 84 years,Female 85 years and over
0,78610,"39,498","19,472","1,620","2,014","1,431",823,458,143,235,"1,138","1,122","1,245","2,112","1,128","1,062","1,447","1,033",283,714,276,459,296,223,111,99,"20,026","1,285","1,924","1,176",663,290,76,319,506,925,"2,558","1,510","1,864","1,382","1,160","1,349",583,500,441,371,542,248,244,110
2,78612,"16,234","8,178",521,931,"1,167",619,126,0,114,285,323,376,701,344,457,344,511,168,352,215,253,187,99,44,41,"8,056",551,440,"1,096",552,266,0,0,337,482,634,626,480,367,445,479,248,231,242,107,246,102,125,0
4,78613,"83,876","41,437","2,890","3,515","3,810","2,066",725,210,654,"1,105","2,676","3,397","3,470","3,667","3,539","2,461","2,266",713,"1,028",503,579,947,557,352,307,"42,439","2,381","2,457","3,871","1,981",978,349,247,"1,404","2,920","3,496","3,693","3,827","3,271","2,743","2,391",936,779,668,734,"1,446",611,546,710
6,78615,"1,363",697,72,34,128,32,1,0,16,19,50,67,6,50,28,25,55,10,22,9,9,19,8,3,34,666,54,108,64,4,36,0,0,20,47,47,27,27,42,33,13,22,16,8,32,26,21,8,11
8,78617,"28,376","14,934",853,780,"1,081",875,500,644,368,753,"1,429",989,"1,053","1,604",934,"1,052",829,379,236,177,168,165,24,41,0,"13,442","1,112",816,"1,217","1,042",478,167,146,412,"1,004","1,057","1,189","1,043","1,497",567,395,173,432,115,89,291,92,61,47
10,78620,"18,420","9,805",543,604,713,655,358,307,134,377,240,218,969,519,516,765,"1,042",372,222,296,381,345,165,40,24,"8,615",462,496,600,370,188,109,58,112,259,335,647,675,543,951,"1,023",218,446,162,239,340,187,129,66
12,78621,"24,590","11,942",775,824,"1,209",457,180,300,136,412,510,675,"1,353",724,672,594,719,323,465,376,193,468,358,131,88,"12,648",658,"1,014",936,611,151,198,129,193,944,813,931,728,922,702,882,390,626,425,468,470,197,49,211
14,78634,"37,298","18,012","1,434","1,453","1,200",619,513,131,61,490,"1,245","1,258","1,499","2,698","1,350","1,397",901,281,496,112,75,598,142,0,59,"19,286","1,023","1,355","1,524","1,069",231,480,352,572,"1,596","1,419","2,242","1,521","1,621","1,436",664,441,487,180,170,450,290,163,0
16,78641,"78,568","38,711","3,446","3,115","3,402","1,555",556,491,288,"1,265","1,640","3,413","2,778","3,404","3,330","2,370","2,610",687,"1,233",591,367,"1,173",615,215,167,"39,857","2,688","3,178","3,588","1,503","1,026",401,750,695,"1,945","3,451","3,584","3,088","2,965","2,124","2,550",954,"1,129",671,881,"1,336",496,224,630
18,78645,"11,873","6,072",292,306,335,272,64,64,39,80,249,365,344,300,452,330,508,214,380,148,277,402,167,238,246,"5,801",191,105,425,225,5,19,11,45,143,418,196,395,423,555,461,357,427,217,256,451,205,128,143
