,Zip Code,Population 3 years and over enrolled in school,"Population 3 years and over enrolled in school!!Nursery school, preschool",Population 3 years and over enrolled in school!!Kindergarten to 12th grade,Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Kindergarten,Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 1 to grade 4,Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 5 to grade 8,Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!High school: grade 9 to grade 12,"Population 3 years and over enrolled in school!!College, undergraduate","Population 3 years and over enrolled in school!!Graduate, professional school",Population enrolled in college or graduate school,Population enrolled in college or graduate school!!Males enrolled in college or graduate school,Population enrolled in college or graduate school!!Females enrolled in college or graduate school,Population 3 to 4 years,Population 3 to 4 years!!3 to 4 year olds enrolled in school,Population 5 to 9 years,Population 5 to 9 years!!5 to 9 year olds enrolled in school,Population 10 to 14 years,Population 10 to 14 years!!10 to 14 year olds enrolled in school,Population 15 to 17,Population 15 to 17!!15 to 17 year olds enrolled in school,Population 18 to 19 years,Population 18 to 19 years!!18 and 19 year olds enrolled in school,Population 20 to 24 years,Population 20 to 24 years!!20 to 24 year olds enrolled in school,Population 25 to 34 years,Population 25 to 34 years!!25 to 34 year olds enrolled in school,Population 35 years and over,Population 35 years and over!!35 years and over enrolled in school,Population 18 to 24 years,Population 18 to 24 years!!Enrolled in college or graduate school,Population 18 to 24 years!!Males 18 to 24 years,Population 18 to 24 years!!Males 18 to 24 years!!Enrolled in college or graduate school,Population 18 to 24 years!!Females 18 to 24 years,Population 18 to 24 years!!Females 18 to 24 years!!Enrolled in college or graduate school
0,78610,(X),228,877,161,182,416,118,89,41,130,31,99,(X),163,(X),406,(X),418,(X),118,(X),0,(X),8,(X),17,(X),105,(X),8,(X),3,(X),5
1,78612,(X),122,574,0,111,193,270,174,172,346,111,235,(X),61,(X),147,(X),327,(X),161,(X),0,(X),153,(X),193,(X),0,(X),153,(X),90,(X),63
2,78613,(X),967,"1,716",191,394,585,546,766,505,"1,271",396,875,(X),748,(X),756,(X),701,(X),396,(X),160,(X),504,(X),333,(X),356,(X),582,(X),143,(X),439
3,78615,(X),0,0,0,0,0,0,2,2,4,0,4,(X),0,(X),0,(X),0,(X),0,(X),0,(X),0,(X),2,(X),2,(X),0,(X),0,(X),0
4,78617,(X),60,309,111,95,56,47,148,25,173,133,40,(X),120,(X),146,(X),68,(X),28,(X),13,(X),124,(X),22,(X),21,(X),130,(X),90,(X),40
5,78620,(X),139,558,57,207,209,85,54,36,90,82,8,(X),129,(X),226,(X),257,(X),85,(X),15,(X),21,(X),46,(X),8,(X),36,(X),36,(X),0
6,78621,(X),51,322,0,57,100,165,223,14,237,168,69,(X),51,(X),57,(X),100,(X),93,(X),72,(X),148,(X),0,(X),89,(X),148,(X),148,(X),0
7,78634,(X),409,699,16,237,355,91,658,194,852,305,547,(X),384,(X),278,(X),355,(X),81,(X),110,(X),25,(X),430,(X),297,(X),135,(X),110,(X),25
8,78641,(X),961,875,166,177,307,225,418,319,737,272,465,(X),622,(X),633,(X),370,(X),175,(X),70,(X),114,(X),167,(X),422,(X),148,(X),104,(X),44
9,78645,(X),12,161,0,0,93,68,9,39,48,39,9,(X),0,(X),12,(X),103,(X),58,(X),0,(X),0,(X),16,(X),32,(X),0,(X),0,(X),0
