,Zip Code,Population 3 years and over enrolled in school,"Population 3 years and over enrolled in school!!Nursery school, preschool",Population 3 years and over enrolled in school!!Kindergarten to 12th grade,Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Kindergarten,Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 1 to grade 4,Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 5 to grade 8,Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!High school: grade 9 to grade 12,"Population 3 years and over enrolled in school!!College, undergraduate","Population 3 years and over enrolled in school!!Graduate, professional school",Population enrolled in college or graduate school,Population enrolled in college or graduate school!!Males enrolled in college or graduate school,Population enrolled in college or graduate school!!Females enrolled in college or graduate school,Population 3 to 4 years,Population 3 to 4 years!!3 to 4 year olds enrolled in school,Population 5 to 9 years,Population 5 to 9 years!!5 to 9 year olds enrolled in school,Population 10 to 14 years,Population 10 to 14 years!!10 to 14 year olds enrolled in school,Population 15 to 17,Population 15 to 17!!15 to 17 year olds enrolled in school,Population 18 to 19 years,Population 18 to 19 years!!18 and 19 year olds enrolled in school,Population 20 to 24 years,Population 20 to 24 years!!20 to 24 year olds enrolled in school,Population 25 to 34 years,Population 25 to 34 years!!25 to 34 year olds enrolled in school,Population 35 years and over,Population 35 years and over!!35 years and over enrolled in school,Population 18 to 24 years,Population 18 to 24 years!!Enrolled in college or graduate school,Population 18 to 24 years!!Males 18 to 24 years,Population 18 to 24 years!!Males 18 to 24 years!!Enrolled in college or graduate school,Population 18 to 24 years!!Females 18 to 24 years,Population 18 to 24 years!!Females 18 to 24 years!!Enrolled in college or graduate school
0,78610,(X),146,580,150,270,343,139,65,48,83,33,79,(X),127,(X),272,(X),343,(X),139,(X),30,(X),7,(X),30,(X),78,(X),7,(X),4,(X),5
1,78612,(X),118,376,22,84,154,188,163,153,229,146,182,(X),83,(X),115,(X),258,(X),127,(X),22,(X),159,(X),160,(X),22,(X),159,(X),143,(X),84
2,78613,(X),285,435,87,180,257,203,407,268,487,162,455,(X),257,(X),251,(X),274,(X),173,(X),85,(X),390,(X),232,(X),190,(X),392,(X),109,(X),377
3,78615,(X),14,14,14,14,14,14,3,4,5,14,5,(X),14,(X),14,(X),14,(X),14,(X),14,(X),14,(X),4,(X),3,(X),14,(X),14,(X),14
4,78617,(X),52,164,110,71,56,49,93,39,96,93,45,(X),102,(X),101,(X),62,(X),35,(X),24,(X),89,(X),39,(X),38,(X),87,(X),83,(X),45
5,78620,(X),80,253,64,114,157,70,41,69,80,78,12,(X),79,(X),119,(X),157,(X),70,(X),24,(X),24,(X),72,(X),12,(X),33,(X),33,(X),22
6,78621,(X),59,218,26,73,112,128,196,26,196,190,76,(X),59,(X),73,(X),112,(X),89,(X),87,(X),189,(X),26,(X),73,(X),189,(X),189,(X),26
7,78634,(X),197,354,28,168,282,79,294,134,318,142,285,(X),200,(X),183,(X),282,(X),77,(X),108,(X),48,(X),224,(X),198,(X),117,(X),108,(X),48
8,78641,(X),354,255,108,84,188,139,197,167,269,128,210,(X),227,(X),260,(X),200,(X),125,(X),62,(X),101,(X),149,(X),174,(X),102,(X),78,(X),74
9,78645,(X),18,151,22,22,82,78,10,36,37,35,13,(X),22,(X),18,(X),84,(X),76,(X),22,(X),22,(X),24,(X),28,(X),22,(X),22,(X),22
