,Zip Code,Population 3 years and over enrolled in school,"Population 3 years and over enrolled in school!!Nursery school, preschool",Population 3 years and over enrolled in school!!Kindergarten to 12th grade,Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Kindergarten,Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 1 to grade 4,Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 5 to grade 8,Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!High school: grade 9 to grade 12,"Population 3 years and over enrolled in school!!College, undergraduate","Population 3 years and over enrolled in school!!Graduate, professional school",Population enrolled in college or graduate school,Population enrolled in college or graduate school!!Males enrolled in college or graduate school,Population enrolled in college or graduate school!!Females enrolled in college or graduate school,Population 3 to 4 years,Population 3 to 4 years!!3 to 4 year olds enrolled in school,Population 5 to 9 years,Population 5 to 9 years!!5 to 9 year olds enrolled in school,Population 10 to 14 years,Population 10 to 14 years!!10 to 14 year olds enrolled in school,Population 15 to 17,Population 15 to 17!!15 to 17 year olds enrolled in school,Population 18 to 19 years,Population 18 to 19 years!!18 and 19 year olds enrolled in school,Population 20 to 24 years,Population 20 to 24 years!!20 to 24 year olds enrolled in school,Population 25 to 34 years,Population 25 to 34 years!!25 to 34 year olds enrolled in school,Population 35 years and over,Population 35 years and over!!35 years and over enrolled in school,Population 18 to 24 years,Population 18 to 24 years!!Enrolled in college or graduate school,Population 18 to 24 years!!Males 18 to 24 years,Population 18 to 24 years!!Males 18 to 24 years!!Enrolled in college or graduate school,Population 18 to 24 years!!Females 18 to 24 years,Population 18 to 24 years!!Females 18 to 24 years!!Enrolled in college or graduate school
0,78610,6.1,20.1,7.2,21.4,9.6,15.4,6.3,6.1,13.2,5.5,5.1,9.1,(X),22.5,(X),9.5,(X),12.0,(X),8.8,(X),8.2,(X),1.7,(X),8.2,(X),17.4,(X),1.1,(X),1.3,(X),1.6
1,78612,7.1,31.8,8.0,30.5,7.4,9.4,10.5,16.0,26.3,16.3,35.6,22.5,(X),47.4,(X),8.2,(X),10.7,(X),11.1,(X),12.2,(X),38.4,(X),27.0,(X),36.2,(X),25.3,(X),36.7,(X),26.1
2,78613,2.7,11.9,2.3,7.1,3.5,3.9,3.4,10.7,16.6,9.1,7.8,13.1,(X),14.2,(X),4.0,(X),3.5,(X),4.1,(X),5.6,(X),14.0,(X),15.1,(X),16.3,(X),15.0,(X),11.9,(X),21.3
3,78615,1.3,58.2,12.1,55.2,27.5,25.5,76.1,16.5,66.7,21.5,100.0,25.1,(X),58.2,(X),26.6,(X),20.7,(X),100.0,(X),100.0,(X),100.0,(X),26.7,(X),100.0,(X),100.0,(X),100.0,(X),100.0
4,78617,2.7,9.9,2.6,23.7,4.6,3.1,2.1,8.7,54.5,8.4,17.5,6.5,(X),18.1,(X),6.3,(X),2.7,(X),2.0,(X),5.4,(X),15.8,(X),22.1,(X),9.8,(X),12.9,(X),26.7,(X),11.2
5,78620,5.2,21.8,6.4,20.8,11.6,14.0,5.1,6.3,48.3,9.9,14.9,4.3,(X),23.1,(X),11.4,(X),10.6,(X),7.2,(X),5.5,(X),5.7,(X),47.2,(X),8.8,(X),6.0,(X),9.7,(X),18.3
6,78621,4.6,17.3,4.1,13.2,4.7,6.2,7.5,27.0,18.4,23.2,34.5,22.7,(X),17.3,(X),4.9,(X),5.0,(X),8.1,(X),34.1,(X),38.8,(X),15.4,(X),27.8,(X),41.2,(X),34.7,(X),21.3
7,78634,4.7,16.3,4.6,4.8,6.8,11.2,3.4,10.7,23.3,9.8,9.6,14.7,(X),19.9,(X),6.2,(X),9.3,(X),4.6,(X),16.6,(X),5.1,(X),16.1,(X),18.7,(X),10.4,(X),17.8,(X),8.6
8,78641,2.6,11.2,1.6,10.7,1.5,3.4,3.1,6.0,18.7,6.6,6.6,9.3,(X),11.2,(X),4.2,(X),2.9,(X),4.0,(X),5.4,(X),6.3,(X),12.7,(X),13.5,(X),5.6,(X),10.0,(X),7.6
9,78645,7.8,38.8,9.2,36.0,14.0,11.6,13.4,4.5,43.0,11.7,21.3,7.8,(X),100.0,(X),4.8,(X),10.6,(X),15.1,(X),59.0,(X),29.4,(X),20.5,(X),28.3,(X),29.4,(X),40.3,(X),49.4
