,Zip Code,Population 3 years and over enrolled in school,"Population 3 years and over enrolled in school!!Nursery school, preschool",Population 3 years and over enrolled in school!!Kindergarten to 12th grade,Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Kindergarten,Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 1 to grade 4,Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 5 to grade 8,Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!High school: grade 9 to grade 12,"Population 3 years and over enrolled in school!!College, undergraduate","Population 3 years and over enrolled in school!!Graduate, professional school",Population enrolled in college or graduate school,Population enrolled in college or graduate school!!Males enrolled in college or graduate school,Population enrolled in college or graduate school!!Females enrolled in college or graduate school,Population 3 to 4 years,Population 3 to 4 years!!3 to 4 year olds enrolled in school,Population 5 to 9 years,Population 5 to 9 years!!5 to 9 year olds enrolled in school,Population 10 to 14 years,Population 10 to 14 years!!10 to 14 year olds enrolled in school,Population 15 to 17,Population 15 to 17!!15 to 17 year olds enrolled in school,Population 18 to 19 years,Population 18 to 19 years!!18 and 19 year olds enrolled in school,Population 20 to 24 years,Population 20 to 24 years!!20 to 24 year olds enrolled in school,Population 25 to 34 years,Population 25 to 34 years!!25 to 34 year olds enrolled in school,Population 35 years and over,Population 35 years and over!!35 years and over enrolled in school,Population 18 to 24 years,Population 18 to 24 years!!Enrolled in college or graduate school,Population 18 to 24 years!!Males 18 to 24 years,Population 18 to 24 years!!Males 18 to 24 years!!Enrolled in college or graduate school,Population 18 to 24 years!!Females 18 to 24 years,Population 18 to 24 years!!Females 18 to 24 years!!Enrolled in college or graduate school
0,78610,(X),215,"6,463",376,"2,532","1,612","1,943","1,126",394,"1,520",718,802,(X),150,(X),"2,679",(X),"2,189",(X),"1,364",(X),525,(X),528,(X),354,(X),409,(X),766,(X),417,(X),349
1,78612,(X),177,"4,142",119,"1,050","1,430","1,543",552,23,575,161,414,(X),92,(X),"1,073",(X),"1,936",(X),"1,010",(X),345,(X),88,(X),258,(X),92,(X),247,(X),0,(X),247
2,78613,(X),513,"16,329","1,036","4,542","5,428","5,323","2,382",704,"3,086","1,250","1,836",(X),440,(X),"5,000",(X),"6,728",(X),"3,585",(X),"1,269",(X),"1,302",(X),971,(X),633,(X),"1,480",(X),651,(X),829
3,78615,(X),36,347,40,136,150,21,28,1,29,2,27,(X),36,(X),142,(X),192,(X),12,(X),1,(X),7,(X),22,(X),0,(X),7,(X),2,(X),5
4,78617,(X),551,"5,757",218,"1,438","1,800","2,301",954,30,984,326,658,(X),438,(X),"1,438",(X),"2,230",(X),"1,854",(X),429,(X),400,(X),153,(X),350,(X),503,(X),171,(X),332
5,78620,(X),142,"3,009",251,741,701,"1,316",701,53,754,444,310,(X),120,(X),773,(X),"1,035",(X),940,(X),417,(X),446,(X),30,(X),144,(X),585,(X),364,(X),221
6,78621,(X),263,"4,713",318,"1,391","1,615","1,389",346,225,571,325,246,(X),263,(X),"1,410",(X),"2,045",(X),957,(X),121,(X),315,(X),268,(X),168,(X),211,(X),25,(X),186
7,78634,(X),387,"6,739",552,"2,141","1,768","2,278","1,778",141,"1,919",954,965,(X),236,(X),"2,485",(X),"2,298",(X),"1,607",(X),385,(X),953,(X),514,(X),567,(X),937,(X),436,(X),501
8,78641,(X),924,"15,242",771,"5,249","4,934","4,288","2,795",445,"3,240","1,574","1,666",(X),772,(X),"5,455",(X),"6,244",(X),"2,818",(X),"1,078",(X),"1,372",(X),924,(X),743,(X),"1,573",(X),687,(X),886
9,78645,(X),50,"1,399",93,298,580,428,213,49,262,111,151,(X),4,(X),395,(X),652,(X),374,(X),35,(X),125,(X),103,(X),23,(X),125,(X),75,(X),50
