,Zip Code,Population 3 years and over enrolled in school,"Population 3 years and over enrolled in school!!Nursery school, preschool",Population 3 years and over enrolled in school!!Kindergarten to 12th grade,Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Kindergarten,Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 1 to grade 4,Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 5 to grade 8,Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!High school: grade 9 to grade 12,"Population 3 years and over enrolled in school!!College, undergraduate","Population 3 years and over enrolled in school!!Graduate, professional school",Population enrolled in college or graduate school,Population enrolled in college or graduate school!!Males enrolled in college or graduate school,Population enrolled in college or graduate school!!Females enrolled in college or graduate school,Population 3 to 4 years,Population 3 to 4 years!!3 to 4 year olds enrolled in school,Population 5 to 9 years,Population 5 to 9 years!!5 to 9 year olds enrolled in school,Population 10 to 14 years,Population 10 to 14 years!!10 to 14 year olds enrolled in school,Population 15 to 17,Population 15 to 17!!15 to 17 year olds enrolled in school,Population 18 to 19 years,Population 18 to 19 years!!18 and 19 year olds enrolled in school,Population 20 to 24 years,Population 20 to 24 years!!20 to 24 year olds enrolled in school,Population 25 to 34 years,Population 25 to 34 years!!25 to 34 year olds enrolled in school,Population 35 years and over,Population 35 years and over!!35 years and over enrolled in school,Population 18 to 24 years,Population 18 to 24 years!!Enrolled in college or graduate school,Population 18 to 24 years!!Males 18 to 24 years,Population 18 to 24 years!!Males 18 to 24 years!!Enrolled in college or graduate school,Population 18 to 24 years!!Females 18 to 24 years,Population 18 to 24 years!!Females 18 to 24 years!!Enrolled in college or graduate school
0,78610,(X),121,968,142,915,420,365,441,299,516,382,399,(X),91,(X),941,(X),469,(X),328,(X),255,(X),342,(X),194,(X),331,(X),390,(X),311,(X),220
1,78612,(X),158,882,135,375,436,426,254,40,253,119,227,(X),122,(X),336,(X),495,(X),306,(X),216,(X),111,(X),141,(X),74,(X),199,(X),22,(X),199
2,78613,(X),220,"1,050",340,540,590,614,422,284,537,256,408,(X),218,(X),548,(X),683,(X),503,(X),257,(X),390,(X),360,(X),239,(X),298,(X),199,(X),200
3,78615,(X),55,181,39,79,103,17,40,2,40,3,40,(X),55,(X),88,(X),113,(X),12,(X),4,(X),9,(X),39,(X),14,(X),9,(X),3,(X),9
4,78617,(X),298,859,90,330,419,474,338,40,344,140,256,(X),253,(X),363,(X),458,(X),421,(X),221,(X),188,(X),115,(X),153,(X),205,(X),115,(X),154
5,78620,(X),77,429,155,218,192,348,305,49,309,243,179,(X),71,(X),217,(X),248,(X),292,(X),169,(X),272,(X),34,(X),86,(X),301,(X),236,(X),159
6,78621,(X),134,705,128,348,507,329,188,274,315,281,171,(X),134,(X),322,(X),535,(X),206,(X),91,(X),222,(X),275,(X),150,(X),169,(X),35,(X),166
7,78634,(X),133,771,209,499,381,530,441,95,446,318,307,(X),117,(X),500,(X),444,(X),366,(X),155,(X),552,(X),226,(X),279,(X),364,(X),256,(X),191
8,78641,(X),271,"1,145",215,611,671,526,523,238,597,399,386,(X),250,(X),632,(X),677,(X),400,(X),333,(X),369,(X),364,(X),235,(X),393,(X),296,(X),286
9,78645,(X),55,272,87,109,159,163,85,67,104,63,79,(X),7,(X),190,(X),163,(X),142,(X),42,(X),71,(X),68,(X),15,(X),71,(X),60,(X),38
10,78652,(X),25,240,31,131,112,106,71,61,95,56,66,(X),25,(X),139,(X),114,(X),100,(X),20,(X),41,(X),82,(X),16,(X),41,(X),41,(X),20
11,78653,(X),249,"1,088",579,508,381,547,246,112,313,154,232,(X),208,(X),896,(X),416,(X),498,(X),166,(X),245,(X),109,(X),152,(X),258,(X),122,(X),178
12,78654,(X),76,425,66,205,258,261,317,51,327,184,273,(X),76,(X),206,(X),262,(X),165,(X),104,(X),179,(X),47,(X),285,(X),179,(X),181,(X),90
13,78660,(X),338,"3,206",344,849,"2,355",963,816,319,862,542,463,(X),340,(X),843,(X),"2,382",(X),970,(X),372,(X),461,(X),283,(X),405,(X),693,(X),431,(X),363
14,78663,(X),14,42,8,10,7,37,14,14,14,14,14,(X),14,(X),13,(X),7,(X),6,(X),36,(X),14,(X),14,(X),14,(X),14,(X),14,(X),14
15,78664,(X),234,"1,088",302,466,475,735,535,194,594,324,427,(X),203,(X),538,(X),552,(X),460,(X),313,(X),358,(X),304,(X),234,(X),378,(X),246,(X),287
16,78669,(X),57,401,79,206,259,153,134,10,136,99,65,(X),57,(X),225,(X),275,(X),147,(X),104,(X),39,(X),102,(X),41,(X),58,(X),40,(X),44
