,Zip Code,Population 3 years and over enrolled in school,"Population 3 years and over enrolled in school!!Nursery school, preschool",Population 3 years and over enrolled in school!!Kindergarten to 12th grade,Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Kindergarten,Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 1 to grade 4,Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 5 to grade 8,Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!High school: grade 9 to grade 12,"Population 3 years and over enrolled in school!!College, undergraduate","Population 3 years and over enrolled in school!!Graduate, professional school",Population enrolled in college or graduate school,Population enrolled in college or graduate school!!Males enrolled in college or graduate school,Population enrolled in college or graduate school!!Females enrolled in college or graduate school,Population 3 to 4 years,Population 3 to 4 years!!3 to 4 year olds enrolled in school,Population 5 to 9 years,Population 5 to 9 years!!5 to 9 year olds enrolled in school,Population 10 to 14 years,Population 10 to 14 years!!10 to 14 year olds enrolled in school,Population 15 to 17,Population 15 to 17!!15 to 17 year olds enrolled in school,Population 18 to 19 years,Population 18 to 19 years!!18 and 19 year olds enrolled in school,Population 20 to 24 years,Population 20 to 24 years!!20 to 24 year olds enrolled in school,Population 25 to 34 years,Population 25 to 34 years!!25 to 34 year olds enrolled in school,Population 35 years and over,Population 35 years and over!!35 years and over enrolled in school,Population 18 to 24 years,Population 18 to 24 years!!Enrolled in college or graduate school,Population 18 to 24 years!!Males 18 to 24 years,Population 18 to 24 years!!Males 18 to 24 years!!Enrolled in college or graduate school,Population 18 to 24 years!!Females 18 to 24 years,Population 18 to 24 years!!Females 18 to 24 years!!Enrolled in college or graduate school
0,78610,86.9%,48.5%,88.1%,70.0%,93.3%,79.5%,94.3%,92.7%,90.6%,92.1%,95.9%,89.0%,(X),47.9%,(X),86.8%,(X),84.0%,(X),92.0%,(X),100.0%,(X),98.5%,(X),95.4%,(X),79.6%,(X),99.0%,(X),99.3%,(X),98.6%
1,78612,82.4%,59.2%,87.8%,100.0%,90.4%,88.1%,85.1%,76.0%,11.8%,62.4%,59.2%,63.8%,(X),60.1%,(X),88.0%,(X),85.6%,(X),86.3%,(X),100.0%,(X),36.5%,(X),57.2%,(X),100.0%,(X),61.8%,(X),0.0%,(X),79.7%
2,78613,83.4%,34.7%,90.5%,84.4%,92.0%,90.3%,90.7%,75.7%,58.2%,70.8%,75.9%,67.7%,(X),37.0%,(X),86.9%,(X),90.6%,(X),90.1%,(X),88.8%,(X),72.1%,(X),74.5%,(X),64.0%,(X),71.8%,(X),82.0%,(X),65.4%
3,78615,99.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,93.3%,33.3%,87.9%,100.0%,87.1%,(X),100.0%,(X),100.0%,(X),100.0%,(X),100.0%,(X),100.0%,(X),100.0%,(X),91.7%,(X),0.0%,(X),100.0%,(X),100.0%,(X),100.0%
4,78617,93.1%,90.2%,94.9%,66.3%,93.8%,97.0%,98.0%,86.6%,54.5%,85.0%,71.0%,94.3%,(X),78.5%,(X),90.8%,(X),97.0%,(X),98.5%,(X),97.1%,(X),76.3%,(X),87.4%,(X),94.3%,(X),79.5%,(X),65.5%,(X),89.2%
5,78620,83.2%,50.5%,84.4%,81.5%,78.2%,77.0%,93.9%,92.8%,59.6%,89.3%,84.4%,97.5%,(X),48.2%,(X),77.4%,(X),80.1%,(X),91.7%,(X),96.5%,(X),95.5%,(X),39.5%,(X),94.7%,(X),94.2%,(X),91.0%,(X),100.0%
6,78621,90.1%,83.8%,93.6%,100.0%,96.1%,94.2%,89.4%,60.8%,94.1%,70.7%,65.9%,78.1%,(X),83.8%,(X),96.1%,(X),95.3%,(X),91.1%,(X),62.7%,(X),68.0%,(X),100.0%,(X),65.4%,(X),58.8%,(X),14.5%,(X),100.0%
7,78634,82.2%,48.6%,90.6%,97.2%,90.0%,83.3%,96.2%,73.0%,42.1%,69.3%,75.8%,63.8%,(X),38.1%,(X),89.9%,(X),86.6%,(X),95.2%,(X),77.8%,(X),97.4%,(X),54.4%,(X),65.6%,(X),87.4%,(X),79.9%,(X),95.2%
8,78641,88.3%,49.0%,94.6%,82.3%,96.7%,94.1%,95.0%,87.0%,58.2%,81.5%,85.3%,78.2%,(X),55.4%,(X),89.6%,(X),94.4%,(X),94.2%,(X),93.9%,(X),92.3%,(X),84.7%,(X),63.8%,(X),91.4%,(X),86.9%,(X),95.3%
9,78645,88.6%,80.6%,89.7%,100.0%,100.0%,86.2%,86.3%,95.9%,55.7%,84.5%,74.0%,94.4%,(X),100.0%,(X),97.1%,(X),86.4%,(X),86.6%,(X),100.0%,(X),100.0%,(X),86.6%,(X),41.8%,(X),100.0%,(X),100.0%,(X),100.0%
10,78652,77.1%,41.0%,74.9%,48.0%,78.7%,64.2%,92.9%,97.1%,97.3%,97.2%,97.0%,97.3%,(X),41.0%,(X),76.3%,(X),62.8%,(X),92.3%,(X),-,(X),92.9%,(X),100.0%,(X),81.8%,(X),92.9%,(X),92.9%,(X),-
11,78653,89.5%,65.4%,94.1%,98.4%,96.3%,86.5%,97.8%,78.2%,72.0%,77.2%,89.2%,71.3%,(X),57.6%,(X),96.5%,(X),88.2%,(X),97.1%,(X),100.0%,(X),82.5%,(X),72.2%,(X),73.4%,(X),86.2%,(X),100.0%,(X),79.9%
12,78654,92.6%,100.0%,93.3%,59.3%,93.3%,93.2%,96.3%,90.5%,73.2%,89.1%,100.0%,84.0%,(X),100.0%,(X),91.1%,(X),92.8%,(X),96.1%,(X),84.1%,(X),100.0%,(X),42.4%,(X),96.2%,(X),94.0%,(X),100.0%,(X),84.5%
13,78660,89.6%,49.7%,94.4%,97.9%,94.1%,93.2%,95.6%,83.6%,72.4%,81.3%,91.0%,70.9%,(X),53.8%,(X),93.1%,(X),92.3%,(X),97.6%,(X),92.1%,(X),90.9%,(X),82.3%,(X),67.0%,(X),89.5%,(X),93.6%,(X),84.3%
14,78663,41.7%,-,41.7%,5.4%,100.0%,100.0%,100.0%,-,-,-,-,-,(X),-,(X),12.5%,(X),100.0%,(X),100.0%,(X),100.0%,(X),-,(X),-,(X),-,(X),-,(X),-,(X),-
15,78664,86.0%,58.0%,92.7%,88.9%,97.4%,88.4%,94.1%,82.4%,45.3%,74.7%,79.5%,70.9%,(X),49.5%,(X),94.7%,(X),89.1%,(X),94.7%,(X),92.1%,(X),87.4%,(X),58.7%,(X),69.7%,(X),87.6%,(X),86.8%,(X),88.8%
16,78669,77.7%,33.1%,87.1%,51.7%,93.7%,89.6%,93.2%,79.4%,6.5%,53.7%,45.2%,67.1%,(X),32.1%,(X),80.0%,(X),92.2%,(X),87.7%,(X),86.3%,(X),38.5%,(X),100.0%,(X),31.8%,(X),49.4%,(X),49.2%,(X),49.5%
17,78701,79.4%,100.0%,27.2%,0.0%,-,39.5%,100.0%,89.6%,80.0%,85.8%,86.7%,84.6%,(X),0.0%,(X),100.0%,(X),59.6%,(X),-,(X),100.0%,(X),88.1%,(X),75.1%,(X),95.2%,(X),89.8%,(X),94.5%,(X),84.9%
18,78702,83.1%,93.8%,82.7%,74.8%,90.8%,79.7%,76.6%,78.6%,86.5%,82.1%,83.0%,81.4%,(X),88.4%,(X),89.2%,(X),78.3%,(X),73.5%,(X),53.1%,(X),78.7%,(X),91.8%,(X),89.6%,(X),71.4%,(X),63.1%,(X),77.6%
19,78703,69.0%,9.5%,61.6%,39.5%,65.8%,52.6%,77.0%,88.9%,91.3%,90.5%,89.6%,92.7%,(X),7.6%,(X),52.2%,(X),56.1%,(X),80.6%,(X),85.5%,(X),85.9%,(X),95.2%,(X),83.4%,(X),88.1%,(X),86.1%,(X),94.2%
20,78704,77.3%,26.1%,84.4%,90.3%,79.3%,85.0%,86.6%,75.9%,78.2%,76.3%,75.9%,76.5%,(X),26.5%,(X),77.6%,(X),84.5%,(X),89.7%,(X),85.0%,(X),68.5%,(X),80.3%,(X),72.2%,(X),74.6%,(X),72.3%,(X),76.2%
21,78705,85.1%,63.8%,84.2%,100.0%,93.1%,80.0%,81.9%,85.1%,85.8%,85.2%,87.4%,83.3%,(X),0.0%,(X),87.7%,(X),81.1%,(X),76.7%,(X),82.2%,(X),87.2%,(X),90.4%,(X),59.8%,(X),85.1%,(X),87.2%,(X),83.3%
22,78712,75.9%,-,-,-,-,-,-,76.2%,65.4%,75.9%,76.9%,75.1%,(X),-,(X),-,(X),-,(X),52.6%,(X),74.3%,(X),80.4%,(X),65.4%,(X),-,(X),76.7%,(X),78.3%,(X),75.6%
23,78719,97.6%,100.0%,100.0%,-,100.0%,100.0%,100.0%,76.5%,-,76.5%,0.0%,100.0%,(X),-,(X),100.0%,(X),100.0%,(X),100.0%,(X),75.8%,(X),-,(X),-,(X),100.0%,(X),0.0%,(X),0.0%,(X),-
24,78721,86.0%,71.3%,85.3%,100.0%,78.6%,79.4%,100.0%,94.2%,89.4%,92.7%,100.0%,82.1%,(X),64.6%,(X),82.4%,(X),80.6%,(X),100.0%,(X),100.0%,(X),96.8%,(X),83.6%,(X),90.7%,(X),97.7%,(X),100.0%,(X),91.8%
25,78722,86.9%,55.6%,87.3%,47.6%,89.9%,84.6%,100.0%,92.0%,93.6%,92.9%,93.3%,92.7%,(X),51.7%,(X),86.2%,(X),84.3%,(X),100.0%,(X),100.0%,(X),80.2%,(X),94.2%,(X),98.3%,(X),82.7%,(X),77.9%,(X),87.3%
26,78723,86.3%,63.5%,90.9%,89.9%,88.6%,94.2%,91.7%,87.2%,93.1%,90.0%,90.5%,89.5%,(X),64.3%,(X),86.6%,(X),92.0%,(X),90.4%,(X),98.9%,(X),86.8%,(X),94.1%,(X),84.2%,(X),91.4%,(X),84.8%,(X),100.0%
27,78724,89.5%,76.7%,93.1%,85.4%,91.7%,98.3%,91.3%,82.5%,100.0%,84.1%,95.0%,76.8%,(X),71.1%,(X),89.6%,(X),98.4%,(X),95.4%,(X),77.4%,(X),77.2%,(X),89.3%,(X),91.3%,(X),81.3%,(X),96.5%,(X),68.6%
28,78725,96.0%,91.0%,98.0%,100.0%,100.0%,93.7%,100.0%,85.9%,100.0%,91.2%,84.8%,100.0%,(X),84.8%,(X),100.0%,(X),95.1%,(X),100.0%,(X),84.5%,(X),100.0%,(X),91.1%,(X),100.0%,(X),91.3%,(X),83.3%,(X),100.0%
29,78726,85.6%,42.1%,98.4%,100.0%,94.0%,99.9%,100.0%,61.2%,60.9%,61.1%,50.5%,70.5%,(X),27.8%,(X),92.1%,(X),99.9%,(X),98.7%,(X),68.9%,(X),80.4%,(X),50.8%,(X),52.1%,(X),69.3%,(X),69.8%,(X),69.0%
30,78727,83.0%,47.9%,86.4%,92.6%,88.8%,87.2%,77.7%,87.2%,82.2%,85.9%,88.6%,83.0%,(X),50.7%,(X),86.7%,(X),85.4%,(X),87.8%,(X),88.6%,(X),82.6%,(X),90.1%,(X),64.0%,(X),93.8%,(X),95.8%,(X),91.5%
31,78728,75.1%,47.0%,80.2%,96.6%,94.7%,90.5%,56.9%,66.9%,78.8%,69.7%,95.8%,52.9%,(X),61.1%,(X),89.1%,(X),78.0%,(X),57.3%,(X),100.0%,(X),100.0%,(X),84.2%,(X),39.7%,(X),100.0%,(X),100.0%,(X),100.0%
32,78729,82.6%,38.0%,88.6%,83.0%,90.1%,86.4%,90.4%,90.7%,70.4%,84.8%,83.7%,86.2%,(X),37.3%,(X),81.9%,(X),89.3%,(X),92.1%,(X),93.1%,(X),82.3%,(X),78.7%,(X),81.6%,(X),89.6%,(X),89.3%,(X),90.1%
