,Zip Code,Population 3 years and over enrolled in school,"Population 3 years and over enrolled in school!!Nursery school, preschool",Population 3 years and over enrolled in school!!Kindergarten to 12th grade,Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Kindergarten,Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 1 to grade 4,Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 5 to grade 8,Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!High school: grade 9 to grade 12,"Population 3 years and over enrolled in school!!College, undergraduate","Population 3 years and over enrolled in school!!Graduate, professional school",Population enrolled in college or graduate school,Population enrolled in college or graduate school!!Males enrolled in college or graduate school,Population enrolled in college or graduate school!!Females enrolled in college or graduate school,Population 3 to 4 years,Population 3 to 4 years!!3 to 4 year olds enrolled in school,Population 5 to 9 years,Population 5 to 9 years!!5 to 9 year olds enrolled in school,Population 10 to 14 years,Population 10 to 14 years!!10 to 14 year olds enrolled in school,Population 15 to 17,Population 15 to 17!!15 to 17 year olds enrolled in school,Population 18 to 19 years,Population 18 to 19 years!!18 and 19 year olds enrolled in school,Population 20 to 24 years,Population 20 to 24 years!!20 to 24 year olds enrolled in school,Population 25 to 34 years,Population 25 to 34 years!!25 to 34 year olds enrolled in school,Population 35 years and over,Population 35 years and over!!35 years and over enrolled in school,Population 18 to 24 years,Population 18 to 24 years!!Enrolled in college or graduate school,Population 18 to 24 years!!Males 18 to 24 years,Population 18 to 24 years!!Males 18 to 24 years!!Enrolled in college or graduate school,Population 18 to 24 years!!Females 18 to 24 years,Population 18 to 24 years!!Females 18 to 24 years!!Enrolled in college or graduate school
0,78610,"9,433",443,"7,340",537,"2,714","2,028","2,061","1,215",435,"1,650",749,901,"1,109",313,"3,938","3,085","2,607","2,607","1,486","1,482",748,525,"2,417",536,"5,850",371,"19,547",514,"3,165",774,"1,974",420,"1,191",354
1,78612,"5,936",299,"4,716",119,"1,161","1,623","1,813",726,195,921,272,649,547,153,"1,371","1,220","2,263","2,263","1,171","1,171",392,345,736,241,"1,815",451,"7,414",92,"1,128",400,525,90,603,310
2,78613,"23,882","1,480","18,045","1,227","4,936","6,013","5,869","3,148","1,209","4,357","1,646","2,711","1,978","1,188","5,972","5,756","7,681","7,429","4,047","3,981","1,703","1,429","3,969","1,806","12,489","1,304","42,744",989,"5,672","2,062","2,694",794,"2,978","1,268"
3,78615,416,36,347,40,136,150,21,30,3,33,2,31,55,36,142,142,192,192,36,12,37,1,55,7,211,24,564,2,92,7,36,2,56,5
4,78617,"7,834",611,"6,066",329,"1,533","1,856","2,348","1,102",55,"1,157",459,698,"1,205",558,"1,596","1,584","2,298","2,298","1,917","1,882",978,442,"2,490",524,"4,479",175,"12,653",371,"3,468",633,"2,265",261,"1,203",372
5,78620,"4,692",281,"3,567",308,948,910,"1,401",755,89,844,526,318,426,249,"1,100",999,"1,313","1,292","1,025","1,025",546,432,"1,097",467,"1,052",76,"11,282",152,"1,643",621,"1,176",400,467,221
6,78621,"6,157",314,"5,035",318,"1,448","1,715","1,554",569,239,808,493,315,665,314,"1,838","1,467","2,145","2,145","1,068","1,050",331,193,"1,368",463,"2,942",268,"13,465",257,"1,699",359,"1,028",173,671,186
7,78634,"11,005",796,"7,438",568,"2,378","2,123","2,369","2,436",335,"2,771","1,259","1,512",895,620,"2,808","2,763","2,724","2,653","1,688","1,688",744,495,"2,086",978,"5,518",944,"19,273",864,"2,830","1,072","1,195",546,"1,635",526
8,78641,"21,979","1,885","16,117",937,"5,426","5,241","4,513","3,213",764,"3,977","1,846","2,131","2,876","1,394","6,293","6,088","6,990","6,614","3,058","2,993","1,582","1,148","3,890","1,486","10,449","1,091","40,172","1,165","5,472","1,721","2,600",791,"2,872",930
9,78645,"1,932",62,"1,560",93,298,673,496,222,88,310,150,160,73,4,411,407,760,755,497,432,69,35,258,125,"1,175",119,"8,220",55,327,125,247,75,80,50
10,78652,830,39,649,50,202,229,168,69,73,142,67,75,111,39,291,240,279,253,157,156,0,0,173,28,837,103,"3,692",11,173,28,88,28,85,0
11,78653,"8,598",740,"6,763","1,017","2,114","1,986","1,646",909,186,"1,095",360,735,"1,067",566,"3,212","3,120","2,288","2,285","1,349","1,263",412,315,"1,039",361,"5,417",335,"12,660",353,"1,451",457,756,143,695,314
