,Zip Code,Population 3 years and over enrolled in school,"Population 3 years and over enrolled in school!!Nursery school, preschool",Population 3 years and over enrolled in school!!Kindergarten to 12th grade,Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Kindergarten,Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 1 to grade 4,Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 5 to grade 8,Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!High school: grade 9 to grade 12,"Population 3 years and over enrolled in school!!College, undergraduate","Population 3 years and over enrolled in school!!Graduate, professional school",Population enrolled in college or graduate school,Population enrolled in college or graduate school!!Males enrolled in college or graduate school,Population enrolled in college or graduate school!!Females enrolled in college or graduate school,Population 3 to 4 years,Population 3 to 4 years!!3 to 4 year olds enrolled in school,Population 5 to 9 years,Population 5 to 9 years!!5 to 9 year olds enrolled in school,Population 10 to 14 years,Population 10 to 14 years!!10 to 14 year olds enrolled in school,Population 15 to 17,Population 15 to 17!!15 to 17 year olds enrolled in school,Population 18 to 19 years,Population 18 to 19 years!!18 and 19 year olds enrolled in school,Population 20 to 24 years,Population 20 to 24 years!!20 to 24 year olds enrolled in school,Population 25 to 34 years,Population 25 to 34 years!!25 to 34 year olds enrolled in school,Population 35 years and over,Population 35 years and over!!35 years and over enrolled in school,Population 18 to 24 years,Population 18 to 24 years!!Enrolled in college or graduate school,Population 18 to 24 years!!Males 18 to 24 years,Population 18 to 24 years!!Males 18 to 24 years!!Enrolled in college or graduate school,Population 18 to 24 years!!Females 18 to 24 years,Population 18 to 24 years!!Females 18 to 24 years!!Enrolled in college or graduate school
0,78610,"1,393",196,"1,122",210,974,498,400,434,302,516,384,412,324,166,985,935,554,554,352,353,302,255,572,342,782,195,"1,146",361,702,390,606,311,349,220
1,78612,"1,020",199,880,135,385,446,417,354,158,391,202,300,358,150,403,382,531,531,294,294,215,216,276,201,431,211,911,74,347,303,258,143,244,218
2,78613,"1,148",356,"1,090",357,555,663,632,550,387,680,321,566,376,332,612,592,816,716,535,535,318,273,873,689,"1,145",426,"1,341",277,841,461,535,233,539,420
3,78615,238,55,181,39,79,103,17,40,4,41,3,41,62,55,88,88,113,113,41,12,60,4,60,9,172,39,143,3,84,9,49,3,64,9
4,78617,"1,043",296,884,147,337,418,479,345,53,358,162,263,395,269,371,370,460,460,425,417,249,223,684,207,945,125,"1,381",158,762,220,625,143,333,169
5,78620,733,94,487,161,229,259,353,300,85,311,256,175,160,91,264,227,287,290,294,294,190,170,410,273,269,78,853,84,427,301,388,241,190,159
6,78621,742,146,761,128,368,532,364,259,274,344,338,184,223,146,370,328,554,554,214,219,172,130,389,238,565,275,968,170,414,246,267,191,268,166
7,78634,978,219,803,212,511,468,534,513,172,536,376,408,233,205,536,526,554,528,372,372,289,236,853,553,915,335,"1,518",334,916,401,405,311,669,198
8,78641,"1,335",461,"1,155",229,619,714,532,535,287,609,425,403,543,360,671,625,591,713,419,418,365,337,706,394,"1,071",391,"1,445",256,738,411,509,311,538,289
9,78645,304,52,268,87,109,167,183,86,74,111,72,82,78,7,190,190,170,171,153,160,46,42,119,71,360,68,595,31,139,71,140,60,45,38
