,Zip Code,Population 3 years and over enrolled in school,"Population 3 years and over enrolled in school!!Nursery school, preschool",Population 3 years and over enrolled in school!!Kindergarten to 12th grade,Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Kindergarten,Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 1 to grade 4,Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 5 to grade 8,Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!High school: grade 9 to grade 12,"Population 3 years and over enrolled in school!!College, undergraduate","Population 3 years and over enrolled in school!!Graduate, professional school",Population enrolled in college or graduate school,Population enrolled in college or graduate school!!Males enrolled in college or graduate school,Population enrolled in college or graduate school!!Females enrolled in college or graduate school,Population 3 to 4 years,Population 3 to 4 years!!3 to 4 year olds enrolled in school,Population 5 to 9 years,Population 5 to 9 years!!5 to 9 year olds enrolled in school,Population 10 to 14 years,Population 10 to 14 years!!10 to 14 year olds enrolled in school,Population 15 to 17,Population 15 to 17!!15 to 17 year olds enrolled in school,Population 18 to 19 years,Population 18 to 19 years!!18 and 19 year olds enrolled in school,Population 20 to 24 years,Population 20 to 24 years!!20 to 24 year olds enrolled in school,Population 25 to 34 years,Population 25 to 34 years!!25 to 34 year olds enrolled in school,Population 35 years and over,Population 35 years and over!!35 years and over enrolled in school,Population 18 to 24 years,Population 18 to 24 years!!Enrolled in college or graduate school,Population 18 to 24 years!!Males 18 to 24 years,Population 18 to 24 years!!Males 18 to 24 years!!Enrolled in college or graduate school,Population 18 to 24 years!!Females 18 to 24 years,Population 18 to 24 years!!Females 18 to 24 years!!Enrolled in college or graduate school
0,78610,(X),4.7%,77.8%,5.7%,28.8%,21.5%,21.8%,12.9%,4.6%,17.5%,15.7%,19.4%,(X),28.2%,(X),78.3%,(X),100.0%,(X),99.7%,(X),70.2%,(X),22.2%,(X),6.3%,(X),2.6%,(X),24.5%,(X),21.3%,(X),29.7%
1,78612,(X),5.0%,79.4%,2.0%,19.6%,27.3%,30.5%,12.2%,3.3%,15.5%,8.7%,23.0%,(X),28.0%,(X),89.0%,(X),100.0%,(X),100.0%,(X),88.0%,(X),32.7%,(X),24.8%,(X),1.2%,(X),35.5%,(X),17.1%,(X),51.4%
2,78613,(X),6.2%,75.6%,5.1%,20.7%,25.2%,24.6%,13.2%,5.1%,18.2%,13.7%,22.8%,(X),60.1%,(X),96.4%,(X),96.7%,(X),98.4%,(X),83.9%,(X),45.5%,(X),10.4%,(X),2.3%,(X),36.4%,(X),29.5%,(X),42.6%
3,78615,(X),8.7%,83.4%,9.6%,32.7%,36.1%,5.0%,7.2%,0.7%,7.9%,1.1%,13.0%,(X),65.5%,(X),100.0%,(X),100.0%,(X),33.3%,(X),2.7%,(X),12.7%,(X),11.4%,(X),0.4%,(X),7.6%,(X),5.6%,(X),8.9%
4,78617,(X),7.8%,77.4%,4.2%,19.6%,23.7%,30.0%,14.1%,0.7%,14.8%,12.7%,16.6%,(X),46.3%,(X),99.2%,(X),100.0%,(X),98.2%,(X),45.2%,(X),21.0%,(X),3.9%,(X),2.9%,(X),18.3%,(X),11.5%,(X),30.9%
5,78620,(X),6.0%,76.0%,6.6%,20.2%,19.4%,29.9%,16.1%,1.9%,18.0%,19.5%,16.0%,(X),58.5%,(X),90.8%,(X),98.4%,(X),100.0%,(X),79.1%,(X),42.6%,(X),7.2%,(X),1.3%,(X),37.8%,(X),34.0%,(X),47.3%
6,78621,(X),5.1%,81.8%,5.2%,23.5%,27.9%,25.2%,9.2%,3.9%,13.1%,14.7%,11.3%,(X),47.2%,(X),79.8%,(X),100.0%,(X),98.3%,(X),58.3%,(X),33.8%,(X),9.1%,(X),1.9%,(X),21.1%,(X),16.8%,(X),27.7%
7,78634,(X),7.2%,67.6%,5.2%,21.6%,19.3%,21.5%,22.1%,3.0%,25.2%,24.5%,25.8%,(X),69.3%,(X),98.4%,(X),97.4%,(X),100.0%,(X),66.5%,(X),46.9%,(X),17.1%,(X),4.5%,(X),37.9%,(X),45.7%,(X),32.2%
8,78641,(X),8.6%,73.3%,4.3%,24.7%,23.8%,20.5%,14.6%,3.5%,18.1%,17.5%,18.6%,(X),48.5%,(X),96.7%,(X),94.6%,(X),97.9%,(X),72.6%,(X),38.2%,(X),10.4%,(X),2.9%,(X),31.5%,(X),30.4%,(X),32.4%
9,78645,(X),3.2%,80.7%,4.8%,15.4%,34.8%,25.7%,11.5%,4.6%,16.0%,14.0%,18.6%,(X),5.5%,(X),99.0%,(X),99.3%,(X),86.9%,(X),50.7%,(X),48.4%,(X),10.1%,(X),0.7%,(X),38.2%,(X),30.4%,(X),62.5%
10,78652,(X),4.7%,78.2%,6.0%,24.3%,27.6%,20.2%,8.3%,8.8%,17.1%,16.9%,17.3%,(X),35.1%,(X),82.5%,(X),90.7%,(X),99.4%,(X),-,(X),16.2%,(X),12.3%,(X),0.3%,(X),16.2%,(X),31.8%,(X),0.0%
11,78653,(X),8.6%,78.7%,11.8%,24.6%,23.1%,19.1%,10.6%,2.2%,12.7%,9.1%,15.8%,(X),53.0%,(X),97.1%,(X),99.9%,(X),93.6%,(X),76.5%,(X),34.7%,(X),6.2%,(X),2.8%,(X),31.5%,(X),18.9%,(X),45.2%
12,78654,(X),1.8%,78.7%,2.4%,19.1%,28.4%,28.8%,17.9%,1.6%,19.5%,12.7%,25.8%,(X),25.7%,(X),97.0%,(X),99.2%,(X),99.2%,(X),48.5%,(X),36.6%,(X),7.2%,(X),3.7%,(X),35.2%,(X),40.8%,(X),28.8%
13,78660,(X),5.6%,76.9%,3.5%,19.8%,31.2%,22.4%,13.9%,3.6%,17.5%,18.0%,17.0%,(X),46.6%,(X),94.0%,(X),98.4%,(X),98.8%,(X),64.7%,(X),33.6%,(X),5.6%,(X),3.8%,(X),33.1%,(X),36.6%,(X),29.5%
14,78663,(X),0.0%,100.0%,61.7%,5.0%,3.3%,30.0%,0.0%,0.0%,0.0%,0.0%,0.0%,(X),-,(X),100.0%,(X),100.0%,(X),22.7%,(X),100.0%,(X),0.0%,(X),0.0%,(X),0.0%,(X),0.0%,(X),0.0%,(X),0.0%
15,78664,(X),7.2%,69.7%,5.5%,15.7%,21.1%,27.3%,18.4%,4.8%,23.2%,21.5%,24.7%,(X),57.5%,(X),88.6%,(X),95.7%,(X),93.9%,(X),64.3%,(X),32.4%,(X),10.6%,(X),2.6%,(X),29.0%,(X),26.9%,(X),32.6%
16,78669,(X),9.1%,77.6%,9.2%,19.9%,28.5%,20.0%,8.6%,4.7%,13.3%,17.5%,9.6%,(X),60.0%,(X),99.8%,(X),100.0%,(X),99.3%,(X),87.1%,(X),37.1%,(X),6.4%,(X),1.7%,(X),35.4%,(X),22.6%,(X),53.5%
17,78701,(X),0.8%,11.1%,6.0%,0.0%,3.4%,1.7%,53.0%,35.1%,88.1%,95.0%,81.1%,(X),100.0%,(X),28.1%,(X),100.0%,(X),0.0%,(X),86.6%,(X),50.3%,(X),8.0%,(X),1.5%,(X),53.5%,(X),43.9%,(X),69.2%
18,78702,(X),5.9%,49.6%,4.2%,18.8%,13.6%,12.9%,24.6%,19.9%,44.5%,42.9%,46.0%,(X),39.4%,(X),94.4%,(X),100.0%,(X),89.9%,(X),84.0%,(X),57.8%,(X),13.5%,(X),4.1%,(X),61.3%,(X),70.9%,(X),55.6%
19,78703,(X),8.3%,51.1%,3.9%,15.2%,19.3%,12.7%,13.8%,26.8%,40.6%,47.4%,30.2%,(X),61.1%,(X),100.0%,(X),99.1%,(X),99.8%,(X),98.5%,(X),43.9%,(X),22.9%,(X),4.3%,(X),54.8%,(X),64.7%,(X),37.5%
20,78704,(X),5.8%,48.3%,5.3%,14.5%,14.4%,14.1%,37.6%,8.3%,46.0%,37.8%,53.7%,(X),47.1%,(X),93.1%,(X),97.2%,(X),91.6%,(X),89.4%,(X),30.6%,(X),6.0%,(X),1.9%,(X),41.0%,(X),41.3%,(X),40.8%
21,78705,(X),0.2%,2.1%,0.0%,0.4%,0.5%,1.1%,89.8%,8.0%,97.7%,97.1%,98.3%,(X),71.4%,(X),92.6%,(X),94.1%,(X),100.0%,(X),99.7%,(X),91.0%,(X),35.7%,(X),6.0%,(X),94.1%,(X),93.0%,(X),95.1%
22,78712,(X),0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,97.1%,2.9%,100.0%,100.0%,100.0%,(X),-,(X),-,(X),-,(X),100.0%,(X),100.0%,(X),100.0%,(X),100.0%,(X),-,(X),100.0%,(X),100.0%,(X),100.0%
23,78719,(X),10.0%,79.9%,0.0%,26.5%,11.2%,42.2%,10.0%,0.0%,10.0%,6.7%,11.9%,(X),0.0%,(X),100.0%,(X),100.0%,(X),100.0%,(X),64.7%,(X),0.0%,(X),0.0%,(X),2.7%,(X),5.9%,(X),9.4%,(X),0.0%
24,78721,(X),8.5%,65.4%,1.4%,17.0%,29.1%,18.0%,18.0%,8.0%,26.0%,29.2%,22.4%,(X),71.0%,(X),100.0%,(X),100.0%,(X),63.5%,(X),53.6%,(X),28.2%,(X),4.5%,(X),2.9%,(X),30.2%,(X),34.0%,(X),23.4%
25,78722,(X),10.8%,35.3%,1.7%,19.4%,10.6%,3.7%,24.4%,29.5%,53.9%,50.5%,56.4%,(X),65.9%,(X),97.1%,(X),93.4%,(X),72.2%,(X),84.1%,(X),38.1%,(X),16.8%,(X),5.1%,(X),35.9%,(X),38.2%,(X),34.0%
26,78723,(X),15.8%,58.9%,6.0%,23.7%,14.6%,14.5%,13.4%,12.0%,25.4%,24.1%,26.8%,(X),68.8%,(X),93.4%,(X),89.4%,(X),83.1%,(X),43.2%,(X),35.8%,(X),11.2%,(X),3.4%,(X),29.7%,(X),28.3%,(X),31.6%
27,78724,(X),14.1%,72.1%,5.3%,23.2%,21.3%,22.2%,12.6%,1.3%,13.9%,10.1%,18.5%,(X),71.4%,(X),98.2%,(X),98.8%,(X),96.0%,(X),69.4%,(X),36.7%,(X),5.1%,(X),1.4%,(X),32.0%,(X),29.0%,(X),35.0%
28,78725,(X),8.2%,71.2%,5.0%,22.3%,22.8%,21.1%,12.8%,7.7%,20.5%,22.5%,18.3%,(X),49.2%,(X),100.0%,(X),100.0%,(X),100.0%,(X),72.4%,(X),53.1%,(X),17.2%,(X),0.7%,(X),50.5%,(X),49.7%,(X),51.4%
29,78726,(X),5.0%,68.3%,2.6%,17.2%,21.6%,26.9%,20.7%,6.0%,26.7%,25.9%,27.4%,(X),38.5%,(X),68.9%,(X),97.8%,(X),100.0%,(X),100.0%,(X),30.9%,(X),9.2%,(X),1.6%,(X),46.6%,(X),30.0%,(X),75.0%
30,78727,(X),8.4%,58.8%,5.7%,26.8%,13.6%,12.8%,24.5%,8.3%,32.8%,30.8%,35.3%,(X),47.8%,(X),99.7%,(X),100.0%,(X),100.0%,(X),62.3%,(X),38.2%,(X),10.8%,(X),2.4%,(X),37.4%,(X),31.9%,(X),46.2%
31,78728,(X),5.0%,62.6%,2.5%,21.1%,16.6%,22.4%,24.8%,7.6%,32.4%,29.8%,34.3%,(X),33.8%,(X),98.2%,(X),100.0%,(X),100.0%,(X),78.1%,(X),22.9%,(X),10.8%,(X),5.7%,(X),26.3%,(X),25.7%,(X),26.7%
32,78729,(X),9.0%,54.2%,5.0%,20.0%,14.0%,15.2%,26.2%,10.6%,36.8%,38.6%,34.8%,(X),48.3%,(X),98.4%,(X),99.2%,(X),100.0%,(X),74.1%,(X),36.3%,(X),9.2%,(X),2.9%,(X),45.5%,(X),50.1%,(X),39.7%
33,78730,(X),8.5%,78.5%,11.1%,18.2%,26.0%,23.2%,7.5%,5.5%,13.0%,9.8%,16.6%,(X),85.9%,(X),93.3%,(X),99.0%,(X),100.0%,(X),100.0%,(X),58.0%,(X),13.3%,(X),0.7%,(X),35.3%,(X),28.5%,(X),41.7%
34,78731,(X),8.1%,55.8%,4.2%,21.3%,15.0%,15.3%,17.2%,18.9%,36.1%,38.5%,33.2%,(X),82.5%,(X),98.5%,(X),98.3%,(X),94.3%,(X),80.9%,(X),43.0%,(X),19.1%,(X),2.4%,(X),44.9%,(X),48.4%,(X),41.1%
35,78732,(X),7.9%,78.8%,2.9%,16.6%,29.4%,30.0%,10.3%,3.0%,13.3%,9.2%,16.8%,(X),67.1%,(X),83.9%,(X),97.3%,(X),100.0%,(X),71.8%,(X),29.4%,(X),4.2%,(X),3.5%,(X),27.4%,(X),51.7%,(X),22.7%
36,78733,(X),9.4%,81.5%,2.7%,26.5%,27.8%,24.6%,4.9%,4.2%,9.0%,10.0%,7.6%,(X),87.9%,(X),92.9%,(X),100.0%,(X),100.0%,(X),100.0%,(X),29.9%,(X),20.1%,(X),2.4%,(X),35.1%,(X),37.5%,(X),30.6%
37,78734,(X),6.2%,81.7%,3.8%,30.4%,23.7%,23.8%,10.0%,2.1%,12.0%,11.0%,13.1%,(X),43.0%,(X),98.5%,(X),98.1%,(X),96.1%,(X),54.0%,(X),60.3%,(X),10.2%,(X),1.1%,(X),45.5%,(X),39.2%,(X),55.7%
38,78735,(X),9.5%,74.8%,7.3%,30.2%,15.8%,21.6%,11.6%,4.1%,15.6%,15.4%,15.9%,(X),61.4%,(X),91.9%,(X),100.0%,(X),98.6%,(X),89.7%,(X),28.4%,(X),7.2%,(X),1.0%,(X),29.6%,(X),25.2%,(X),34.4%
39,78736,(X),6.8%,64.0%,4.0%,12.8%,28.2%,18.9%,24.3%,4.9%,29.2%,27.3%,31.0%,(X),52.0%,(X),96.4%,(X),100.0%,(X),100.0%,(X),100.0%,(X),52.5%,(X),9.6%,(X),3.5%,(X),41.9%,(X),42.5%,(X),41.7%
40,78737,(X),11.1%,75.7%,4.8%,31.7%,20.5%,18.7%,9.0%,4.2%,13.2%,15.5%,10.7%,(X),61.0%,(X),98.4%,(X),98.7%,(X),94.0%,(X),65.3%,(X),62.7%,(X),12.3%,(X),3.1%,(X),53.8%,(X),44.6%,(X),79.5%
