,Zip Code,Population 3 years and over enrolled in school,"Population 3 years and over enrolled in school!!Nursery school, preschool",Population 3 years and over enrolled in school!!Kindergarten to 12th grade,Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Kindergarten,Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 1 to grade 4,Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 5 to grade 8,Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!High school: grade 9 to grade 12,"Population 3 years and over enrolled in school!!College, undergraduate","Population 3 years and over enrolled in school!!Graduate, professional school",Population enrolled in college or graduate school,Population enrolled in college or graduate school!!Males enrolled in college or graduate school,Population enrolled in college or graduate school!!Females enrolled in college or graduate school,Population 3 to 4 years,Population 3 to 4 years!!3 to 4 year olds enrolled in school,Population 5 to 9 years,Population 5 to 9 years!!5 to 9 year olds enrolled in school,Population 10 to 14 years,Population 10 to 14 years!!10 to 14 year olds enrolled in school,Population 15 to 17,Population 15 to 17!!15 to 17 year olds enrolled in school,Population 18 to 19 years,Population 18 to 19 years!!18 and 19 year olds enrolled in school,Population 20 to 24 years,Population 20 to 24 years!!20 to 24 year olds enrolled in school,Population 25 to 34 years,Population 25 to 34 years!!25 to 34 year olds enrolled in school,Population 35 years and over,Population 35 years and over!!35 years and over enrolled in school,Population 18 to 24 years,Population 18 to 24 years!!Enrolled in college or graduate school,Population 18 to 24 years!!Males 18 to 24 years,Population 18 to 24 years!!Males 18 to 24 years!!Enrolled in college or graduate school,Population 18 to 24 years!!Females 18 to 24 years,Population 18 to 24 years!!Females 18 to 24 years!!Enrolled in college or graduate school
0,78610,(X),2.1,4.2,2.7,7.3,4.3,5.1,4.5,2.9,4.5,7.6,7.0,(X),13.4,(X),10.2,(X),1.7,(X),0.5,(X),13.9,(X),12.8,(X),3.4,(X),1.9,(X),10.8,(X),13.7,(X),14.5
1,78612,(X),3.2,6.6,2.3,5.1,5.1,6.5,5.5,2.7,6.0,6.4,8.5,(X),19.5,(X),9.4,(X),2.0,(X),3.8,(X),18.4,(X),22.7,(X),10.4,(X),1.1,(X),21.1,(X),25.9,(X),23.9
2,78613,(X),1.5,2.7,1.5,2.1,2.5,2.2,2.1,1.6,2.6,2.5,4.3,(X),9.1,(X),2.0,(X),3.2,(X),2.1,(X),6.9,(X),11.4,(X),3.4,(X),0.6,(X),6.2,(X),8.7,(X),10.0
3,78615,(X),9.7,9.3,9.2,7.7,11.6,5.4,8.6,1.1,8.7,2.0,16.7,(X),52.6,(X),26.6,(X),20.7,(X),56.0,(X),22.0,(X),21.3,(X),15.0,(X),0.6,(X),12.2,(X),11.8,(X),23.2
4,78617,(X),3.6,5.0,1.8,3.9,3.9,4.5,3.9,0.7,4.1,4.2,6.0,(X),18.4,(X),1.2,(X),1.9,(X),1.8,(X),17.3,(X),8.9,(X),2.8,(X),1.3,(X),6.8,(X),6.7,(X),14.1
5,78620,(X),1.9,4.6,3.4,5.6,4.7,5.2,4.6,1.8,4.6,7.3,6.5,(X),16.0,(X),7.6,(X),2.6,(X),4.3,(X),16.0,(X),18.8,(X),6.8,(X),0.8,(X),13.8,(X),16.0,(X),22.1
6,78621,(X),2.4,5.8,2.1,5.2,7.4,5.2,4.1,4.5,5.6,9.6,5.7,(X),16.6,(X),17.4,(X),2.1,(X),2.5,(X),26.0,(X),13.6,(X),9.3,(X),1.3,(X),12.3,(X),18.0,(X),21.9
7,78634,(X),2.0,4.0,1.9,3.9,4.1,4.6,4.0,1.6,4.3,6.6,5.6,(X),11.1,(X),2.0,(X),3.3,(X),2.6,(X),19.4,(X),12.4,(X),5.9,(X),1.7,(X),9.0,(X),17.6,(X),13.8
8,78641,(X),2.1,3.2,1.1,2.3,2.8,2.2,2.0,1.3,2.2,3.4,3.0,(X),10.3,(X),2.1,(X),4.5,(X),1.8,(X),10.0,(X),10.8,(X),3.8,(X),0.6,(X),7.9,(X),11.0,(X),9.2
9,78645,(X),2.6,5.4,4.4,5.2,7.6,7.9,4.2,3.7,5.3,6.8,8.3,(X),13.0,(X),1.5,(X),1.0,(X),12.3,(X),37.3,(X),20.8,(X),6.2,(X),0.4,(X),18.4,(X),21.4,(X),29.9
10,78652,(X),4.3,10.0,6.3,11.9,12.8,11.5,7.6,6.8,8.4,11.8,13.4,(X),29.9,(X),26.4,(X),13.9,(X),5.8,(X),**,(X),22.4,(X),9.1,(X),0.4,(X),22.4,(X),39.9,(X),37.8
11,78653,(X),3.1,5.3,5.8,4.7,4.9,5.9,3.3,1.5,4.1,4.6,5.2,(X),16.5,(X),3.2,(X),0.2,(X),5.0,(X),18.3,(X),19.5,(X),2.4,(X),1.3,(X),15.3,(X),15.6,(X),20.9
12,78654,(X),1.7,6.3,1.7,3.8,4.9,5.8,5.8,1.2,5.9,7.4,10.4,(X),24.7,(X),4.6,(X),1.2,(X),1.0,(X),26.5,(X),17.8,(X),5.9,(X),2.4,(X),10.8,(X),24.0,(X),16.7
13,78660,(X),1.7,4.0,1.3,2.1,5.2,3.6,3.4,1.2,3.5,3.7,4.4,(X),12.0,(X),3.3,(X),1.9,(X),1.6,(X),12.8,(X),7.4,(X),1.8,(X),0.9,(X),6.9,(X),8.9,(X),9.8
14,78663,(X),30.3,30.3,44.3,12.2,6.4,36.8,30.3,30.3,30.3,36.4,64.8,(X),**,(X),39.0,(X),100.0,(X),45.5,(X),62.7,(X),84.6,(X),72.8,(X),7.2,(X),50.4,(X),69.8,(X),72.8
15,78664,(X),2.0,4.3,1.8,2.6,3.1,4.2,3.1,2.8,3.8,4.2,5.6,(X),12.4,(X),5.4,(X),5.0,(X),4.8,(X),11.2,(X),7.1,(X),4.3,(X),0.9,(X),6.0,(X),6.5,(X),9.8
16,78669,(X),3.7,7.2,3.1,6.5,7.3,5.2,5.0,4.1,6.0,9.5,6.6,(X),17.4,(X),0.6,(X),4.7,(X),1.2,(X),15.1,(X),28.5,(X),7.0,(X),1.4,(X),20.1,(X),23.8,(X),32.9
17,78701,(X),1.6,8.5,8.3,3.9,3.0,2.8,11.8,12.1,8.9,6.8,15.1,(X),42.3,(X),47.8,(X),46.2,(X),100.0,(X),26.3,(X),16.4,(X),4.6,(X),1.2,(X),15.5,(X),20.6,(X),19.4
18,78702,(X),3.3,8.1,2.0,4.4,4.9,4.0,6.7,7.1,8.1,9.6,10.0,(X),17.6,(X),6.5,(X),5.4,(X),15.7,(X),14.6,(X),12.0,(X),5.3,(X),1.9,(X),12.0,(X),12.4,(X),18.6
19,78703,(X),2.9,4.9,1.7,3.8,4.2,3.8,4.5,4.6,4.6,6.4,8.1,(X),16.3,(X),5.0,(X),1.4,(X),0.6,(X),3.7,(X),14.8,(X),5.2,(X),1.3,(X),14.8,(X),18.4,(X),18.3
20,78704,(X),2.0,4.3,3.7,3.8,3.9,3.3,4.1,2.0,4.1,6.5,5.8,(X),14.2,(X),7.6,(X),4.4,(X),7.0,(X),6.3,(X),8.8,(X),1.2,(X),0.7,(X),8.0,(X),9.3,(X),10.8
21,78705,(X),0.2,0.6,0.1,0.2,0.3,0.6,1.6,1.5,0.6,1.2,0.7,(X),60.6,(X),12.0,(X),10.9,(X),14.9,(X),0.4,(X),2.3,(X),6.9,(X),3.1,(X),1.5,(X),2.8,(X),2.0
22,78712,(X),4.9,4.9,4.9,4.9,4.9,4.9,2.5,2.5,4.9,11.5,8.3,(X),**,(X),**,(X),**,(X),80.1,(X),8.5,(X),12.5,(X),68.4,(X),**,(X),5.2,(X),12.0,(X),8.7
