,Zip Code,Total population,Total population AGE,Total population AGE Under 5 years,Total population AGE 5 to 9 years,Total population AGE 10 to 14 years,Total population AGE 15 to 19 years,Total population AGE 20 to 24 years,Total population AGE 25 to 29 years,Total population AGE 30 to 34 years,Total population AGE 35 to 39 years,Total population AGE 40 to 44 years,Total population AGE 45 to 49 years,Total population AGE 50 to 54 years,Total population AGE 55 to 59 years,Total population AGE 60 to 64 years,Total population AGE 65 to 69 years,Total population AGE 70 to 74 years,Total population AGE 75 to 79 years,Total population AGE 80 to 84 years,Total population AGE 85 years and over,Total population SELECTED AGE CATEGORIES,Total population SELECTED AGE CATEGORIES 5 to 14 years,Total population SELECTED AGE CATEGORIES 15 to 17 years,Total population SELECTED AGE CATEGORIES Under 18 years,Total population SELECTED AGE CATEGORIES 18 to 24 years,Total population SELECTED AGE CATEGORIES 15 to 44 years,Total population SELECTED AGE CATEGORIES 16 years and over,Total population SELECTED AGE CATEGORIES 18 years and over,Total population SELECTED AGE CATEGORIES 21 years and over,Total population SELECTED AGE CATEGORIES 60 years and over,Total population SELECTED AGE CATEGORIES 62 years and over,Total population SELECTED AGE CATEGORIES 65 years and over,Total population SELECTED AGE CATEGORIES 75 years and over,Total population SUMMARY INDICATORS,Total population SUMMARY INDICATORS Median age (years),Total population SUMMARY INDICATORS Sex ratio (males per 100 females),Total population SUMMARY INDICATORS Age dependency ratio,Total population SUMMARY INDICATORS Old-age dependency ratio,Total population SUMMARY INDICATORS Child dependency ratio,Total population PERCENT ALLOCATED,Total population PERCENT ALLOCATED Sex,Total population PERCENT ALLOCATED Age
0,        Estimate,"20,026",,"1,285","1,924","1,176",953,901,925,"2,558","1,510","1,864","1,382","1,160","1,349","1,083",812,542,248,244,110,,"3,100",663,"5,048","1,191","8,711","15,493","14,978","14,612","3,039","2,456","1,956",602,,36.0,(X),(X),(X),(X),,(X),(X)
1,        Estimate,"8,056",,551,440,"1,096",818,337,482,634,626,480,367,445,479,479,349,246,102,125,0,,"1,536",552,"2,639",603,"3,377","5,683","5,417","5,151","1,301","1,053",822,227,,31.4,(X),(X),(X),(X),,(X),(X)
2,        Estimate,"42,439",,"2,381","2,457","3,871","2,959","2,000","2,920","3,496","3,693","3,827","3,271","2,743","2,391","1,715","1,402","1,446",611,546,710,,"6,328","1,981","10,690","2,978","18,895","33,147","31,749","30,422","6,430","5,494","4,715","1,867",,36.5,(X),(X),(X),(X),,(X),(X)
3,        Estimate,666,,54,108,64,40,20,47,47,27,27,42,33,13,38,40,26,21,8,11,,172,4,230,56,208,440,436,400,144,122,106,40,,30.0,(X),(X),(X),(X),,(X),(X)
4,        Estimate,"13,442",,"1,112",816,"1,217","1,520",725,"1,004","1,057","1,189","1,043","1,497",567,395,605,204,291,92,61,47,,"2,033","1,042","4,187","1,203","6,538","9,802","9,255","8,610","1,300","1,127",695,200,,31.9,(X),(X),(X),(X),,(X),(X)
5,        Estimate,"8,615",,462,496,600,558,279,259,335,647,675,543,951,"1,023",664,401,340,187,129,66,,"1,096",370,"1,928",467,"2,753","6,945","6,687","6,390","1,787","1,569","1,123",382,,45.0,(X),(X),(X),(X),,(X),(X)
6,        Estimate,"12,648",,658,"1,014",936,762,520,944,813,931,728,922,702,882,"1,016",893,470,197,49,211,,"1,950",611,"3,219",671,"4,698","9,682","9,429","9,080","2,836","2,446","1,820",457,,38.5,(X),(X),(X),(X),,(X),(X)
7,        Estimate,"19,286",,"1,023","1,355","1,524","1,300","1,404","1,596","1,419","2,242","1,521","1,621","1,436",664,928,350,450,290,163,0,,"2,879","1,069","4,971","1,635","9,482","15,042","14,315","13,604","2,181","1,740","1,253",453,,35.1,(X),(X),(X),(X),,(X),(X)
8,        Estimate,"39,857",,"2,688","3,178","3,588","2,529","1,846","1,945","3,451","3,584","3,088","2,965","2,124","2,550","2,083","1,552","1,336",496,224,630,,"6,766","1,503","10,957","2,872","16,443","29,811","28,900","27,473","6,321","5,367","4,238","1,350",,35.9,(X),(X),(X),(X),,(X),(X)
9,        Estimate,"5,801",,191,105,425,230,75,143,418,196,395,423,555,461,784,473,451,205,128,143,,530,225,946,80,"1,457","4,950","4,855","4,831","2,184","1,827","1,400",476,,52.2,(X),(X),(X),(X),,(X),(X)
10,        Estimate,"2,988",,174,184,132,54,85,157,254,262,53,295,332,166,275,189,75,122,58,121,,316,54,544,85,865,"2,475","2,444","2,442",840,714,565,301,,47.6,(X),(X),(X),(X),,(X),(X)
11,        Estimate,"15,692",,"1,836","1,749","1,136",731,580,"1,458","1,913","1,062",784,"1,102",548,"1,047",902,360,220,131,56,77,,"2,885",616,"5,337",695,"6,528","10,818","10,355","10,068","1,746","1,201",844,264,,31.2,(X),(X),(X),(X),,(X),(X)
12,        Estimate,"9,725",,286,362,818,693,297,269,485,802,524,530,523,754,969,714,564,471,265,399,,"1,180",431,"1,897",559,"3,070","8,109","7,828","7,443","3,382","2,908","2,413","1,135",,47.5,(X),(X),(X),(X),,(X),(X)
13,        Estimate,"52,258",,"2,811","3,381","5,331","3,344","2,025","4,502","4,566","4,293","5,209","4,182","3,225","2,776","2,358","1,940",816,775,347,377,,"8,712","1,998","13,521","3,371","23,939","40,168","38,737","36,907","6,613","5,579","4,255","1,499",,35.2,(X),(X),(X),(X),,(X),(X)
14,        Estimate,346,,3,6,0,40,0,9,11,38,0,18,8,57,70,18,39,14,0,15,,6,17,26,23,98,337,320,297,156,140,86,29,,57.6,(X),(X),(X),(X),,(X),(X)
15,        Estimate,"32,406",,"2,014","2,362","2,023","2,299","1,891","2,285","2,976","2,164","3,000","2,640","2,406","1,887","1,709","1,178",665,316,122,469,,"4,385","1,831","8,230","2,359","14,615","25,462","24,176","23,240","4,459","3,859","2,750",907,,36.1,(X),(X),(X),(X),,(X),(X)
16,        Estimate,"7,426",,929,396,530,264,156,261,510,465,474,347,699,523,748,511,290,182,78,63,,926,235,"2,090",185,"2,130","5,512","5,336","5,304","1,872","1,536","1,124",323,,43.1,(X),(X),(X),(X),,(X),(X)
17,        Estimate,"4,932",,92,32,29,75,337,896,848,303,457,557,176,378,226,193,222,98,13,0,,61,0,153,412,"2,916","4,779","4,779","4,609",752,568,526,111,,36.6,(X),(X),(X),(X),,(X),(X)
18,        Estimate,"12,532",,832,727,277,671,844,"1,829","1,765",769,813,618,850,478,458,643,347,98,176,337,,"1,004",461,"2,297","1,054","6,691","10,536","10,235","9,751","2,059","1,921","1,601",611,,33.4,(X),(X),(X),(X),,(X),(X)
19,        Estimate,"9,781",,627,523,357,341,250,859,"1,101",790,903,841,501,814,682,405,420,175,110,82,,880,271,"1,778",320,"4,244","8,201","8,003","7,920","1,874","1,582","1,192",367,,40.2,(X),(X),(X),(X),,(X),(X)
20,        Estimate,"25,055",,986,797,606,"1,088","2,809","4,026","3,036","2,991","1,621","1,477","1,217","1,344",899,970,407,334,175,272,,"1,403",370,"2,759","3,527","15,571","22,588","22,296","21,213","3,057","2,621","2,158",781,,33.4,(X),(X),(X),(X),,(X),(X)
21,        Estimate,"17,494",,88,45,72,"6,264","7,489","1,505",738,409,256,108,128,95,106,55,41,59,9,27,,117,197,402,"13,556","16,661","17,283","17,092","8,352",297,241,191,95,,20.9,(X),(X),(X),(X),,(X),(X)
22,        Estimate,519,,0,0,0,355,156,8,0,0,0,0,0,0,0,0,0,0,0,0,,0,19,19,492,519,519,500,55,0,0,0,0,,19.4,(X),(X),(X),(X),,(X),(X)
23,        Estimate,840,,67,61,72,78,18,71,41,9,72,44,49,108,39,43,25,0,16,27,,133,45,245,51,289,623,595,562,150,140,111,43,,43.1,(X),(X),(X),(X),,(X),(X)
24,        Estimate,"5,438",,189,289,249,294,285,529,675,510,605,260,304,346,151,164,150,225,88,125,,538,215,942,364,"2,898","4,671","4,496","4,374",903,780,752,438,,36.5,(X),(X),(X),(X),,(X),(X)
25,        Estimate,"3,463",,235,157,56,20,198,689,407,311,285,212,59,179,235,131,78,70,49,92,,213,9,457,209,"1,910","3,015","3,006","2,965",655,538,420,211,,34.7,(X),(X),(X),(X),,(X),(X)
26,        Estimate,"18,289",,"1,581","1,125",909,657,699,"2,008","1,722","2,331","1,225",994,752,968,853,750,819,341,238,317,,"2,034",515,"4,130",841,"8,642","14,440","14,159","13,935","3,318","2,904","2,465",896,,35.7,(X),(X),(X),(X),,(X),(X)
27,        Estimate,"11,887",,"1,096",847,"1,368",749,"1,025",873,"1,046","1,229","1,016",623,583,508,240,294,109,176,54,51,,"2,215",484,"3,795","1,290","5,938","8,393","8,092","7,489",924,851,684,281,,29.9,(X),(X),(X),(X),,(X),(X)
28,        Estimate,"4,332",,271,195,341,143,138,217,391,477,426,112,179,189,620,336,119,87,75,16,,536,143,950,138,"1,792","3,482","3,382","3,382","1,253","1,115",633,178,,38.9,(X),(X),(X),(X),,(X),(X)
