,Zip Code,Total population,Total population AGE,Total population AGE Under 5 years,Total population AGE 5 to 9 years,Total population AGE 10 to 14 years,Total population AGE 15 to 19 years,Total population AGE 20 to 24 years,Total population AGE 25 to 29 years,Total population AGE 30 to 34 years,Total population AGE 35 to 39 years,Total population AGE 40 to 44 years,Total population AGE 45 to 49 years,Total population AGE 50 to 54 years,Total population AGE 55 to 59 years,Total population AGE 60 to 64 years,Total population AGE 65 to 69 years,Total population AGE 70 to 74 years,Total population AGE 75 to 79 years,Total population AGE 80 to 84 years,Total population AGE 85 years and over,Total population SELECTED AGE CATEGORIES,Total population SELECTED AGE CATEGORIES 5 to 14 years,Total population SELECTED AGE CATEGORIES 15 to 17 years,Total population SELECTED AGE CATEGORIES Under 18 years,Total population SELECTED AGE CATEGORIES 18 to 24 years,Total population SELECTED AGE CATEGORIES 15 to 44 years,Total population SELECTED AGE CATEGORIES 16 years and over,Total population SELECTED AGE CATEGORIES 18 years and over,Total population SELECTED AGE CATEGORIES 21 years and over,Total population SELECTED AGE CATEGORIES 60 years and over,Total population SELECTED AGE CATEGORIES 62 years and over,Total population SELECTED AGE CATEGORIES 65 years and over,Total population SELECTED AGE CATEGORIES 75 years and over,Total population SUMMARY INDICATORS,Total population SUMMARY INDICATORS Median age (years),Total population SUMMARY INDICATORS Sex ratio (males per 100 females),Total population SUMMARY INDICATORS Age dependency ratio,Total population SUMMARY INDICATORS Old-age dependency ratio,Total population SUMMARY INDICATORS Child dependency ratio,Total population PERCENT ALLOCATED,Total population PERCENT ALLOCATED Sex,Total population PERCENT ALLOCATED Age
0,78610,"1,236",,291,473,294,281,301,274,492,338,556,345,236,278,330,233,186,129,152,88,,558,204,601,349,802,950,917,876,439,370,354,198,,1.7,(X),(X),(X),(X),,(X),(X)
1,78612,"1,209",,288,200,382,308,163,211,291,271,218,157,194,216,194,190,124,72,90,22,,436,267,655,244,684,732,683,621,324,295,260,117,,2.7,(X),(X),(X),(X),,(X),(X)
2,78613,"1,334",,497,375,582,539,542,461,526,434,582,454,454,354,362,272,261,186,220,273,,560,436,873,539,"1,077","1,116","1,064","1,106",606,550,520,374,,1.6,(X),(X),(X),(X),,(X),(X)
3,78615,264,,62,68,55,60,25,50,55,28,19,26,17,19,23,29,19,20,10,14,,117,6,173,64,103,135,134,117,52,51,44,26,,11.2,(X),(X),(X),(X),,(X),(X)
4,78617,"1,249",,401,260,340,441,254,451,414,318,374,481,201,161,201,101,156,90,65,43,,412,372,662,333,873,907,821,754,280,279,196,106,,3.4,(X),(X),(X),(X),,(X),(X)
5,78620,820,,137,197,238,194,160,130,112,183,228,153,240,229,150,132,115,112,61,47,,340,134,381,190,462,606,574,511,237,225,214,137,,2.6,(X),(X),(X),(X),,(X),(X)
6,78621,"1,147",,223,389,351,231,255,284,267,259,209,211,209,242,269,283,193,97,50,103,,548,194,671,268,532,737,753,683,420,380,314,138,,3.0,(X),(X),(X),(X),,(X),(X)
7,78634,"1,112",,249,322,437,385,630,409,288,492,377,445,393,187,412,153,250,163,113,30,,551,349,693,669,"1,063","1,092","1,019",958,577,382,344,212,,1.9,(X),(X),(X),(X),,(X),(X)
8,78641,"1,344",,459,494,428,393,492,511,575,526,450,449,332,525,375,301,341,169,93,255,,568,267,696,538,795,"1,168","1,127","1,049",577,545,453,302,,1.3,(X),(X),(X),(X),,(X),(X)
9,78645,386,,145,60,133,89,46,92,167,86,152,121,214,154,291,145,122,129,116,109,,141,90,204,45,206,349,349,355,335,302,251,195,,3.0,(X),(X),(X),(X),,(X),(X)
10,78652,469,,95,127,111,65,68,78,96,136,45,140,218,123,122,94,50,84,73,100,,171,65,222,68,215,376,369,370,195,188,169,141,,4.1,(X),(X),(X),(X),,(X),(X)
11,78653,"1,834",,706,535,335,248,291,466,627,297,265,409,171,424,395,149,99,65,40,64,,567,236,"1,081",301,995,"1,336","1,273","1,223",455,334,209,109,,2.1,(X),(X),(X),(X),,(X),(X)
12,78654,563,,151,159,205,206,131,147,120,282,187,155,112,228,232,151,163,140,113,140,,211,122,311,206,363,490,441,421,298,319,245,195,,2.9,(X),(X),(X),(X),,(X),(X)
13,78660,"2,957",,578,707,"1,326",694,577,970,777,695,"1,397",668,563,629,415,484,281,282,151,250,,"1,869",381,"1,907",696,"1,887","1,841","1,802","1,635",777,777,745,425,,1.3,(X),(X),(X),(X),,(X),(X)
14,78663,115,,5,10,14,58,14,15,12,54,14,18,12,51,54,25,43,20,14,23,,10,26,30,33,77,113,104,99,76,76,57,30,,6.7,(X),(X),(X),(X),,(X),(X)
15,78664,"1,506",,338,432,428,392,388,471,505,431,604,495,411,551,567,307,205,207,55,206,,627,353,769,433,"1,033","1,311","1,263","1,256",762,681,485,274,,2.6,(X),(X),(X),(X),,(X),(X)
16,78669,681,,315,150,239,109,109,156,166,149,134,114,316,187,201,167,121,109,42,45,,268,100,326,116,312,509,516,513,272,251,224,140,,4.1,(X),(X),(X),(X),,(X),(X)
17,78701,749,,104,32,26,93,134,328,314,213,297,441,96,230,126,111,134,54,26,22,,54,22,118,183,592,727,727,712,252,205,199,60,,5.5,(X),(X),(X),(X),,(X),(X)
18,78702,"1,180",,305,212,137,316,264,370,305,179,286,198,396,176,220,287,174,76,116,131,,275,245,509,374,629,993,934,913,417,410,365,200,,1.5,(X),(X),(X),(X),,(X),(X)
19,78703,926,,189,138,137,207,123,216,397,174,220,287,148,308,165,150,150,68,80,65,,183,193,336,134,559,841,739,732,266,259,224,122,,2.1,(X),(X),(X),(X),,(X),(X)
20,78704,"1,622",,312,364,208,326,638,595,385,588,358,348,317,360,259,180,148,110,85,99,,383,183,500,686,"1,206","1,425","1,393","1,327",413,331,266,141,,1.4,(X),(X),(X),(X),,(X),(X)
21,78705,"1,375",,79,40,46,735,764,434,268,193,152,54,121,45,62,42,45,50,13,36,,57,80,125,"1,177","1,336","1,361","1,365",928,93,90,78,55,,0.3,(X),(X),(X),(X),,(X),(X)
22,78712,268,,14,14,14,179,109,18,14,14,14,14,14,14,14,14,14,14,14,14,,14,26,26,236,268,268,248,41,14,14,14,14,,0.6,(X),(X),(X),(X),,(X),(X)
23,78719,208,,112,55,47,57,24,41,32,14,39,44,65,53,25,42,21,14,20,26,,67,34,140,42,92,140,125,110,49,45,43,28,,23.2,(X),(X),(X),(X),,(X),(X)
