,Zip Code,Total population,Total population AGE,Total population AGE Under 5 years,Total population AGE 5 to 9 years,Total population AGE 10 to 14 years,Total population AGE 15 to 19 years,Total population AGE 20 to 24 years,Total population AGE 25 to 29 years,Total population AGE 30 to 34 years,Total population AGE 35 to 39 years,Total population AGE 40 to 44 years,Total population AGE 45 to 49 years,Total population AGE 50 to 54 years,Total population AGE 55 to 59 years,Total population AGE 60 to 64 years,Total population AGE 65 to 69 years,Total population AGE 70 to 74 years,Total population AGE 75 to 79 years,Total population AGE 80 to 84 years,Total population AGE 85 years and over,Total population SELECTED AGE CATEGORIES,Total population SELECTED AGE CATEGORIES 5 to 14 years,Total population SELECTED AGE CATEGORIES 15 to 17 years,Total population SELECTED AGE CATEGORIES Under 18 years,Total population SELECTED AGE CATEGORIES 18 to 24 years,Total population SELECTED AGE CATEGORIES 15 to 44 years,Total population SELECTED AGE CATEGORIES 16 years and over,Total population SELECTED AGE CATEGORIES 18 years and over,Total population SELECTED AGE CATEGORIES 21 years and over,Total population SELECTED AGE CATEGORIES 60 years and over,Total population SELECTED AGE CATEGORIES 62 years and over,Total population SELECTED AGE CATEGORIES 65 years and over,Total population SELECTED AGE CATEGORIES 75 years and over,Total population SUMMARY INDICATORS,Total population SUMMARY INDICATORS Median age (years),Total population SUMMARY INDICATORS Sex ratio (males per 100 females),Total population SUMMARY INDICATORS Age dependency ratio,Total population SUMMARY INDICATORS Old-age dependency ratio,Total population SUMMARY INDICATORS Child dependency ratio,Total population PERCENT ALLOCATED,Total population PERCENT ALLOCATED Sex,Total population PERCENT ALLOCATED Age
0,        Estimate,(X),,6.4%,9.6%,5.9%,4.8%,4.5%,4.6%,12.8%,7.5%,9.3%,6.9%,5.8%,6.7%,5.4%,4.1%,2.7%,1.2%,1.2%,0.5%,,15.5%,3.3%,25.2%,5.9%,43.5%,77.4%,74.8%,73.0%,15.2%,12.3%,9.8%,3.0%,,(X),(X),(X),(X),(X),,(X),(X)
1,        Estimate,(X),,6.8%,5.5%,13.6%,10.2%,4.2%,6.0%,7.9%,7.8%,6.0%,4.6%,5.5%,5.9%,5.9%,4.3%,3.1%,1.3%,1.6%,0.0%,,19.1%,6.9%,32.8%,7.5%,41.9%,70.5%,67.2%,63.9%,16.1%,13.1%,10.2%,2.8%,,(X),(X),(X),(X),(X),,(X),(X)
2,        Estimate,(X),,5.6%,5.8%,9.1%,7.0%,4.7%,6.9%,8.2%,8.7%,9.0%,7.7%,6.5%,5.6%,4.0%,3.3%,3.4%,1.4%,1.3%,1.7%,,14.9%,4.7%,25.2%,7.0%,44.5%,78.1%,74.8%,71.7%,15.2%,12.9%,11.1%,4.4%,,(X),(X),(X),(X),(X),,(X),(X)
3,        Estimate,(X),,8.1%,16.2%,9.6%,6.0%,3.0%,7.1%,7.1%,4.1%,4.1%,6.3%,5.0%,2.0%,5.7%,6.0%,3.9%,3.2%,1.2%,1.7%,,25.8%,0.6%,34.5%,8.4%,31.2%,66.1%,65.5%,60.1%,21.6%,18.3%,15.9%,6.0%,,(X),(X),(X),(X),(X),,(X),(X)
4,        Estimate,(X),,8.3%,6.1%,9.1%,11.3%,5.4%,7.5%,7.9%,8.8%,7.8%,11.1%,4.2%,2.9%,4.5%,1.5%,2.2%,0.7%,0.5%,0.3%,,15.1%,7.8%,31.1%,8.9%,48.6%,72.9%,68.9%,64.1%,9.7%,8.4%,5.2%,1.5%,,(X),(X),(X),(X),(X),,(X),(X)
5,        Estimate,(X),,5.4%,5.8%,7.0%,6.5%,3.2%,3.0%,3.9%,7.5%,7.8%,6.3%,11.0%,11.9%,7.7%,4.7%,3.9%,2.2%,1.5%,0.8%,,12.7%,4.3%,22.4%,5.4%,32.0%,80.6%,77.6%,74.2%,20.7%,18.2%,13.0%,4.4%,,(X),(X),(X),(X),(X),,(X),(X)
6,        Estimate,(X),,5.2%,8.0%,7.4%,6.0%,4.1%,7.5%,6.4%,7.4%,5.8%,7.3%,5.6%,7.0%,8.0%,7.1%,3.7%,1.6%,0.4%,1.7%,,15.4%,4.8%,25.5%,5.3%,37.1%,76.5%,74.5%,71.8%,22.4%,19.3%,14.4%,3.6%,,(X),(X),(X),(X),(X),,(X),(X)
7,        Estimate,(X),,5.3%,7.0%,7.9%,6.7%,7.3%,8.3%,7.4%,11.6%,7.9%,8.4%,7.4%,3.4%,4.8%,1.8%,2.3%,1.5%,0.8%,0.0%,,14.9%,5.5%,25.8%,8.5%,49.2%,78.0%,74.2%,70.5%,11.3%,9.0%,6.5%,2.3%,,(X),(X),(X),(X),(X),,(X),(X)
8,        Estimate,(X),,6.7%,8.0%,9.0%,6.3%,4.6%,4.9%,8.7%,9.0%,7.7%,7.4%,5.3%,6.4%,5.2%,3.9%,3.4%,1.2%,0.6%,1.6%,,17.0%,3.8%,27.5%,7.2%,41.3%,74.8%,72.5%,68.9%,15.9%,13.5%,10.6%,3.4%,,(X),(X),(X),(X),(X),,(X),(X)
9,        Estimate,(X),,3.3%,1.8%,7.3%,4.0%,1.3%,2.5%,7.2%,3.4%,6.8%,7.3%,9.6%,7.9%,13.5%,8.2%,7.8%,3.5%,2.2%,2.5%,,9.1%,3.9%,16.3%,1.4%,25.1%,85.3%,83.7%,83.3%,37.6%,31.5%,24.1%,8.2%,,(X),(X),(X),(X),(X),,(X),(X)
