,Zip Code,Total population,Total population AGE,Total population AGE Under 5 years,Total population AGE 5 to 9 years,Total population AGE 10 to 14 years,Total population AGE 15 to 19 years,Total population AGE 20 to 24 years,Total population AGE 25 to 29 years,Total population AGE 30 to 34 years,Total population AGE 35 to 39 years,Total population AGE 40 to 44 years,Total population AGE 45 to 49 years,Total population AGE 50 to 54 years,Total population AGE 55 to 59 years,Total population AGE 60 to 64 years,Total population AGE 65 to 69 years,Total population AGE 70 to 74 years,Total population AGE 75 to 79 years,Total population AGE 80 to 84 years,Total population AGE 85 years and over,Total population SELECTED AGE CATEGORIES,Total population SELECTED AGE CATEGORIES 5 to 14 years,Total population SELECTED AGE CATEGORIES 15 to 17 years,Total population SELECTED AGE CATEGORIES Under 18 years,Total population SELECTED AGE CATEGORIES 18 to 24 years,Total population SELECTED AGE CATEGORIES 15 to 44 years,Total population SELECTED AGE CATEGORIES 16 years and over,Total population SELECTED AGE CATEGORIES 18 years and over,Total population SELECTED AGE CATEGORIES 21 years and over,Total population SELECTED AGE CATEGORIES 60 years and over,Total population SELECTED AGE CATEGORIES 62 years and over,Total population SELECTED AGE CATEGORIES 65 years and over,Total population SELECTED AGE CATEGORIES 75 years and over,Total population SUMMARY INDICATORS,Total population SUMMARY INDICATORS Median age (years),Total population SUMMARY INDICATORS Sex ratio (males per 100 females),Total population SUMMARY INDICATORS Age dependency ratio,Total population SUMMARY INDICATORS Old-age dependency ratio,Total population SUMMARY INDICATORS Child dependency ratio,Total population PERCENT ALLOCATED,Total population PERCENT ALLOCATED Sex,Total population PERCENT ALLOCATED Age
0,78610,"19,472",,"1,620","2,014","1,431","1,281","1,516","1,122","1,245","2,112","1,128","1,062","1,447","1,033",997,735,296,223,111,99,,"3,445",823,"5,888","1,974","8,404","14,199","13,584","12,983","2,461","2,178","1,464",433,,32.8,(X),(X),(X),(X),,(X),(X)
1,78612,"8,178",,521,931,"1,167",745,399,323,376,701,344,457,344,511,520,468,187,99,44,41,,"2,098",619,"3,238",525,"2,888","5,483","4,940","4,814","1,359","1,191",839,184,,30.1,(X),(X),(X),(X),,(X),(X)
2,78613,"41,437",,"2,890","3,515","3,810","2,791","1,969","2,676","3,397","3,470","3,667","3,539","2,461","2,266","1,741","1,082",947,557,352,307,,"7,325","2,066","12,281","2,694","17,970","30,592","29,156","28,221","4,986","4,273","3,245","1,216",,34.7,(X),(X),(X),(X),,(X),(X)
3,78615,697,,72,34,128,33,35,50,67,6,50,28,25,55,32,18,19,8,3,34,,162,32,266,36,241,463,431,430,114,104,82,45,,29.8,(X),(X),(X),(X),,(X),(X)
4,78617,"14,934",,853,780,"1,081","1,375","1,765","1,429",989,"1,053","1,604",934,"1,052",829,615,345,165,24,41,0,,"1,861",875,"3,589","2,265","8,215","11,967","11,345","10,201","1,190",811,575,65,,31.1,(X),(X),(X),(X),,(X),(X)
5,78620,"9,805",,543,604,713,"1,013",818,240,218,969,519,516,765,"1,042",594,677,345,165,40,24,,"1,317",655,"2,515","1,176","3,777","7,598","7,290","6,625","1,845","1,473","1,251",229,,38.3,(X),(X),(X),(X),,(X),(X)
6,78621,"11,942",,775,824,"1,209",637,848,510,675,"1,353",724,672,594,719,788,569,468,358,131,88,,"2,033",457,"3,265","1,028","4,747","8,962","8,677","8,197","2,402","2,079","1,614",577,,36.3,(X),(X),(X),(X),,(X),(X)
7,78634,"18,012",,"1,434","1,453","1,200","1,132",682,"1,245","1,258","1,499","2,698","1,350","1,397",901,777,187,598,142,0,59,,"2,653",619,"4,706","1,195","8,514","13,688","13,306","12,662","1,763","1,482",986,201,,37.5,(X),(X),(X),(X),,(X),(X)
8,78641,"38,711",,"3,446","3,115","3,402","2,111","2,044","1,640","3,413","2,778","3,404","3,330","2,370","2,610","1,920",958,"1,173",615,215,167,,"6,517","1,555","11,518","2,600","15,390","28,293","27,193","26,146","5,048","4,361","3,128",997,,35.5,(X),(X),(X),(X),,(X),(X)
9,78645,"6,072",,292,306,335,336,183,249,365,344,300,452,330,508,594,425,402,167,238,246,,641,272,"1,205",247,"1,777","5,032","4,867","4,739","2,072","1,858","1,478",651,,47.7,(X),(X),(X),(X),,(X),(X)
10,78652,"2,775",,160,107,147,103,88,130,296,330,133,99,142,346,135,201,230,93,20,15,,254,103,517,88,"1,080","2,361","2,258","2,234",694,686,559,128,,42.3,(X),(X),(X),(X),,(X),(X)
11,78653,"13,930",,"1,409","1,463","1,152","1,030",459,604,"1,442","1,673",986,"1,114",653,649,617,309,213,109,30,18,,"2,615",733,"4,757",756,"6,194","9,836","9,173","8,764","1,296",998,679,157,,33.3,(X),(X),(X),(X),,(X),(X)
12,78654,"8,799",,372,610,618,748,451,241,283,791,369,490,299,834,705,599,534,436,311,108,,"1,228",569,"2,169",630,"2,883","7,067","6,630","6,269","2,693","2,363","1,988",855,,44.1,(X),(X),(X),(X),,(X),(X)
13,78660,"49,679",,"3,471","3,347","4,877","4,242","2,351","3,970","3,891","4,063","3,829","4,152","3,694","2,769","1,874","1,448",850,497,293,61,,"8,224","3,114","14,809","3,479","22,346","37,170","34,870","33,293","5,023","4,025","3,149",851,,33.3,(X),(X),(X),(X),,(X),(X)
14,78663,436,,0,74,4,13,17,3,0,4,10,57,64,97,17,2,64,2,8,0,,78,5,83,25,47,356,353,345,93,80,76,10,,51.7,(X),(X),(X),(X),,(X),(X)
15,78664,"31,255",,"1,482","1,522","2,199","3,033","2,549","3,429","2,226","3,040","2,326","1,879","2,113","1,797","1,363",771,653,491,275,107,,"3,721","1,699","6,902","3,883","16,603","25,600","24,353","22,535","3,660","3,039","2,297",873,,33.2,(X),(X),(X),(X),,(X),(X)
16,78669,"6,612",,220,406,396,386,89,137,410,525,512,543,637,622,428,571,416,170,104,40,,802,214,"1,236",261,"2,059","5,580","5,376","5,202","1,729","1,626","1,301",314,,47.3,(X),(X),(X),(X),,(X),(X)
17,78701,"6,971",,62,0,28,30,646,905,"1,205",796,665,419,425,446,605,381,142,145,66,5,,28,8,98,668,"4,247","6,881","6,873","6,777","1,344",887,739,216,,38.4,(X),(X),(X),(X),,(X),(X)
18,78702,"12,861",,675,669,530,306,513,"2,098","2,070","1,472","1,147",650,658,639,474,467,168,92,126,107,,"1,199",191,"2,065",628,"7,606","10,944","10,796","10,632","1,434","1,245",960,325,,33.9,(X),(X),(X),(X),,(X),(X)
19,78703,"10,516",,524,353,785,463,299,"1,210","1,131",745,"1,019",731,369,711,773,572,445,198,125,63,,"1,138",204,"1,866",558,"4,867","8,800","8,650","8,390","2,176","2,029","1,403",386,,37.8,(X),(X),(X),(X),,(X),(X)
