,Zip Code,Total population,Total population AGE,Total population AGE Under 5 years,Total population AGE 5 to 9 years,Total population AGE 10 to 14 years,Total population AGE 15 to 19 years,Total population AGE 20 to 24 years,Total population AGE 25 to 29 years,Total population AGE 30 to 34 years,Total population AGE 35 to 39 years,Total population AGE 40 to 44 years,Total population AGE 45 to 49 years,Total population AGE 50 to 54 years,Total population AGE 55 to 59 years,Total population AGE 60 to 64 years,Total population AGE 65 to 69 years,Total population AGE 70 to 74 years,Total population AGE 75 to 79 years,Total population AGE 80 to 84 years,Total population AGE 85 years and over,Total population SELECTED AGE CATEGORIES,Total population SELECTED AGE CATEGORIES 5 to 14 years,Total population SELECTED AGE CATEGORIES 15 to 17 years,Total population SELECTED AGE CATEGORIES Under 18 years,Total population SELECTED AGE CATEGORIES 18 to 24 years,Total population SELECTED AGE CATEGORIES 15 to 44 years,Total population SELECTED AGE CATEGORIES 16 years and over,Total population SELECTED AGE CATEGORIES 18 years and over,Total population SELECTED AGE CATEGORIES 21 years and over,Total population SELECTED AGE CATEGORIES 60 years and over,Total population SELECTED AGE CATEGORIES 62 years and over,Total population SELECTED AGE CATEGORIES 65 years and over,Total population SELECTED AGE CATEGORIES 75 years and over,Total population SUMMARY INDICATORS,Total population SUMMARY INDICATORS Median age (years),Total population SUMMARY INDICATORS Sex ratio (males per 100 females),Total population SUMMARY INDICATORS Age dependency ratio,Total population SUMMARY INDICATORS Old-age dependency ratio,Total population SUMMARY INDICATORS Child dependency ratio,Total population PERCENT ALLOCATED,Total population PERCENT ALLOCATED Sex,Total population PERCENT ALLOCATED Age
0,        Margin of Error,"1,334",,422,668,402,380,475,334,348,405,384,258,318,284,269,212,130,88,84,86,,797,271,881,606,875,"1,059",998,918,391,378,274,158,,3.2,(X),(X),(X),(X),,(X),(X)
1,        Margin of Error,977,,255,291,331,235,221,179,164,284,187,183,158,203,220,240,108,83,53,49,,483,182,598,258,561,692,640,614,326,319,260,105,,6.6,(X),(X),(X),(X),,(X),(X)
2,        Margin of Error,"1,354",,472,542,500,449,537,623,543,525,542,589,321,387,310,270,243,178,127,153,,665,400,921,535,"1,028","1,179","1,148","1,146",516,455,406,256,,0.8,(X),(X),(X),(X),,(X),(X)
3,        Margin of Error,258,,65,46,77,41,49,40,85,9,30,18,18,47,19,14,15,11,4,39,,87,41,121,49,132,159,156,156,47,45,45,41,,8.7,(X),(X),(X),(X),,(X),(X)
4,        Margin of Error,"1,381",,333,281,341,276,583,511,239,244,525,293,285,256,385,179,122,28,57,26,,445,248,584,625,971,"1,293","1,276",981,480,318,245,60,,3.4,(X),(X),(X),(X),,(X),(X)
5,        Margin of Error,901,,170,182,200,283,373,117,94,267,190,154,220,236,183,185,121,63,31,30,,263,232,382,388,577,682,674,527,255,208,182,72,,2.6,(X),(X),(X),(X),,(X),(X)
6,        Margin of Error,947,,266,224,380,151,248,219,308,367,277,199,194,232,250,237,166,169,80,84,,449,114,517,267,525,724,723,690,381,357,291,185,,1.2,(X),(X),(X),(X),,(X),(X)
7,        Margin of Error,960,,354,351,295,392,314,508,383,269,752,303,350,272,256,86,298,75,30,72,,452,222,613,405,958,894,870,786,428,395,305,114,,2.5,(X),(X),(X),(X),,(X),(X)
8,        Margin of Error,"1,266",,571,414,457,348,464,517,483,482,577,486,423,486,373,220,283,200,101,118,,629,309,760,509,936,994,950,903,473,435,398,241,,1.8,(X),(X),(X),(X),,(X),(X)
9,        Margin of Error,437,,132,185,107,133,119,202,223,106,95,122,113,137,214,129,185,68,138,201,,200,123,293,140,313,349,345,326,303,299,279,221,,3.9,(X),(X),(X),(X),,(X),(X)
