,Zip Code,Total population,Total population AGE,Total population AGE Under 5 years,Total population AGE 5 to 9 years,Total population AGE 10 to 14 years,Total population AGE 15 to 19 years,Total population AGE 20 to 24 years,Total population AGE 25 to 29 years,Total population AGE 30 to 34 years,Total population AGE 35 to 39 years,Total population AGE 40 to 44 years,Total population AGE 45 to 49 years,Total population AGE 50 to 54 years,Total population AGE 55 to 59 years,Total population AGE 60 to 64 years,Total population AGE 65 to 69 years,Total population AGE 70 to 74 years,Total population AGE 75 to 79 years,Total population AGE 80 to 84 years,Total population AGE 85 years and over,Total population SELECTED AGE CATEGORIES,Total population SELECTED AGE CATEGORIES 5 to 14 years,Total population SELECTED AGE CATEGORIES 15 to 17 years,Total population SELECTED AGE CATEGORIES Under 18 years,Total population SELECTED AGE CATEGORIES 18 to 24 years,Total population SELECTED AGE CATEGORIES 15 to 44 years,Total population SELECTED AGE CATEGORIES 16 years and over,Total population SELECTED AGE CATEGORIES 18 years and over,Total population SELECTED AGE CATEGORIES 21 years and over,Total population SELECTED AGE CATEGORIES 60 years and over,Total population SELECTED AGE CATEGORIES 62 years and over,Total population SELECTED AGE CATEGORIES 65 years and over,Total population SELECTED AGE CATEGORIES 75 years and over,Total population SUMMARY INDICATORS,Total population SUMMARY INDICATORS Median age (years),Total population SUMMARY INDICATORS Sex ratio (males per 100 females),Total population SUMMARY INDICATORS Age dependency ratio,Total population SUMMARY INDICATORS Old-age dependency ratio,Total population SUMMARY INDICATORS Child dependency ratio,Total population PERCENT ALLOCATED,Total population PERCENT ALLOCATED Sex,Total population PERCENT ALLOCATED Age
0,        Estimate,(X),,8.3%,10.3%,7.3%,6.6%,7.8%,5.8%,6.4%,10.8%,5.8%,5.5%,7.4%,5.3%,5.1%,3.8%,1.5%,1.1%,0.6%,0.5%,,17.7%,4.2%,30.2%,10.1%,43.2%,72.9%,69.8%,66.7%,12.6%,11.2%,7.5%,2.2%,,(X),(X),(X),(X),(X),,(X),(X)
1,        Estimate,(X),,6.4%,11.4%,14.3%,9.1%,4.9%,3.9%,4.6%,8.6%,4.2%,5.6%,4.2%,6.2%,6.4%,5.7%,2.3%,1.2%,0.5%,0.5%,,25.7%,7.6%,39.6%,6.4%,35.3%,67.0%,60.4%,58.9%,16.6%,14.6%,10.3%,2.2%,,(X),(X),(X),(X),(X),,(X),(X)
2,        Estimate,(X),,7.0%,8.5%,9.2%,6.7%,4.8%,6.5%,8.2%,8.4%,8.8%,8.5%,5.9%,5.5%,4.2%,2.6%,2.3%,1.3%,0.8%,0.7%,,17.7%,5.0%,29.6%,6.5%,43.4%,73.8%,70.4%,68.1%,12.0%,10.3%,7.8%,2.9%,,(X),(X),(X),(X),(X),,(X),(X)
3,        Estimate,(X),,10.3%,4.9%,18.4%,4.7%,5.0%,7.2%,9.6%,0.9%,7.2%,4.0%,3.6%,7.9%,4.6%,2.6%,2.7%,1.1%,0.4%,4.9%,,23.2%,4.6%,38.2%,5.2%,34.6%,66.4%,61.8%,61.7%,16.4%,14.9%,11.8%,6.5%,,(X),(X),(X),(X),(X),,(X),(X)
4,        Estimate,(X),,5.7%,5.2%,7.2%,9.2%,11.8%,9.6%,6.6%,7.1%,10.7%,6.3%,7.0%,5.6%,4.1%,2.3%,1.1%,0.2%,0.3%,0.0%,,12.5%,5.9%,24.0%,15.2%,55.0%,80.1%,76.0%,68.3%,8.0%,5.4%,3.9%,0.4%,,(X),(X),(X),(X),(X),,(X),(X)
5,        Estimate,(X),,5.5%,6.2%,7.3%,10.3%,8.3%,2.4%,2.2%,9.9%,5.3%,5.3%,7.8%,10.6%,6.1%,6.9%,3.5%,1.7%,0.4%,0.2%,,13.4%,6.7%,25.7%,12.0%,38.5%,77.5%,74.3%,67.6%,18.8%,15.0%,12.8%,2.3%,,(X),(X),(X),(X),(X),,(X),(X)
6,        Estimate,(X),,6.5%,6.9%,10.1%,5.3%,7.1%,4.3%,5.7%,11.3%,6.1%,5.6%,5.0%,6.0%,6.6%,4.8%,3.9%,3.0%,1.1%,0.7%,,17.0%,3.8%,27.3%,8.6%,39.8%,75.0%,72.7%,68.6%,20.1%,17.4%,13.5%,4.8%,,(X),(X),(X),(X),(X),,(X),(X)
7,        Estimate,(X),,8.0%,8.1%,6.7%,6.3%,3.8%,6.9%,7.0%,8.3%,15.0%,7.5%,7.8%,5.0%,4.3%,1.0%,3.3%,0.8%,0.0%,0.3%,,14.7%,3.4%,26.1%,6.6%,47.3%,76.0%,73.9%,70.3%,9.8%,8.2%,5.5%,1.1%,,(X),(X),(X),(X),(X),,(X),(X)
8,        Estimate,(X),,8.9%,8.0%,8.8%,5.5%,5.3%,4.2%,8.8%,7.2%,8.8%,8.6%,6.1%,6.7%,5.0%,2.5%,3.0%,1.6%,0.6%,0.4%,,16.8%,4.0%,29.8%,6.7%,39.8%,73.1%,70.2%,67.5%,13.0%,11.3%,8.1%,2.6%,,(X),(X),(X),(X),(X),,(X),(X)
9,        Estimate,(X),,4.8%,5.0%,5.5%,5.5%,3.0%,4.1%,6.0%,5.7%,4.9%,7.4%,5.4%,8.4%,9.8%,7.0%,6.6%,2.8%,3.9%,4.1%,,10.6%,4.5%,19.8%,4.1%,29.3%,82.9%,80.2%,78.0%,34.1%,30.6%,24.3%,10.7%,,(X),(X),(X),(X),(X),,(X),(X)
10,        Estimate,(X),,5.8%,3.9%,5.3%,3.7%,3.2%,4.7%,10.7%,11.9%,4.8%,3.6%,5.1%,12.5%,4.9%,7.2%,8.3%,3.4%,0.7%,0.5%,,9.2%,3.7%,18.6%,3.2%,38.9%,85.1%,81.4%,80.5%,25.0%,24.7%,20.1%,4.6%,,(X),(X),(X),(X),(X),,(X),(X)
11,        Estimate,(X),,10.1%,10.5%,8.3%,7.4%,3.3%,4.3%,10.4%,12.0%,7.1%,8.0%,4.7%,4.7%,4.4%,2.2%,1.5%,0.8%,0.2%,0.1%,,18.8%,5.3%,34.1%,5.4%,44.5%,70.6%,65.9%,62.9%,9.3%,7.2%,4.9%,1.1%,,(X),(X),(X),(X),(X),,(X),(X)
12,        Estimate,(X),,4.2%,6.9%,7.0%,8.5%,5.1%,2.7%,3.2%,9.0%,4.2%,5.6%,3.4%,9.5%,8.0%,6.8%,6.1%,5.0%,3.5%,1.2%,,14.0%,6.5%,24.7%,7.2%,32.8%,80.3%,75.3%,71.2%,30.6%,26.9%,22.6%,9.7%,,(X),(X),(X),(X),(X),,(X),(X)
13,        Estimate,(X),,7.0%,6.7%,9.8%,8.5%,4.7%,8.0%,7.8%,8.2%,7.7%,8.4%,7.4%,5.6%,3.8%,2.9%,1.7%,1.0%,0.6%,0.1%,,16.6%,6.3%,29.8%,7.0%,45.0%,74.8%,70.2%,67.0%,10.1%,8.1%,6.3%,1.7%,,(X),(X),(X),(X),(X),,(X),(X)
14,        Estimate,(X),,0.0%,17.0%,0.9%,3.0%,3.9%,0.7%,0.0%,0.9%,2.3%,13.1%,14.7%,22.2%,3.9%,0.5%,14.7%,0.5%,1.8%,0.0%,,17.9%,1.1%,19.0%,5.7%,10.8%,81.7%,81.0%,79.1%,21.3%,18.3%,17.4%,2.3%,,(X),(X),(X),(X),(X),,(X),(X)
15,        Estimate,(X),,4.7%,4.9%,7.0%,9.7%,8.2%,11.0%,7.1%,9.7%,7.4%,6.0%,6.8%,5.7%,4.4%,2.5%,2.1%,1.6%,0.9%,0.3%,,11.9%,5.4%,22.1%,12.4%,53.1%,81.9%,77.9%,72.1%,11.7%,9.7%,7.3%,2.8%,,(X),(X),(X),(X),(X),,(X),(X)
16,        Estimate,(X),,3.3%,6.1%,6.0%,5.8%,1.3%,2.1%,6.2%,7.9%,7.7%,8.2%,9.6%,9.4%,6.5%,8.6%,6.3%,2.6%,1.6%,0.6%,,12.1%,3.2%,18.7%,3.9%,31.1%,84.4%,81.3%,78.7%,26.1%,24.6%,19.7%,4.7%,,(X),(X),(X),(X),(X),,(X),(X)
17,        Estimate,(X),,0.9%,0.0%,0.4%,0.4%,9.3%,13.0%,17.3%,11.4%,9.5%,6.0%,6.1%,6.4%,8.7%,5.5%,2.0%,2.1%,0.9%,0.1%,,0.4%,0.1%,1.4%,9.6%,60.9%,98.7%,98.6%,97.2%,19.3%,12.7%,10.6%,3.1%,,(X),(X),(X),(X),(X),,(X),(X)
18,        Estimate,(X),,5.2%,5.2%,4.1%,2.4%,4.0%,16.3%,16.1%,11.4%,8.9%,5.1%,5.1%,5.0%,3.7%,3.6%,1.3%,0.7%,1.0%,0.8%,,9.3%,1.5%,16.1%,4.9%,59.1%,85.1%,83.9%,82.7%,11.1%,9.7%,7.5%,2.5%,,(X),(X),(X),(X),(X),,(X),(X)
19,        Estimate,(X),,5.0%,3.4%,7.5%,4.4%,2.8%,11.5%,10.8%,7.1%,9.7%,7.0%,3.5%,6.8%,7.4%,5.4%,4.2%,1.9%,1.2%,0.6%,,10.8%,1.9%,17.7%,5.3%,46.3%,83.7%,82.3%,79.8%,20.7%,19.3%,13.3%,3.7%,,(X),(X),(X),(X),(X),,(X),(X)
20,        Estimate,(X),,5.1%,3.2%,3.2%,4.9%,6.3%,19.5%,13.1%,9.2%,8.1%,7.0%,4.9%,4.5%,2.8%,3.6%,1.9%,1.8%,0.5%,0.4%,,6.4%,2.3%,13.8%,8.9%,61.1%,87.8%,86.2%,82.5%,11.0%,9.9%,8.2%,2.7%,,(X),(X),(X),(X),(X),,(X),(X)
21,        Estimate,(X),,0.5%,0.8%,0.5%,28.1%,46.4%,10.2%,4.4%,1.9%,1.4%,0.9%,0.8%,1.2%,1.0%,0.5%,0.7%,0.5%,0.1%,0.1%,,1.3%,0.5%,2.4%,74.0%,92.3%,98.1%,97.6%,53.3%,2.9%,2.4%,1.9%,0.8%,,(X),(X),(X),(X),(X),,(X),(X)
22,        Estimate,(X),,0.0%,0.0%,0.0%,45.9%,49.2%,2.4%,2.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,0.0%,95.1%,100.0%,100.0%,100.0%,30.7%,0.0%,0.0%,0.0%,0.0%,,(X),(X),(X),(X),(X),,(X),(X)
23,        Estimate,(X),,2.8%,5.8%,1.3%,5.3%,7.0%,13.5%,10.1%,7.2%,5.6%,7.6%,4.6%,9.0%,4.4%,7.9%,4.2%,0.3%,3.1%,0.4%,,7.2%,3.4%,13.4%,8.8%,48.6%,90.0%,86.6%,84.1%,20.2%,17.0%,15.9%,3.8%,,(X),(X),(X),(X),(X),,(X),(X)
24,        Estimate,(X),,5.9%,2.6%,7.2%,6.4%,8.7%,11.0%,11.2%,9.4%,9.6%,7.9%,5.6%,3.7%,3.8%,2.5%,0.5%,1.7%,1.0%,1.2%,,9.9%,3.3%,19.1%,11.8%,56.3%,83.2%,80.9%,76.8%,10.7%,8.5%,6.9%,3.8%,,(X),(X),(X),(X),(X),,(X),(X)
25,        Estimate,(X),,3.2%,3.7%,2.5%,2.1%,3.7%,15.8%,13.9%,9.4%,10.2%,8.5%,3.9%,5.0%,8.4%,7.1%,1.5%,0.3%,0.2%,0.9%,,6.2%,0.3%,9.6%,5.5%,55.0%,90.6%,90.4%,88.2%,18.4%,14.2%,9.9%,1.3%,,(X),(X),(X),(X),(X),,(X),(X)
26,        Estimate,(X),,7.1%,8.6%,4.2%,4.5%,4.0%,11.2%,11.7%,10.9%,8.7%,7.1%,5.9%,5.2%,3.6%,2.9%,2.5%,0.7%,0.5%,0.8%,,12.8%,2.0%,21.9%,6.4%,50.9%,79.1%,78.1%,75.0%,11.0%,8.9%,7.4%,2.0%,,(X),(X),(X),(X),(X),,(X),(X)
27,        Estimate,(X),,12.1%,10.8%,9.2%,9.4%,7.2%,6.3%,10.3%,8.2%,7.0%,5.3%,5.4%,2.7%,2.1%,2.5%,0.7%,0.4%,0.3%,0.0%,,20.0%,7.0%,39.1%,9.6%,48.4%,64.7%,60.9%,57.1%,6.0%,5.5%,3.9%,0.7%,,(X),(X),(X),(X),(X),,(X),(X)
