,Zip Code,Total population,Total population AGE,Total population AGE Under 5 years,Total population AGE 5 to 9 years,Total population AGE 10 to 14 years,Total population AGE 15 to 19 years,Total population AGE 20 to 24 years,Total population AGE 25 to 29 years,Total population AGE 30 to 34 years,Total population AGE 35 to 39 years,Total population AGE 40 to 44 years,Total population AGE 45 to 49 years,Total population AGE 50 to 54 years,Total population AGE 55 to 59 years,Total population AGE 60 to 64 years,Total population AGE 65 to 69 years,Total population AGE 70 to 74 years,Total population AGE 75 to 79 years,Total population AGE 80 to 84 years,Total population AGE 85 years and over,Total population SELECTED AGE CATEGORIES,Total population SELECTED AGE CATEGORIES 5 to 14 years,Total population SELECTED AGE CATEGORIES 15 to 17 years,Total population SELECTED AGE CATEGORIES Under 18 years,Total population SELECTED AGE CATEGORIES 18 to 24 years,Total population SELECTED AGE CATEGORIES 15 to 44 years,Total population SELECTED AGE CATEGORIES 16 years and over,Total population SELECTED AGE CATEGORIES 18 years and over,Total population SELECTED AGE CATEGORIES 21 years and over,Total population SELECTED AGE CATEGORIES 60 years and over,Total population SELECTED AGE CATEGORIES 62 years and over,Total population SELECTED AGE CATEGORIES 65 years and over,Total population SELECTED AGE CATEGORIES 75 years and over,Total population SUMMARY INDICATORS,Total population SUMMARY INDICATORS Median age (years),Total population SUMMARY INDICATORS Sex ratio (males per 100 females),Total population SUMMARY INDICATORS Age dependency ratio,Total population SUMMARY INDICATORS Old-age dependency ratio,Total population SUMMARY INDICATORS Child dependency ratio,Total population PERCENT ALLOCATED,Total population PERCENT ALLOCATED Sex,Total population PERCENT ALLOCATED Age
0,78610,"39,498",,"2,905","3,938","2,607","2,234","2,417","2,047","3,803","3,622","2,992","2,444","2,607","2,382","2,080","1,547",838,471,355,209,,"6,545","1,486","10,936","3,165","17,115","29,692","28,562","27,595","5,500","4,634","3,420","1,035",,34.8,97.2,57.1,13.6,43.5,,(X),(X)
1,78612,"16,234",,"1,072","1,371","2,263","1,563",736,805,"1,010","1,327",824,824,789,990,999,817,433,201,169,41,,"3,634","1,171","5,877","1,128","6,265","11,166","10,357","9,965","2,660","2,244","1,661",411,,31.2,101.5,86.7,19.1,67.6,,(X),(X)
2,78613,"83,876",,"5,271","5,972","7,681","5,750","3,969","5,596","6,893","7,163","7,494","6,810","5,204","4,657","3,456","2,484","2,393","1,168",898,"1,017",,"13,653","4,047","22,971","5,672","36,865","63,739","60,905","58,643","11,416","9,767","7,960","3,083",,35.5,97.6,58.4,15.0,43.4,,(X),(X)
3,78615,"1,363",,126,142,192,73,55,97,114,33,77,70,58,68,70,58,45,29,11,45,,334,36,496,92,449,903,867,830,258,226,188,85,,29.9,104.7,100.7,27.7,73.0,,(X),(X)
4,78617,"28,376",,"1,965","1,596","2,298","2,895","2,490","2,433","2,046","2,242","2,647","2,431","1,619","1,224","1,220",549,456,116,102,47,,"3,894","1,917","7,776","3,468","14,753","21,769","20,600","18,811","2,490","1,938","1,270",265,,31.5,111.1,46.8,6.6,40.2,,(X),(X)
5,78620,"18,420",,"1,005","1,100","1,313","1,571","1,097",499,553,"1,616","1,194","1,059","1,716","2,065","1,258","1,078",685,352,169,90,,"2,413","1,025","4,443","1,643","6,530","14,543","13,977","13,015","3,632","3,042","2,374",611,,42.6,113.8,58.8,20.5,38.3,,(X),(X)
6,78621,"24,590",,"1,433","1,838","2,145","1,399","1,368","1,454","1,488","2,284","1,452","1,594","1,296","1,601","1,804","1,462",938,555,180,299,,"3,983","1,068","6,484","1,699","9,445","18,644","18,106","17,277","5,238","4,525","3,434","1,034",,37.0,94.4,67.6,23.4,44.2,,(X),(X)
7,78634,"37,298",,"2,457","2,808","2,724","2,432","2,086","2,841","2,677","3,741","4,219","2,971","2,833","1,565","1,705",537,"1,048",432,163,59,,"5,532","1,688","9,677","2,830","17,996","28,730","27,621","26,266","3,944","3,222","2,239",654,,36.0,93.4,46.9,8.8,38.1,,(X),(X)
8,78641,"78,568",,"6,134","6,293","6,990","4,640","3,890","3,585","6,864","6,362","6,492","6,295","4,494","5,160","4,003","2,510","2,509","1,111",439,797,,"13,283","3,058","22,475","5,472","31,833","58,104","56,093","53,619","11,369","9,728","7,366","2,347",,35.8,97.1,61.2,15.1,46.1,,(X),(X)
9,78645,"11,873",,483,411,760,566,258,392,783,540,695,875,885,969,"1,378",898,853,372,366,389,,"1,171",497,"2,151",327,"3,234","9,982","9,722","9,570","4,256","3,685","2,878","1,127",,51.3,104.7,73.5,42.1,31.4,,(X),(X)
10,78652,"5,763",,334,291,279,157,173,287,550,592,186,394,474,512,410,390,305,215,78,136,,570,157,"1,061",173,"1,945","4,836","4,702","4,676","1,534","1,400","1,124",429,,45.4,92.9,61.1,31.4,29.7,,(X),(X)
11,78653,"29,622",,"3,245","3,212","2,288","1,761","1,039","2,062","3,355","2,735","1,770","2,216","1,201","1,696","1,519",669,433,240,86,95,,"5,500","1,349","10,094","1,451","12,722","20,654","19,528","18,832","3,042","2,199","1,523",421,,31.9,88.8,64.5,8.5,56.1,,(X),(X)
12,78654,"18,524",,658,972,"1,436","1,441",748,510,768,"1,593",893,"1,020",822,"1,588","1,674","1,313","1,098",907,576,507,,"2,408","1,000","4,066","1,189","5,953","15,176","14,458","13,712","6,075","5,271","4,401","1,990",,45.7,90.5,84.2,43.8,40.4,,(X),(X)
13,78660,"101,937",,"6,282","6,728","10,208","7,586","4,376","8,472","8,457","8,356","9,038","8,334","6,919","5,545","4,232","3,388","1,666","1,272",640,438,,"16,936","5,112","28,330","6,850","46,285","77,338","73,607","70,200","11,636","9,604","7,404","2,350",,34.4,95.1,54.0,11.2,42.8,,(X),(X)
14,78663,782,,3,80,4,53,17,12,11,42,10,75,72,154,87,20,103,16,8,15,,84,22,109,48,145,693,673,642,249,220,162,39,,55.4,126.0,53.0,31.7,21.3,,(X),(X)
15,78664,"63,661",,"3,496","3,884","4,222","5,332","4,440","5,714","5,202","5,204","5,326","4,519","4,519","3,684","3,072","1,949","1,318",807,397,576,,"8,106","3,530","15,132","6,242","31,218","51,062","48,529","45,775","8,119","6,898","5,047","1,780",,34.5,96.4,46.4,11.6,34.8,,(X),(X)
16,78669,"14,038",,"1,149",802,926,650,245,398,920,990,986,890,"1,336","1,145","1,176","1,082",706,352,182,103,,"1,728",449,"3,326",446,"4,189","11,092","10,712","10,506","3,601","3,162","2,425",637,,44.7,89.0,69.4,29.3,40.1,,(X),(X)
17,78701,"11,903",,154,32,57,105,983,"1,801","2,053","1,099","1,122",976,601,824,831,574,364,243,79,5,,89,8,251,"1,080","7,163","11,660","11,652","11,386","2,096","1,455","1,265",327,,37.7,141.3,14.6,12.2,2.4,,(X),(X)
18,78702,"25,393",,"1,507","1,396",807,977,"1,357","3,927","3,835","2,241","1,960","1,268","1,508","1,117",932,"1,110",515,190,302,444,,"2,203",652,"4,362","1,682","14,297","21,480","21,031","20,383","3,493","3,166","2,561",936,,33.7,102.6,37.5,13.9,23.6,,(X),(X)
19,78703,"20,297",,"1,151",876,"1,142",804,549,"2,069","2,232","1,535","1,922","1,572",870,"1,525","1,455",977,865,373,235,145,,"2,018",475,"3,644",878,"9,111","17,001","16,653","16,310","4,050","3,611","2,595",753,,38.9,107.5,44.4,18.5,25.9,,(X),(X)
20,78704,"51,422",,"2,340","1,651","1,446","2,375","4,481","9,159","6,489","5,422","3,759","3,327","2,498","2,519","1,635","1,927",900,818,299,377,,"3,097",971,"6,408","5,885","31,685","45,740","45,014","42,969","5,956","5,242","4,321","1,494",,33.0,105.2,26.4,10.6,15.7,,(X),(X)
21,78705,"33,262",,169,175,152,"10,702","14,800","3,110","1,424",706,472,257,249,289,265,129,149,138,26,50,,327,279,775,"25,223","31,214","32,752","32,487","16,756",757,614,492,214,,21.0,90.1,4.0,1.5,2.4,,(X),(X)
22,78712,887,,0,0,0,524,337,17,9,0,0,0,0,0,0,0,0,0,0,0,,0,19,19,842,887,887,868,168,0,0,0,0,,19.7,70.9,2.2,-,2.2,,(X),(X)
23,78719,"1,803",,94,117,85,129,85,201,138,78,126,117,93,195,81,119,65,3,46,31,,202,78,374,136,757,"1,490","1,429","1,372",345,304,264,80,,39.1,114.6,54.8,22.7,32.1,,(X),(X)
24,78721,"11,054",,522,437,655,652,774,"1,146","1,304","1,039","1,146",702,617,556,367,303,180,321,142,191,,"1,092",400,"2,014","1,026","6,061","9,343","9,040","8,687","1,504","1,260","1,137",654,,35.1,103.3,39.9,14.4,25.5,,(X),(X)
25,78722,"6,713",,339,277,136,87,318,"1,201",858,616,616,488,185,340,509,362,127,80,54,120,,413,18,770,387,"3,696","5,961","5,943","5,833","1,252","1,000",743,254,,36.1,93.8,29.1,14.3,14.8,,(X),(X)
26,78723,"37,552",,"2,957","2,783","1,709","1,516","1,463","4,170","3,967","4,432","2,898","2,366","1,889","1,966","1,552","1,308","1,295",472,332,477,,"4,492",905,"8,354","2,074","18,446","29,685","29,198","28,377","5,436","4,612","3,884","1,281",,35.2,105.3,48.3,15.3,33.0,,(X),(X)
