,Zip Code,Total population,Total population AGE,Total population AGE Under 5 years,Total population AGE 5 to 9 years,Total population AGE 10 to 14 years,Total population AGE 15 to 19 years,Total population AGE 20 to 24 years,Total population AGE 25 to 29 years,Total population AGE 30 to 34 years,Total population AGE 35 to 39 years,Total population AGE 40 to 44 years,Total population AGE 45 to 49 years,Total population AGE 50 to 54 years,Total population AGE 55 to 59 years,Total population AGE 60 to 64 years,Total population AGE 65 to 69 years,Total population AGE 70 to 74 years,Total population AGE 75 to 79 years,Total population AGE 80 to 84 years,Total population AGE 85 years and over,Total population SELECTED AGE CATEGORIES,Total population SELECTED AGE CATEGORIES 5 to 14 years,Total population SELECTED AGE CATEGORIES 15 to 17 years,Total population SELECTED AGE CATEGORIES Under 18 years,Total population SELECTED AGE CATEGORIES 18 to 24 years,Total population SELECTED AGE CATEGORIES 15 to 44 years,Total population SELECTED AGE CATEGORIES 16 years and over,Total population SELECTED AGE CATEGORIES 18 years and over,Total population SELECTED AGE CATEGORIES 21 years and over,Total population SELECTED AGE CATEGORIES 60 years and over,Total population SELECTED AGE CATEGORIES 62 years and over,Total population SELECTED AGE CATEGORIES 65 years and over,Total population SELECTED AGE CATEGORIES 75 years and over,Total population SUMMARY INDICATORS,Total population SUMMARY INDICATORS Median age (years),Total population SUMMARY INDICATORS Sex ratio (males per 100 females),Total population SUMMARY INDICATORS Age dependency ratio,Total population SUMMARY INDICATORS Old-age dependency ratio,Total population SUMMARY INDICATORS Child dependency ratio,Total population PERCENT ALLOCATED,Total population PERCENT ALLOCATED Sex,Total population PERCENT ALLOCATED Age
0,        Margin of Error,"1,996",,493,985,554,517,572,518,595,622,691,454,397,399,547,337,242,166,185,113,,"1,154",352,"1,106",702,"1,281","1,596","1,497","1,405",727,620,505,292,,0.8,8.0,5.3,2.1,4.6,,(X),(X)
1,        Margin of Error,"2,025",,452,403,531,403,276,308,369,477,310,252,266,340,339,392,191,121,103,49,,731,294,"1,093",347,"1,063","1,265","1,158","1,081",566,551,469,175,,2.8,10.7,12.7,6.2,10.0,,(X),(X)
2,        Margin of Error,"1,563",,617,612,816,646,873,846,729,738,943,862,564,544,541,399,366,275,261,326,,938,535,"1,076",841,"1,474","1,585","1,628","1,679",855,795,702,501,,0.9,5.1,3.3,1.5,2.7,,(X),(X)
3,        Margin of Error,490,,109,88,113,100,60,78,130,32,38,33,33,63,36,30,31,23,11,41,,182,41,262,84,226,279,267,262,78,76,65,51,,7.7,28.1,25.9,15.3,24.4,,(X),(X)
4,        Margin of Error,"2,213",,445,371,460,515,684,863,534,447,674,578,363,328,479,218,231,99,87,43,,659,425,928,762,"1,468","1,940","1,867","1,555",640,530,338,124,,2.7,11.2,5.8,1.7,5.5,,(X),(X)
5,        Margin of Error,"1,467",,243,264,287,383,410,199,172,332,331,235,360,367,225,220,169,124,69,55,,379,294,550,427,844,"1,112","1,070",904,389,362,320,162,,2.8,11.3,5.5,3.3,3.9,,(X),(X)
6,        Margin of Error,"1,743",,253,370,554,294,389,390,426,519,392,320,241,361,402,423,245,199,100,131,,683,214,834,414,843,"1,250","1,259","1,161",712,643,511,240,,1.6,9.1,6.6,3.7,5.3,,(X),(X)
7,        Margin of Error,"1,427",,418,536,554,493,853,641,543,588,844,542,624,350,431,189,460,201,113,72,,766,372,954,916,"1,573","1,558","1,475","1,309",763,625,525,279,,2.0,7.5,5.6,2.2,5.0,,(X),(X)
8,        Margin of Error,"1,938",,760,671,591,533,706,802,809,835,835,792,562,819,565,379,518,278,135,290,,882,419,"1,074",738,"1,251","1,588","1,541","1,472",823,772,692,413,,1.1,4.3,3.1,1.6,2.5,,(X),(X)
9,        Margin of Error,640,,253,190,170,172,119,224,298,141,192,174,247,232,385,201,227,140,175,246,,212,153,396,139,364,525,537,533,561,530,444,383,,3.6,9.2,10.2,7.8,6.0,,(X),(X)
