,Zip Code,Total population,Total population AGE,Total population AGE Under 5 years,Total population AGE 5 to 9 years,Total population AGE 10 to 14 years,Total population AGE 15 to 19 years,Total population AGE 20 to 24 years,Total population AGE 25 to 29 years,Total population AGE 30 to 34 years,Total population AGE 35 to 39 years,Total population AGE 40 to 44 years,Total population AGE 45 to 49 years,Total population AGE 50 to 54 years,Total population AGE 55 to 59 years,Total population AGE 60 to 64 years,Total population AGE 65 to 69 years,Total population AGE 70 to 74 years,Total population AGE 75 to 79 years,Total population AGE 80 to 84 years,Total population AGE 85 years and over,Total population SELECTED AGE CATEGORIES,Total population SELECTED AGE CATEGORIES 5 to 14 years,Total population SELECTED AGE CATEGORIES 15 to 17 years,Total population SELECTED AGE CATEGORIES Under 18 years,Total population SELECTED AGE CATEGORIES 18 to 24 years,Total population SELECTED AGE CATEGORIES 15 to 44 years,Total population SELECTED AGE CATEGORIES 16 years and over,Total population SELECTED AGE CATEGORIES 18 years and over,Total population SELECTED AGE CATEGORIES 21 years and over,Total population SELECTED AGE CATEGORIES 60 years and over,Total population SELECTED AGE CATEGORIES 62 years and over,Total population SELECTED AGE CATEGORIES 65 years and over,Total population SELECTED AGE CATEGORIES 75 years and over,Total population SUMMARY INDICATORS,Total population SUMMARY INDICATORS Median age (years),Total population SUMMARY INDICATORS Sex ratio (males per 100 females),Total population SUMMARY INDICATORS Age dependency ratio,Total population SUMMARY INDICATORS Old-age dependency ratio,Total population SUMMARY INDICATORS Child dependency ratio,Total population PERCENT ALLOCATED,Total population PERCENT ALLOCATED Sex,Total population PERCENT ALLOCATED Age
0,        Estimate,(X),,7.4%,10.0%,6.6%,5.7%,6.1%,5.2%,9.6%,9.2%,7.6%,6.2%,6.6%,6.0%,5.3%,3.9%,2.1%,1.2%,0.9%,0.5%,,16.6%,3.8%,27.7%,8.0%,43.3%,75.2%,72.3%,69.9%,13.9%,11.7%,8.7%,2.6%,,(X),(X),(X),(X),(X),,0.0%,1.2%
1,        Estimate,(X),,6.6%,8.4%,13.9%,9.6%,4.5%,5.0%,6.2%,8.2%,5.1%,5.1%,4.9%,6.1%,6.2%,5.0%,2.7%,1.2%,1.0%,0.3%,,22.4%,7.2%,36.2%,6.9%,38.6%,68.8%,63.8%,61.4%,16.4%,13.8%,10.2%,2.5%,,(X),(X),(X),(X),(X),,0.0%,0.7%
2,        Estimate,(X),,6.3%,7.1%,9.2%,6.9%,4.7%,6.7%,8.2%,8.5%,8.9%,8.1%,6.2%,5.6%,4.1%,3.0%,2.9%,1.4%,1.1%,1.2%,,16.3%,4.8%,27.4%,6.8%,44.0%,76.0%,72.6%,69.9%,13.6%,11.6%,9.5%,3.7%,,(X),(X),(X),(X),(X),,0.0%,1.4%
3,        Estimate,(X),,9.2%,10.4%,14.1%,5.4%,4.0%,7.1%,8.4%,2.4%,5.6%,5.1%,4.3%,5.0%,5.1%,4.3%,3.3%,2.1%,0.8%,3.3%,,24.5%,2.6%,36.4%,6.7%,32.9%,66.3%,63.6%,60.9%,18.9%,16.6%,13.8%,6.2%,,(X),(X),(X),(X),(X),,0.0%,0.8%
4,        Estimate,(X),,6.9%,5.6%,8.1%,10.2%,8.8%,8.6%,7.2%,7.9%,9.3%,8.6%,5.7%,4.3%,4.3%,1.9%,1.6%,0.4%,0.4%,0.2%,,13.7%,6.8%,27.4%,12.2%,52.0%,76.7%,72.6%,66.3%,8.8%,6.8%,4.5%,0.9%,,(X),(X),(X),(X),(X),,0.0%,1.5%
5,        Estimate,(X),,5.5%,6.0%,7.1%,8.5%,6.0%,2.7%,3.0%,8.8%,6.5%,5.7%,9.3%,11.2%,6.8%,5.9%,3.7%,1.9%,0.9%,0.5%,,13.1%,5.6%,24.1%,8.9%,35.5%,79.0%,75.9%,70.7%,19.7%,16.5%,12.9%,3.3%,,(X),(X),(X),(X),(X),,0.3%,0.9%
6,        Estimate,(X),,5.8%,7.5%,8.7%,5.7%,5.6%,5.9%,6.1%,9.3%,5.9%,6.5%,5.3%,6.5%,7.3%,5.9%,3.8%,2.3%,0.7%,1.2%,,16.2%,4.3%,26.4%,6.9%,38.4%,75.8%,73.6%,70.3%,21.3%,18.4%,14.0%,4.2%,,(X),(X),(X),(X),(X),,0.2%,1.5%
7,        Estimate,(X),,6.6%,7.5%,7.3%,6.5%,5.6%,7.6%,7.2%,10.0%,11.3%,8.0%,7.6%,4.2%,4.6%,1.4%,2.8%,1.2%,0.4%,0.2%,,14.8%,4.5%,25.9%,7.6%,48.2%,77.0%,74.1%,70.4%,10.6%,8.6%,6.0%,1.8%,,(X),(X),(X),(X),(X),,0.0%,1.3%
8,        Estimate,(X),,7.8%,8.0%,8.9%,5.9%,5.0%,4.6%,8.7%,8.1%,8.3%,8.0%,5.7%,6.6%,5.1%,3.2%,3.2%,1.4%,0.6%,1.0%,,16.9%,3.9%,28.6%,7.0%,40.5%,74.0%,71.4%,68.2%,14.5%,12.4%,9.4%,3.0%,,(X),(X),(X),(X),(X),,0.0%,1.0%
9,        Estimate,(X),,4.1%,3.5%,6.4%,4.8%,2.2%,3.3%,6.6%,4.5%,5.9%,7.4%,7.5%,8.2%,11.6%,7.6%,7.2%,3.1%,3.1%,3.3%,,9.9%,4.2%,18.1%,2.8%,27.2%,84.1%,81.9%,80.6%,35.8%,31.0%,24.2%,9.5%,,(X),(X),(X),(X),(X),,0.1%,1.1%
