,Zip Code,AGE BY EDUCATIONAL ATTAINMENT,AGE BY EDUCATIONAL ATTAINMENT Population 18 to 24 years,AGE BY EDUCATIONAL ATTAINMENT Population 18 to 24 years Less than high school graduate,AGE BY EDUCATIONAL ATTAINMENT Population 18 to 24 years High school graduate (includes equivalency),AGE BY EDUCATIONAL ATTAINMENT Population 18 to 24 years Some college or associate's degree,AGE BY EDUCATIONAL ATTAINMENT Population 18 to 24 years Bachelor's degree or higher,AGE BY EDUCATIONAL ATTAINMENT Population 25 years and over,AGE BY EDUCATIONAL ATTAINMENT Population 25 years and over Less than 9th grade,"AGE BY EDUCATIONAL ATTAINMENT Population 25 years and over 9th to 12th grade, no diploma",AGE BY EDUCATIONAL ATTAINMENT Population 25 years and over High school graduate (includes equivalency),"AGE BY EDUCATIONAL ATTAINMENT Population 25 years and over Some college, no degree",AGE BY EDUCATIONAL ATTAINMENT Population 25 years and over Associate's degree,AGE BY EDUCATIONAL ATTAINMENT Population 25 years and over Bachelor's degree,AGE BY EDUCATIONAL ATTAINMENT Population 25 years and over Graduate or professional degree,AGE BY EDUCATIONAL ATTAINMENT Population 25 years and over High school graduate or higher,AGE BY EDUCATIONAL ATTAINMENT Population 25 years and over Bachelor's degree or higher,AGE BY EDUCATIONAL ATTAINMENT Population 25 to 34 years,AGE BY EDUCATIONAL ATTAINMENT Population 25 to 34 years High school graduate or higher,AGE BY EDUCATIONAL ATTAINMENT Population 25 to 34 years Bachelor's degree or higher,AGE BY EDUCATIONAL ATTAINMENT Population 35 to 44 years,AGE BY EDUCATIONAL ATTAINMENT Population 35 to 44 years High school graduate or higher,AGE BY EDUCATIONAL ATTAINMENT Population 35 to 44 years Bachelor's degree or higher,AGE BY EDUCATIONAL ATTAINMENT Population 45 to 64 years,AGE BY EDUCATIONAL ATTAINMENT Population 45 to 64 years High school graduate or higher,AGE BY EDUCATIONAL ATTAINMENT Population 45 to 64 years Bachelor's degree or higher,AGE BY EDUCATIONAL ATTAINMENT Population 65 years and over,AGE BY EDUCATIONAL ATTAINMENT Population 65 years and over High school graduate or higher,AGE BY EDUCATIONAL ATTAINMENT Population 65 years and over Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT White alone,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT White alone High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT White alone Bachelor's degree or higher,"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT White alone, not Hispanic or Latino","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT White alone, not Hispanic or Latino High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT White alone, not Hispanic or Latino Bachelor's degree or higher",RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT Black alone,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT Black alone High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT Black alone Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT American Indian or Alaska Native alone,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT American Indian or Alaska Native alone High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT American Indian or Alaska Native alone Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT Asian alone,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT Asian alone High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT Asian alone Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT Native Hawaiian and Other Pacific Islander alone,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT Native Hawaiian and Other Pacific Islander alone High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT Native Hawaiian and Other Pacific Islander alone Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT Some other race alone,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT Some other race alone High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT Some other race alone Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT Two or more races,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT Two or more races High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT Two or more races Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT Hispanic or Latino Origin,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT Hispanic or Latino Origin High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT Hispanic or Latino Origin Bachelor's degree or higher,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL Less than high school graduate,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL High school graduate (includes equivalency),POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL Some college or associate's degree,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL Bachelor's degree or higher,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS),MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) Population 25 years and over with earnings,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) Population 25 years and over with earnings Less than high school graduate,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) Population 25 years and over with earnings High school graduate (includes equivalency),MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) Population 25 years and over with earnings Some college or associate's degree,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) Population 25 years and over with earnings Bachelor's degree,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) Population 25 years and over with earnings Graduate or professional degree
0,78610,,"1,191",97,427,577,90,"13,787",591,395,"3,225","2,393","1,177","3,849","2,157","12,801","6,006","3,483","3,349","1,841","3,374","2,918","1,753","4,974","4,695","1,704","1,956","1,839",708,,"11,484","10,779","5,399","7,639","7,533","4,234",724,721,282,45,45,0,258,255,94,0,0,0,550,478,81,726,523,150,"4,732","3,952","1,337",,(X),(X),(X),(X),,"46,574","18,333","40,032","36,526","51,465","63,317"
1,78612,,603,107,351,82,63,"4,814",592,447,"1,054","1,476",196,674,375,"3,775","1,049","1,116",899,358,"1,106",672,89,"1,770","1,478",507,822,726,95,,"2,924","2,657",787,"2,357","2,226",700,312,312,74,24,0,0,188,188,188,0,0,0,882,457,0,484,161,0,"1,957","1,049",87,,(X),(X),(X),(X),,"25,349","19,097","18,367","36,007","56,048",-
2,78613,,"2,978",481,"1,000",876,621,"28,771",504,637,"4,810","6,708","2,323","9,868","3,921","27,630","13,789","6,416","6,207","3,461","7,520","7,334","4,019","10,120","9,755","5,005","4,715","4,334","1,304",,"22,921","22,101","10,696","18,878","18,535","9,212","1,118","1,036",436,139,128,71,"2,549","2,388","1,773",185,185,140,777,715,117,"1,082","1,077",556,"5,588","5,033","1,866",,(X),(X),(X),(X),,"44,156","16,341","26,262","35,860","52,355","61,300"
3,78615,,56,0,7,36,13,380,21,2,145,111,43,40,18,357,58,94,94,0,54,54,20,126,126,20,106,83,18,,325,302,58,252,241,58,0,0,0,15,15,0,0,0,0,0,0,0,7,7,0,33,33,0,126,114,0,,(X),(X),(X),(X),,"37,311",-,"36,734","36,536","57,727",-
4,78617,,"1,203",328,247,579,49,"8,052","1,281","1,096","2,488","1,533",403,941,310,"5,675","1,251","2,061","1,683",433,"2,232","1,460",313,"3,064","2,106",398,695,426,107,,"3,495","2,926",585,"1,635","1,610",429,510,408,104,24,24,0,147,81,0,0,0,0,"3,418","1,798",261,458,438,301,"5,682","3,506",718,,(X),(X),(X),(X),,"26,060","19,849","21,110","30,478","38,942","60,610"
5,78620,,467,81,93,248,45,"6,220",86,383,"1,133","1,112",482,"2,065",959,"5,751","3,024",594,594,402,"1,322","1,148",650,"3,181","2,984","1,668","1,123","1,025",304,,"5,806","5,345","2,760","4,977","4,791","2,615",24,24,21,16,16,0,114,114,72,0,0,0,26,21,17,234,231,154,951,668,185,,(X),(X),(X),(X),,"36,042","16,037","24,531","25,057","45,421","44,605"
6,78621,,671,161,244,266,0,"8,758","1,194",482,"2,730","2,211",565,992,584,"7,082","1,576","1,757","1,356",212,"1,659","1,357",380,"3,522","3,015",685,"1,820","1,354",299,,"5,505","4,740","1,274","4,138","3,873","1,182","1,261","1,159",206,7,7,0,70,70,43,0,0,0,"1,511",913,28,404,193,25,"3,141","1,881",183,,(X),(X),(X),(X),,"37,433","24,128","33,456","32,487","54,620","70,066"
7,78634,,"1,635",180,601,781,73,"12,680",242,306,"4,060","2,897",963,"3,102","1,110","12,132","4,212","3,015","3,015","1,249","3,763","3,692","1,519","4,649","4,278","1,191","1,253","1,147",253,,"9,214","8,960","3,025","6,834","6,718","2,321","1,789","1,685",509,65,36,18,171,131,33,51,51,0,627,590,321,763,679,306,"3,754","3,496","1,339",,(X),(X),(X),(X),,"39,943","32,917","35,228","35,745","46,364","52,795"
8,78641,,"2,872",484,993,"1,079",316,"26,028",975,"1,029","4,939","6,439","2,555","6,882","3,209","24,024","10,091","5,396","5,248","2,250","6,672","6,474","3,185","9,722","8,603","3,349","4,238","3,699","1,307",,"21,734","20,234","8,591","17,411","16,757","7,511","1,399","1,383",363,29,29,16,"1,402","1,057",769,19,19,0,736,649,121,709,653,231,"5,300","4,357","1,275",,(X),(X),(X),(X),,"41,222","28,652","24,703","36,899","55,827","63,942"
9,78645,,80,0,22,22,36,"4,775",92,180,"1,056","1,256",473,"1,063",655,"4,503","1,718",561,508,262,591,553,214,"2,223","2,169",853,"1,400","1,273",389,,"4,402","4,176","1,536","3,803","3,652","1,330",192,192,152,46,0,0,55,55,17,9,9,0,10,10,4,61,61,9,646,571,210,,(X),(X),(X),(X),,"30,308",-,"21,439","30,852","24,183","43,806"
10,78652,,85,0,2,0,83,"2,359",254,76,328,390,198,597,516,"2,029","1,113",411,400,212,315,257,161,"1,068",894,422,565,478,318,,"2,033","1,849",967,"1,540","1,518",855,104,99,85,0,0,0,17,17,0,0,0,0,23,23,23,182,41,38,695,392,173,,(X),(X),(X),(X),,"46,530",-,"43,676","32,226","53,350","74,583"
11,78653,,695,33,348,190,124,"9,660",770,495,"2,490","2,061",667,"2,190",987,"8,395","3,177","3,371","3,193","1,392","1,846","1,684",620,"3,599","2,800",937,844,718,228,,"4,970","4,460","1,931","2,620","2,498",996,"2,421","2,260",852,44,32,15,251,251,160,0,0,0,"1,518",936,53,456,456,166,"4,115","3,133","1,040",,(X),(X),(X),(X),,"34,104","19,639","25,309","31,480","41,534","51,857"
12,78654,,559,17,277,228,37,"7,269",379,277,"1,850","2,002",459,"1,513",789,"6,613","2,302",754,664,248,"1,326","1,276",240,"2,776","2,468",998,"2,413","2,205",816,,"6,472","6,026","2,213","5,700","5,507","2,068",113,87,0,46,46,13,57,57,57,0,0,0,288,223,2,293,174,17,"1,277",847,147,,(X),(X),(X),(X),,"27,011","27,052","19,121","21,044","42,281","52,685"
13,78660,,"3,371",590,"1,105","1,138",538,"35,366","1,044","2,043","8,418","7,488","2,882","9,900","3,591","32,279","13,491","9,068","8,681","3,694","9,502","8,266","4,150","12,541","11,441","4,909","4,255","3,891",738,,"22,221","20,610","9,051","16,015","15,407","7,521","4,760","4,598","1,912",186,142,40,"3,633","2,914","1,642",35,35,0,"2,070","1,553",278,"2,461","2,427",568,"10,255","8,688","2,333",,(X),(X),(X),(X),,"43,488","19,497","33,351","37,683","51,772","60,788"
14,78663,,23,0,23,0,0,297,5,5,69,92,21,45,60,287,105,20,20,0,38,38,0,153,145,67,86,84,38,,295,287,105,286,281,105,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,11,6,0,,(X),(X),(X),(X),,"36,116",-,-,"45,000",-,-
15,78664,,"2,359",433,630,925,371,"21,817","1,132","1,180","4,918","5,424","1,977","4,766","2,420","19,505","7,186","5,261","4,989","2,158","5,164","4,863","1,894","8,642","7,519","2,399","2,750","2,134",735,,"14,538","13,027","4,829","9,828","9,432","3,783","3,138","2,960","1,017",10,10,0,"1,609","1,453","1,022",0,0,0,785,683,100,"1,737","1,372",218,"6,807","5,225","1,251",,(X),(X),(X),(X),,"37,556","25,162","31,052","37,046","44,560","62,492"
16,78669,,185,5,15,124,41,"5,151",29,62,718,915,397,"1,750","1,280","5,060","3,030",771,771,521,939,939,722,"2,317","2,288","1,411","1,124","1,062",376,,"4,402","4,311","2,388","4,119","4,043","2,236",281,281,226,0,0,0,375,375,326,0,0,0,3,3,3,90,90,87,397,382,217,,(X),(X),(X),(X),,"59,219",-,-,"45,703","61,177","70,617"
