,Zip Code,AGE BY EDUCATIONAL ATTAINMENT,AGE BY EDUCATIONAL ATTAINMENT Population 18 to 24 years,AGE BY EDUCATIONAL ATTAINMENT Population 18 to 24 years Less than high school graduate,AGE BY EDUCATIONAL ATTAINMENT Population 18 to 24 years High school graduate (includes equivalency),AGE BY EDUCATIONAL ATTAINMENT Population 18 to 24 years Some college or associate's degree,AGE BY EDUCATIONAL ATTAINMENT Population 18 to 24 years Bachelor's degree or higher,AGE BY EDUCATIONAL ATTAINMENT Population 25 years and over,AGE BY EDUCATIONAL ATTAINMENT Population 25 years and over Less than 9th grade,"AGE BY EDUCATIONAL ATTAINMENT Population 25 years and over 9th to 12th grade, no diploma",AGE BY EDUCATIONAL ATTAINMENT Population 25 years and over High school graduate (includes equivalency),"AGE BY EDUCATIONAL ATTAINMENT Population 25 years and over Some college, no degree",AGE BY EDUCATIONAL ATTAINMENT Population 25 years and over Associate's degree,AGE BY EDUCATIONAL ATTAINMENT Population 25 years and over Bachelor's degree,AGE BY EDUCATIONAL ATTAINMENT Population 25 years and over Graduate or professional degree,AGE BY EDUCATIONAL ATTAINMENT Population 25 years and over High school graduate or higher,AGE BY EDUCATIONAL ATTAINMENT Population 25 years and over Bachelor's degree or higher,AGE BY EDUCATIONAL ATTAINMENT Population 25 to 34 years,AGE BY EDUCATIONAL ATTAINMENT Population 25 to 34 years High school graduate or higher,AGE BY EDUCATIONAL ATTAINMENT Population 25 to 34 years Bachelor's degree or higher,AGE BY EDUCATIONAL ATTAINMENT Population 35 to 44 years,AGE BY EDUCATIONAL ATTAINMENT Population 35 to 44 years High school graduate or higher,AGE BY EDUCATIONAL ATTAINMENT Population 35 to 44 years Bachelor's degree or higher,AGE BY EDUCATIONAL ATTAINMENT Population 45 to 64 years,AGE BY EDUCATIONAL ATTAINMENT Population 45 to 64 years High school graduate or higher,AGE BY EDUCATIONAL ATTAINMENT Population 45 to 64 years Bachelor's degree or higher,AGE BY EDUCATIONAL ATTAINMENT Population 65 years and over,AGE BY EDUCATIONAL ATTAINMENT Population 65 years and over High school graduate or higher,AGE BY EDUCATIONAL ATTAINMENT Population 65 years and over Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT White alone,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT White alone High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT White alone Bachelor's degree or higher,"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT White alone, not Hispanic or Latino","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT White alone, not Hispanic or Latino High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT White alone, not Hispanic or Latino Bachelor's degree or higher",RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT Black alone,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT Black alone High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT Black alone Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT American Indian or Alaska Native alone,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT American Indian or Alaska Native alone High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT American Indian or Alaska Native alone Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT Asian alone,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT Asian alone High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT Asian alone Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT Native Hawaiian and Other Pacific Islander alone,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT Native Hawaiian and Other Pacific Islander alone High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT Native Hawaiian and Other Pacific Islander alone Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT Some other race alone,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT Some other race alone High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT Some other race alone Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT Two or more races,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT Two or more races High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT Two or more races Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT Hispanic or Latino Origin,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT Hispanic or Latino Origin High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT Hispanic or Latino Origin Bachelor's degree or higher,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL Less than high school graduate,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL High school graduate (includes equivalency),POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL Some college or associate's degree,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL Bachelor's degree or higher,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS),MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) Population 25 years and over with earnings,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) Population 25 years and over with earnings Less than high school graduate,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) Population 25 years and over with earnings High school graduate (includes equivalency),MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) Population 25 years and over with earnings Some college or associate's degree,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) Population 25 years and over with earnings Bachelor's degree,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) Population 25 years and over with earnings Graduate or professional degree
0,        Estimate,,(X),8.1%,35.9%,48.4%,7.6%,(X),4.3%,2.9%,23.4%,17.4%,8.5%,27.9%,15.6%,92.8%,43.6%,(X),96.2%,52.9%,(X),86.5%,52.0%,(X),94.4%,34.3%,(X),94.0%,36.2%,,(X),93.9%,47.0%,(X),98.6%,55.4%,(X),99.6%,39.0%,(X),100.0%,0.0%,(X),98.8%,36.4%,(X),-,-,(X),86.9%,14.7%,(X),72.0%,20.7%,(X),83.5%,28.3%,,34.6%,9.8%,11.2%,1.9%,,(X),(X),(X),(X),(X),(X)
1,        Estimate,,(X),17.7%,58.2%,13.6%,10.4%,(X),12.3%,9.3%,21.9%,30.7%,4.1%,14.0%,7.8%,78.4%,21.8%,(X),80.6%,32.1%,(X),60.8%,8.0%,(X),83.5%,28.6%,(X),88.3%,11.6%,,(X),90.9%,26.9%,(X),94.4%,29.7%,(X),100.0%,23.7%,(X),0.0%,0.0%,(X),100.0%,100.0%,(X),-,-,(X),51.8%,0.0%,(X),33.3%,0.0%,(X),53.6%,4.4%,,26.1%,13.3%,13.2%,9.7%,,(X),(X),(X),(X),(X),(X)
2,        Estimate,,(X),16.2%,33.6%,29.4%,20.9%,(X),1.8%,2.2%,16.7%,23.3%,8.1%,34.3%,13.6%,96.0%,47.9%,(X),96.7%,53.9%,(X),97.5%,53.4%,(X),96.4%,49.5%,(X),91.9%,27.7%,,(X),96.4%,46.7%,(X),98.2%,48.8%,(X),92.7%,39.0%,(X),92.1%,51.1%,(X),93.7%,69.6%,(X),100.0%,75.7%,(X),92.0%,15.1%,(X),99.5%,51.4%,(X),90.1%,33.4%,,15.6%,14.4%,5.5%,2.9%,,(X),(X),(X),(X),(X),(X)
3,        Estimate,,(X),0.0%,12.5%,64.3%,23.2%,(X),5.5%,0.5%,38.2%,29.2%,11.3%,10.5%,4.7%,93.9%,15.3%,(X),100.0%,0.0%,(X),100.0%,37.0%,(X),100.0%,15.9%,(X),78.3%,17.0%,,(X),92.9%,17.8%,(X),95.6%,23.0%,(X),-,-,(X),100.0%,0.0%,(X),-,-,(X),-,-,(X),100.0%,0.0%,(X),100.0%,0.0%,(X),90.5%,0.0%,,0.0%,13.1%,0.6%,0.0%,,(X),(X),(X),(X),(X),(X)
4,        Estimate,,(X),27.3%,20.5%,48.1%,4.1%,(X),15.9%,13.6%,30.9%,19.0%,5.0%,11.7%,3.8%,70.5%,15.5%,(X),81.7%,21.0%,(X),65.4%,14.0%,(X),68.7%,13.0%,(X),61.3%,15.4%,,(X),83.7%,16.7%,(X),98.5%,26.2%,(X),80.0%,20.4%,(X),100.0%,0.0%,(X),55.1%,0.0%,(X),-,-,(X),52.6%,7.6%,(X),95.6%,65.7%,(X),61.7%,12.6%,,22.5%,13.8%,15.6%,0.2%,,(X),(X),(X),(X),(X),(X)
5,        Estimate,,(X),17.3%,19.9%,53.1%,9.6%,(X),1.4%,6.2%,18.2%,17.9%,7.7%,33.2%,15.4%,92.5%,48.6%,(X),100.0%,67.7%,(X),86.8%,49.2%,(X),93.8%,52.4%,(X),91.3%,27.1%,,(X),92.1%,47.5%,(X),96.3%,52.5%,(X),100.0%,87.5%,(X),100.0%,0.0%,(X),100.0%,63.2%,(X),-,-,(X),80.8%,65.4%,(X),98.7%,65.8%,(X),70.2%,19.5%,,34.8%,9.6%,8.6%,0.5%,,(X),(X),(X),(X),(X),(X)
6,        Estimate,,(X),24.0%,36.4%,39.6%,0.0%,(X),13.6%,5.5%,31.2%,25.2%,6.5%,11.3%,6.7%,80.9%,18.0%,(X),77.2%,12.1%,(X),81.8%,22.9%,(X),85.6%,19.4%,(X),74.4%,16.4%,,(X),86.1%,23.1%,(X),93.6%,28.6%,(X),91.9%,16.3%,(X),100.0%,0.0%,(X),100.0%,61.4%,(X),-,-,(X),60.4%,1.9%,(X),47.8%,6.2%,(X),59.9%,5.8%,,12.8%,14.1%,4.7%,0.8%,,(X),(X),(X),(X),(X),(X)
7,        Estimate,,(X),11.0%,36.8%,47.8%,4.5%,(X),1.9%,2.4%,32.0%,22.8%,7.6%,24.5%,8.8%,95.7%,33.2%,(X),100.0%,41.4%,(X),98.1%,40.4%,(X),92.0%,25.6%,(X),91.5%,20.2%,,(X),97.2%,32.8%,(X),98.3%,34.0%,(X),94.2%,28.5%,(X),55.4%,27.7%,(X),76.6%,19.3%,(X),100.0%,0.0%,(X),94.1%,51.2%,(X),89.0%,40.1%,(X),93.1%,35.7%,,11.7%,11.6%,7.9%,3.6%,,(X),(X),(X),(X),(X),(X)
8,        Estimate,,(X),16.9%,34.6%,37.6%,11.0%,(X),3.7%,4.0%,19.0%,24.7%,9.8%,26.4%,12.3%,92.3%,38.8%,(X),97.3%,41.7%,(X),97.0%,47.7%,(X),88.5%,34.4%,(X),87.3%,30.8%,,(X),93.1%,39.5%,(X),96.2%,43.1%,(X),98.9%,25.9%,(X),100.0%,55.2%,(X),75.4%,54.9%,(X),100.0%,0.0%,(X),88.2%,16.4%,(X),92.1%,32.6%,(X),82.2%,24.1%,,7.7%,7.8%,5.4%,2.3%,,(X),(X),(X),(X),(X),(X)
9,        Estimate,,(X),0.0%,27.5%,27.5%,45.0%,(X),1.9%,3.8%,22.1%,26.3%,9.9%,22.3%,13.7%,94.3%,36.0%,(X),90.6%,46.7%,(X),93.6%,36.2%,(X),97.6%,38.4%,(X),90.9%,27.8%,,(X),94.9%,34.9%,(X),96.0%,35.0%,(X),100.0%,79.2%,(X),0.0%,0.0%,(X),100.0%,30.9%,(X),100.0%,0.0%,(X),100.0%,40.0%,(X),100.0%,14.8%,(X),88.4%,32.5%,,14.0%,2.5%,6.4%,8.6%,,(X),(X),(X),(X),(X),(X)
10,        Estimate,,(X),0.0%,2.4%,0.0%,97.6%,(X),10.8%,3.2%,13.9%,16.5%,8.4%,25.3%,21.9%,86.0%,47.2%,(X),97.3%,51.6%,(X),81.6%,51.1%,(X),83.7%,39.5%,(X),84.6%,56.3%,,(X),90.9%,47.6%,(X),98.6%,55.5%,(X),95.2%,81.7%,(X),-,-,(X),100.0%,0.0%,(X),-,-,(X),100.0%,100.0%,(X),22.5%,20.9%,(X),56.4%,24.9%,,0.0%,9.1%,6.3%,1.9%,,(X),(X),(X),(X),(X),(X)
11,        Estimate,,(X),4.7%,50.1%,27.3%,17.8%,(X),8.0%,5.1%,25.8%,21.3%,6.9%,22.7%,10.2%,86.9%,32.9%,(X),94.7%,41.3%,(X),91.2%,33.6%,(X),77.8%,26.0%,(X),85.1%,27.0%,,(X),89.7%,38.9%,(X),95.3%,38.0%,(X),93.3%,35.2%,(X),72.7%,34.1%,(X),100.0%,63.7%,(X),-,-,(X),61.7%,3.5%,(X),100.0%,36.4%,(X),76.1%,25.3%,,43.2%,18.0%,7.3%,4.2%,,(X),(X),(X),(X),(X),(X)
