,Zip Code,AGE BY EDUCATIONAL ATTAINMENT,AGE BY EDUCATIONAL ATTAINMENT Population 18 to 24 years,AGE BY EDUCATIONAL ATTAINMENT Population 18 to 24 years Less than high school graduate,AGE BY EDUCATIONAL ATTAINMENT Population 18 to 24 years High school graduate (includes equivalency),AGE BY EDUCATIONAL ATTAINMENT Population 18 to 24 years Some college or associate's degree,AGE BY EDUCATIONAL ATTAINMENT Population 18 to 24 years Bachelor's degree or higher,AGE BY EDUCATIONAL ATTAINMENT Population 25 years and over,AGE BY EDUCATIONAL ATTAINMENT Population 25 years and over Less than 9th grade,"AGE BY EDUCATIONAL ATTAINMENT Population 25 years and over 9th to 12th grade, no diploma",AGE BY EDUCATIONAL ATTAINMENT Population 25 years and over High school graduate (includes equivalency),"AGE BY EDUCATIONAL ATTAINMENT Population 25 years and over Some college, no degree",AGE BY EDUCATIONAL ATTAINMENT Population 25 years and over Associate's degree,AGE BY EDUCATIONAL ATTAINMENT Population 25 years and over Bachelor's degree,AGE BY EDUCATIONAL ATTAINMENT Population 25 years and over Graduate or professional degree,AGE BY EDUCATIONAL ATTAINMENT Population 25 years and over High school graduate or higher,AGE BY EDUCATIONAL ATTAINMENT Population 25 years and over Bachelor's degree or higher,AGE BY EDUCATIONAL ATTAINMENT Population 25 to 34 years,AGE BY EDUCATIONAL ATTAINMENT Population 25 to 34 years High school graduate or higher,AGE BY EDUCATIONAL ATTAINMENT Population 25 to 34 years Bachelor's degree or higher,AGE BY EDUCATIONAL ATTAINMENT Population 35 to 44 years,AGE BY EDUCATIONAL ATTAINMENT Population 35 to 44 years High school graduate or higher,AGE BY EDUCATIONAL ATTAINMENT Population 35 to 44 years Bachelor's degree or higher,AGE BY EDUCATIONAL ATTAINMENT Population 45 to 64 years,AGE BY EDUCATIONAL ATTAINMENT Population 45 to 64 years High school graduate or higher,AGE BY EDUCATIONAL ATTAINMENT Population 45 to 64 years Bachelor's degree or higher,AGE BY EDUCATIONAL ATTAINMENT Population 65 years and over,AGE BY EDUCATIONAL ATTAINMENT Population 65 years and over High school graduate or higher,AGE BY EDUCATIONAL ATTAINMENT Population 65 years and over Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT White alone,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT White alone High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT White alone Bachelor's degree or higher,"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT White alone, not Hispanic or Latino","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT White alone, not Hispanic or Latino High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT White alone, not Hispanic or Latino Bachelor's degree or higher",RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT Black alone,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT Black alone High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT Black alone Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT American Indian or Alaska Native alone,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT American Indian or Alaska Native alone High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT American Indian or Alaska Native alone Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT Asian alone,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT Asian alone High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT Asian alone Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT Native Hawaiian and Other Pacific Islander alone,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT Native Hawaiian and Other Pacific Islander alone High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT Native Hawaiian and Other Pacific Islander alone Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT Some other race alone,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT Some other race alone High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT Some other race alone Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT Two or more races,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT Two or more races High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT Two or more races Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT Hispanic or Latino Origin,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT Hispanic or Latino Origin High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT Hispanic or Latino Origin Bachelor's degree or higher,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL Less than high school graduate,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL High school graduate (includes equivalency),POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL Some college or associate's degree,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL Bachelor's degree or higher,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS),MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) Population 25 years and over with earnings,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) Population 25 years and over with earnings Less than high school graduate,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) Population 25 years and over with earnings High school graduate (includes equivalency),MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) Population 25 years and over with earnings Some college or associate's degree,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) Population 25 years and over with earnings Bachelor's degree,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) Population 25 years and over with earnings Graduate or professional degree
0,78610,,(X),16.8%,58.0%,18.7%,6.6%,(X),4.1%,5.7%,26.2%,20.8%,6.9%,26.8%,9.6%,90.2%,36.4%,(X),96.5%,28.1%,(X),90.0%,41.4%,(X),87.9%,35.8%,(X),87.6%,40.5%,,(X),92.2%,36.3%,(X),96.4%,45.7%,(X),93.0%,13.0%,(X),100.0%,2.7%,(X),100.0%,77.5%,(X),-,-,(X),49.6%,29.8%,(X),83.5%,49.1%,(X),81.5%,23.3%,,11.1%,3.6%,4.7%,2.1%,,(X),(X),(X),(X),(X),(X)
1,78612,,(X),24.0%,22.3%,45.1%,8.6%,(X),13.7%,10.4%,29.5%,20.6%,7.2%,10.2%,8.4%,75.9%,18.7%,(X),88.1%,12.6%,(X),71.6%,13.5%,(X),76.8%,17.0%,(X),69.1%,33.7%,,(X),84.5%,20.0%,(X),89.1%,25.1%,(X),72.0%,41.2%,(X),100.0%,0.0%,(X),100.0%,100.0%,(X),-,-,(X),67.6%,14.3%,(X),56.8%,0.0%,(X),61.0%,7.4%,,5.2%,4.4%,7.6%,2.5%,,(X),(X),(X),(X),(X),(X)
2,78613,,(X),16.0%,31.4%,45.9%,6.8%,(X),1.1%,2.3%,15.8%,21.7%,8.5%,34.2%,16.4%,96.6%,50.5%,(X),96.0%,50.0%,(X),96.5%,54.4%,(X),97.3%,48.0%,(X),95.7%,50.9%,,(X),96.6%,48.0%,(X),97.9%,49.5%,(X),98.4%,48.0%,(X),100.0%,0.0%,(X),96.6%,82.4%,(X),-,-,(X),97.3%,30.7%,(X),96.0%,42.0%,(X),90.6%,40.9%,,34.9%,4.1%,4.6%,0.5%,,(X),(X),(X),(X),(X),(X)
3,78615,,(X),86.1%,8.3%,2.8%,2.8%,(X),13.4%,5.6%,26.6%,26.1%,5.3%,10.9%,12.2%,81.0%,23.0%,(X),66.7%,9.4%,(X),60.7%,5.4%,(X),91.4%,37.1%,(X),97.6%,30.5%,,(X),95.8%,27.6%,(X),98.1%,33.8%,(X),-,-,(X),0.0%,0.0%,(X),-,-,(X),-,-,(X),0.0%,0.0%,(X),9.3%,0.0%,(X),42.6%,0.0%,,2.7%,21.9%,0.8%,4.4%,,(X),(X),(X),(X),(X),(X)
4,78617,,(X),15.5%,46.1%,34.7%,3.7%,(X),15.9%,12.7%,38.1%,18.1%,4.4%,9.4%,1.4%,71.4%,10.8%,(X),77.1%,11.5%,(X),62.4%,8.1%,(X),72.6%,9.7%,(X),80.7%,27.7%,,(X),81.5%,13.9%,(X),92.3%,13.8%,(X),79.1%,11.2%,(X),55.1%,0.0%,(X),100.0%,0.0%,(X),-,-,(X),62.9%,9.7%,(X),33.8%,0.0%,(X),61.6%,10.2%,,14.5%,2.8%,7.3%,6.1%,,(X),(X),(X),(X),(X),(X)
5,78620,,(X),8.8%,56.0%,30.1%,5.2%,(X),3.3%,2.4%,15.0%,22.9%,2.8%,37.7%,15.9%,94.3%,53.6%,(X),84.1%,51.1%,(X),89.4%,50.5%,(X),96.3%,53.2%,(X),99.3%,59.1%,,(X),93.9%,52.4%,(X),98.9%,56.4%,(X),100.0%,59.4%,(X),-,-,(X),100.0%,100.0%,(X),100.0%,100.0%,(X),100.0%,22.4%,(X),100.0%,70.3%,(X),61.0%,32.0%,,9.8%,16.6%,2.0%,3.5%,,(X),(X),(X),(X),(X),(X)
6,78621,,(X),19.4%,49.5%,31.1%,0.0%,(X),14.7%,9.0%,32.2%,20.5%,5.6%,12.6%,5.4%,76.3%,18.0%,(X),84.9%,31.8%,(X),78.0%,10.0%,(X),75.2%,17.9%,(X),69.7%,18.2%,,(X),84.2%,21.3%,(X),90.6%,26.6%,(X),82.0%,28.6%,(X),-,-,(X),100.0%,63.5%,(X),-,-,(X),44.4%,0.0%,(X),74.1%,2.0%,(X),52.3%,1.8%,,12.1%,5.2%,3.3%,1.4%,,(X),(X),(X),(X),(X),(X)
7,78634,,(X),7.4%,39.7%,36.7%,16.2%,(X),4.1%,4.2%,27.2%,23.7%,8.4%,24.4%,7.9%,91.7%,32.3%,(X),98.8%,30.2%,(X),93.3%,40.8%,(X),88.5%,23.5%,(X),81.2%,40.7%,,(X),93.6%,30.6%,(X),98.6%,34.9%,(X),94.7%,49.6%,(X),86.5%,0.0%,(X),49.2%,25.4%,(X),-,-,(X),61.9%,9.4%,(X),91.0%,30.4%,(X),77.2%,18.6%,,9.1%,14.2%,10.0%,2.5%,,(X),(X),(X),(X),(X),(X)
8,78641,,(X),8.3%,43.3%,38.8%,9.6%,(X),1.9%,5.0%,17.0%,26.9%,7.6%,27.9%,13.8%,93.2%,41.6%,(X),91.6%,29.5%,(X),94.6%,47.7%,(X),93.8%,43.8%,(X),90.7%,42.2%,,(X),93.8%,40.7%,(X),96.0%,44.9%,(X),98.4%,38.2%,(X),100.0%,12.8%,(X),88.2%,74.5%,(X),100.0%,0.0%,(X),61.0%,16.2%,(X),95.5%,45.8%,(X),82.0%,21.5%,,6.3%,3.3%,2.9%,1.7%,,(X),(X),(X),(X),(X),(X)
9,78645,,(X),7.3%,32.4%,53.0%,7.3%,(X),3.4%,1.5%,18.4%,30.1%,6.6%,27.7%,12.5%,95.2%,40.1%,(X),100.0%,22.6%,(X),98.4%,37.3%,(X),92.3%,42.8%,(X),95.3%,45.2%,,(X),95.0%,37.9%,(X),96.2%,39.4%,(X),100.0%,100.0%,(X),-,-,(X),100.0%,100.0%,(X),-,-,(X),100.0%,100.0%,(X),100.0%,82.8%,(X),83.5%,27.5%,,0.0%,16.1%,4.7%,1.8%,,(X),(X),(X),(X),(X),(X)
10,78652,,(X),0.0%,29.5%,70.5%,0.0%,(X),0.3%,6.0%,33.7%,14.1%,7.4%,26.4%,12.1%,93.7%,38.5%,(X),100.0%,61.5%,(X),100.0%,19.4%,(X),82.7%,31.2%,(X),97.9%,46.3%,,(X),96.7%,41.7%,(X),96.7%,45.8%,(X),100.0%,11.4%,(X),-,-,(X),100.0%,100.0%,(X),-,-,(X),100.0%,0.0%,(X),58.0%,15.5%,(X),85.7%,23.7%,,0.0%,19.0%,0.6%,5.4%,,(X),(X),(X),(X),(X),(X)
11,78653,,(X),22.6%,49.7%,16.3%,11.4%,(X),12.4%,6.6%,24.4%,28.0%,6.1%,15.2%,7.3%,81.0%,22.5%,(X),92.6%,25.8%,(X),86.8%,27.4%,(X),67.3%,16.8%,(X),84.7%,18.7%,,(X),77.7%,26.1%,(X),95.5%,36.4%,(X),93.6%,21.3%,(X),44.2%,44.2%,(X),100.0%,60.2%,(X),-,-,(X),65.3%,11.7%,(X),93.5%,12.9%,(X),63.1%,9.5%,,21.1%,8.8%,3.5%,0.2%,,(X),(X),(X),(X),(X),(X)
12,78654,,(X),7.6%,61.4%,22.7%,8.3%,(X),7.8%,10.0%,25.3%,24.1%,3.5%,17.7%,11.6%,82.2%,29.3%,(X),50.0%,7.8%,(X),87.1%,12.5%,(X),78.9%,28.1%,(X),91.9%,46.2%,,(X),86.7%,31.7%,(X),92.9%,34.9%,(X),0.0%,0.0%,(X),100.0%,0.0%,(X),100.0%,100.0%,(X),100.0%,0.0%,(X),35.8%,0.0%,(X),63.0%,20.3%,(X),49.3%,9.5%,,13.0%,10.6%,5.4%,1.5%,,(X),(X),(X),(X),(X),(X)
