,Zip Code,AGE BY EDUCATIONAL ATTAINMENT,AGE BY EDUCATIONAL ATTAINMENT Population 18 to 24 years,AGE BY EDUCATIONAL ATTAINMENT Population 18 to 24 years Less than high school graduate,AGE BY EDUCATIONAL ATTAINMENT Population 18 to 24 years High school graduate (includes equivalency),AGE BY EDUCATIONAL ATTAINMENT Population 18 to 24 years Some college or associate's degree,AGE BY EDUCATIONAL ATTAINMENT Population 18 to 24 years Bachelor's degree or higher,AGE BY EDUCATIONAL ATTAINMENT Population 25 years and over,AGE BY EDUCATIONAL ATTAINMENT Population 25 years and over Less than 9th grade,"AGE BY EDUCATIONAL ATTAINMENT Population 25 years and over 9th to 12th grade, no diploma",AGE BY EDUCATIONAL ATTAINMENT Population 25 years and over High school graduate (includes equivalency),"AGE BY EDUCATIONAL ATTAINMENT Population 25 years and over Some college, no degree",AGE BY EDUCATIONAL ATTAINMENT Population 25 years and over Associate's degree,AGE BY EDUCATIONAL ATTAINMENT Population 25 years and over Bachelor's degree,AGE BY EDUCATIONAL ATTAINMENT Population 25 years and over Graduate or professional degree,AGE BY EDUCATIONAL ATTAINMENT Population 25 years and over High school graduate or higher,AGE BY EDUCATIONAL ATTAINMENT Population 25 years and over Bachelor's degree or higher,AGE BY EDUCATIONAL ATTAINMENT Population 25 to 34 years,AGE BY EDUCATIONAL ATTAINMENT Population 25 to 34 years High school graduate or higher,AGE BY EDUCATIONAL ATTAINMENT Population 25 to 34 years Bachelor's degree or higher,AGE BY EDUCATIONAL ATTAINMENT Population 35 to 44 years,AGE BY EDUCATIONAL ATTAINMENT Population 35 to 44 years High school graduate or higher,AGE BY EDUCATIONAL ATTAINMENT Population 35 to 44 years Bachelor's degree or higher,AGE BY EDUCATIONAL ATTAINMENT Population 45 to 64 years,AGE BY EDUCATIONAL ATTAINMENT Population 45 to 64 years High school graduate or higher,AGE BY EDUCATIONAL ATTAINMENT Population 45 to 64 years Bachelor's degree or higher,AGE BY EDUCATIONAL ATTAINMENT Population 65 years and over,AGE BY EDUCATIONAL ATTAINMENT Population 65 years and over High school graduate or higher,AGE BY EDUCATIONAL ATTAINMENT Population 65 years and over Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT White alone,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT White alone High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT White alone Bachelor's degree or higher,"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT White alone, not Hispanic or Latino","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT White alone, not Hispanic or Latino High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT White alone, not Hispanic or Latino Bachelor's degree or higher",RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT Black alone,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT Black alone High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT Black alone Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT American Indian or Alaska Native alone,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT American Indian or Alaska Native alone High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT American Indian or Alaska Native alone Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT Asian alone,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT Asian alone High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT Asian alone Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT Native Hawaiian and Other Pacific Islander alone,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT Native Hawaiian and Other Pacific Islander alone High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT Native Hawaiian and Other Pacific Islander alone Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT Some other race alone,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT Some other race alone High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT Some other race alone Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT Two or more races,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT Two or more races High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT Two or more races Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT Hispanic or Latino Origin,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT Hispanic or Latino Origin High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT Hispanic or Latino Origin Bachelor's degree or higher,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL Less than high school graduate,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL High school graduate (includes equivalency),POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL Some college or associate's degree,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL Bachelor's degree or higher,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS),MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) Population 25 years and over with earnings,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) Population 25 years and over with earnings Less than high school graduate,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) Population 25 years and over with earnings High school graduate (includes equivalency),MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) Population 25 years and over with earnings Some college or associate's degree,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) Population 25 years and over with earnings Bachelor's degree,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) Population 25 years and over with earnings Graduate or professional degree
0,78610,,(X),13.5%,49.6%,29.9%,7.0%,(X),4.2%,4.2%,24.7%,18.9%,7.8%,27.4%,12.9%,91.6%,40.3%,(X),96.3%,42.8%,(X),88.2%,46.8%,(X),91.3%,35.0%,(X),91.3%,38.0%,,(X),93.1%,42.0%,(X),97.6%,51.0%,(X),97.6%,31.1%,(X),100.0%,1.7%,(X),99.1%,47.0%,(X),-,-,(X),70.8%,21.3%,(X),77.8%,35.0%,(X),82.6%,25.9%,,22.0%,6.8%,8.1%,2.0%,,(X),(X),(X),(X),(X),(X)
1,78612,,(X),20.7%,41.5%,28.3%,9.6%,(X),12.9%,9.8%,25.5%,25.8%,5.5%,12.2%,8.1%,77.2%,20.3%,(X),83.5%,24.6%,(X),66.0%,10.7%,(X),80.1%,22.7%,(X),78.6%,22.8%,,(X),88.1%,23.9%,(X),92.1%,27.7%,(X),83.9%,33.8%,(X),47.8%,0.0%,(X),100.0%,100.0%,(X),-,-,(X),60.7%,8.0%,(X),45.6%,0.0%,(X),57.5%,6.0%,,15.5%,8.4%,10.8%,6.6%,,(X),(X),(X),(X),(X),(X)
2,78613,,(X),16.1%,32.5%,37.2%,14.2%,(X),1.5%,2.2%,16.3%,22.6%,8.3%,34.2%,14.9%,96.3%,49.2%,(X),96.4%,52.0%,(X),97.0%,53.9%,(X),96.9%,48.7%,(X),93.4%,37.1%,,(X),96.5%,47.3%,(X),98.0%,49.2%,(X),94.7%,42.2%,(X),93.0%,45.2%,(X),95.1%,76.0%,(X),100.0%,75.7%,(X),94.4%,22.1%,(X),97.5%,46.0%,(X),90.3%,36.7%,,24.1%,9.6%,5.1%,1.7%,,(X),(X),(X),(X),(X),(X)
3,78615,,(X),33.7%,10.9%,40.2%,15.2%,(X),9.5%,3.1%,32.3%,27.6%,8.3%,10.7%,8.5%,87.4%,19.2%,(X),81.5%,5.2%,(X),80.0%,20.9%,(X),95.5%,27.1%,(X),86.7%,22.9%,,(X),94.4%,22.7%,(X),96.9%,28.6%,(X),-,-,(X),50.0%,0.0%,(X),-,-,(X),-,-,(X),50.0%,0.0%,(X),48.7%,0.0%,(X),66.9%,0.0%,,2.0%,16.8%,0.7%,2.7%,,(X),(X),(X),(X),(X),(X)
4,78617,,(X),19.6%,37.3%,39.4%,3.8%,(X),15.9%,13.1%,34.7%,18.5%,4.7%,10.5%,2.5%,70.9%,13.0%,(X),79.2%,15.9%,(X),63.8%,10.8%,(X),70.8%,11.3%,(X),70.1%,20.9%,,(X),82.5%,15.2%,(X),94.9%,19.1%,(X),79.4%,14.5%,(X),69.9%,0.0%,(X),78.1%,0.0%,(X),-,-,(X),57.8%,8.7%,(X),61.5%,29.4%,(X),61.7%,11.4%,,18.7%,7.9%,11.5%,2.7%,,(X),(X),(X),(X),(X),(X)
5,78620,,(X),11.2%,45.7%,36.6%,6.5%,(X),2.3%,4.3%,16.6%,20.4%,5.3%,35.4%,15.7%,93.4%,51.1%,(X),93.1%,60.5%,(X),88.2%,49.9%,(X),95.0%,52.8%,(X),95.5%,43.9%,,(X),93.0%,49.9%,(X),97.6%,54.5%,(X),100.0%,67.0%,(X),100.0%,0.0%,(X),100.0%,78.1%,(X),100.0%,100.0%,(X),94.0%,35.7%,(X),99.3%,68.0%,(X),66.2%,25.0%,,24.1%,12.7%,5.3%,2.1%,,(X),(X),(X),(X),(X),(X)
6,78621,,(X),21.2%,44.3%,34.5%,0.0%,(X),14.1%,7.1%,31.7%,23.0%,6.1%,11.9%,6.1%,78.7%,18.0%,(X),80.3%,20.0%,(X),79.7%,15.7%,(X),81.0%,18.8%,(X),72.2%,17.3%,,(X),85.2%,22.3%,(X),92.2%,27.6%,(X),87.7%,21.5%,(X),100.0%,0.0%,(X),100.0%,62.3%,(X),-,-,(X),52.6%,1.0%,(X),56.7%,4.8%,(X),56.4%,4.0%,,12.4%,9.9%,4.1%,1.1%,,(X),(X),(X),(X),(X),(X)
7,78634,,(X),9.5%,38.0%,43.1%,9.4%,(X),3.0%,3.3%,29.7%,23.3%,8.0%,24.4%,8.3%,93.7%,32.8%,(X),99.4%,36.4%,(X),95.6%,40.6%,(X),90.3%,24.6%,(X),87.0%,29.2%,,(X),95.5%,31.7%,(X),98.4%,34.4%,(X),94.4%,38.8%,(X),73.9%,11.2%,(X),60.5%,22.9%,(X),100.0%,0.0%,(X),82.1%,35.6%,(X),90.0%,35.2%,(X),86.0%,28.0%,,10.0%,12.8%,9.0%,3.1%,,(X),(X),(X),(X),(X),(X)
8,78641,,(X),12.8%,38.7%,38.2%,10.3%,(X),2.8%,4.4%,18.0%,25.8%,8.8%,27.1%,13.0%,92.7%,40.2%,(X),94.5%,35.8%,(X),95.9%,47.7%,(X),91.2%,39.2%,(X),88.7%,35.7%,,(X),93.4%,40.1%,(X),96.1%,44.0%,(X),98.6%,33.2%,(X),100.0%,24.3%,(X),81.4%,64.1%,(X),100.0%,0.0%,(X),75.7%,16.3%,(X),94.0%,40.0%,(X),82.1%,22.9%,,7.1%,5.7%,4.2%,2.0%,,(X),(X),(X),(X),(X),(X)
9,78645,,(X),5.5%,31.2%,46.8%,16.5%,(X),2.6%,2.7%,20.3%,28.2%,8.3%,24.9%,13.1%,94.7%,38.0%,(X),95.5%,34.1%,(X),96.1%,36.8%,(X),95.2%,40.4%,(X),93.2%,36.7%,,(X),94.9%,36.4%,(X),96.1%,37.3%,(X),100.0%,86.0%,(X),0.0%,0.0%,(X),100.0%,44.9%,(X),100.0%,0.0%,(X),100.0%,86.7%,(X),100.0%,36.7%,(X),86.5%,30.5%,,7.7%,8.6%,5.5%,5.1%,,(X),(X),(X),(X),(X),(X)
10,78652,,(X),0.0%,16.2%,35.8%,48.0%,(X),5.8%,4.5%,23.4%,15.3%,7.9%,25.8%,17.2%,89.7%,43.0%,(X),98.7%,56.6%,(X),92.5%,32.3%,(X),83.3%,36.1%,(X),91.2%,51.3%,,(X),93.7%,44.8%,(X),97.7%,50.9%,(X),97.6%,46.4%,(X),-,-,(X),100.0%,67.3%,(X),-,-,(X),100.0%,51.1%,(X),40.2%,18.2%,(X),70.4%,24.3%,,0.0%,15.9%,3.8%,3.4%,,(X),(X),(X),(X),(X),(X)
11,78653,,(X),14.1%,49.9%,21.6%,14.5%,(X),10.0%,5.8%,25.1%,24.4%,6.5%,19.2%,8.9%,84.2%,28.0%,(X),93.9%,35.4%,(X),88.6%,29.9%,(X),73.0%,21.8%,(X),84.9%,23.3%,,(X),84.1%,32.9%,(X),95.4%,37.2%,(X),93.4%,29.6%,(X),58.6%,39.1%,(X),100.0%,62.2%,(X),-,-,(X),63.3%,7.2%,(X),95.6%,20.7%,(X),69.9%,17.8%,,30.9%,13.8%,5.4%,2.7%,,(X),(X),(X),(X),(X),(X)
