,Zip Code,Label,Grouping,Total,"    Less than $10,000","    $10,000 to $14,999","    $15,000 to $24,999","    $25,000 to $34,999","    $35,000 to $49,999","    $50,000 to $74,999","    $75,000 to $99,999","    $100,000 to $149,999","    $150,000 to $199,999","    $200,000 or more",Median income (dollars),Mean income (dollars),PERCENT ALLOCATED,    Household income in the past 12 months,    Family income in the past 12 months,    Nonfamily income in the past 12 months
1,78610,Households,Estimate,"13,284",3.8%,1.9%,3.3%,4.4%,9.2%,18.7%,17.4%,20.4%,10.8%,10.2%,"84,114","108,413",,29.7%,(X),(X)
3,78610,Families,Estimate,"10,269",1.4%,1.5%,2.5%,3.7%,9.1%,16.2%,19.0%,21.6%,12.2%,12.9%,"94,644","119,633",,(X),29.9%,(X)
5,78610,Married-couple families,Estimate,"8,219",0.7%,1.0%,1.6%,3.3%,7.7%,12.7%,20.2%,23.3%,13.8%,15.6%,"102,268",N,,(X),(X),(X)
7,78610,Nonfamily households,Estimate,"3,015",12.5%,3.6%,7.7%,7.0%,13.3%,23.0%,13.5%,14.7%,3.9%,0.8%,"52,465","64,752",,(X),(X),28.1%
9,78612,Households,Estimate,"4,119",3.0%,4.6%,7.5%,4.4%,14.3%,20.0%,15.8%,21.1%,4.8%,4.6%,"71,205","80,939",,45.0%,(X),(X)
11,78612,Families,Estimate,"3,244",1.0%,2.4%,8.4%,5.4%,12.4%,23.1%,15.5%,21.9%,5.5%,4.4%,"73,394","84,059",,(X),52.2%,(X)
13,78612,Married-couple families,Estimate,"2,462",0.0%,0.4%,7.5%,4.4%,11.1%,21.6%,15.4%,28.1%,5.8%,5.6%,"82,167",N,,(X),(X),(X)
15,78612,Nonfamily households,Estimate,875,10.2%,12.5%,11.0%,5.7%,19.2%,8.5%,20.0%,7.7%,0.0%,5.4%,"41,480","56,431",,(X),(X),18.2%
17,78613,Households,Estimate,"27,558",2.1%,2.4%,3.4%,4.4%,6.6%,13.5%,11.7%,26.2%,15.5%,14.1%,"107,983","125,381",,26.9%,(X),(X)
19,78613,Families,Estimate,"20,198",1.6%,2.1%,1.4%,3.8%,4.2%,10.8%,11.5%,29.6%,17.5%,17.6%,"122,527","138,858",,(X),25.2%,(X)
21,78613,Married-couple families,Estimate,"16,804",0.5%,1.1%,0.7%,2.1%,3.3%,9.5%,9.7%,33.4%,20.1%,19.7%,"134,966",N,,(X),(X),(X)
23,78613,Nonfamily households,Estimate,"7,360",4.9%,3.7%,9.4%,6.0%,13.0%,21.0%,13.8%,15.6%,8.9%,3.7%,"60,838","83,339",,(X),(X),30.5%
25,78615,Households,Estimate,376,8.2%,0.5%,6.6%,2.9%,10.6%,26.3%,13.8%,15.2%,6.6%,9.0%,"70,833","98,823",,31.9%,(X),(X)
27,78615,Families,Estimate,293,0.0%,0.0%,3.8%,2.4%,18.4%,22.5%,16.0%,23.5%,2.0%,11.3%,"91,250","110,442",,(X),33.4%,(X)
29,78615,Married-couple families,Estimate,201,0.0%,0.0%,3.5%,3.5%,4.0%,20.9%,23.4%,25.9%,2.5%,16.4%,"96,780",N,,(X),(X),(X)
31,78615,Nonfamily households,Estimate,83,37.3%,2.4%,16.9%,4.8%,18.1%,12.0%,6.0%,0.0%,1.2%,1.2%,-,"30,220",,(X),(X),26.5%
33,78617,Households,Estimate,"6,981",3.5%,1.4%,6.4%,7.3%,19.4%,17.9%,11.1%,21.8%,5.5%,5.8%,"64,117","96,277",,59.0%,(X),(X)
35,78617,Families,Estimate,"5,680",4.6%,1.6%,6.7%,7.1%,13.2%,18.3%,13.0%,23.5%,6.6%,5.4%,"70,439","101,779",,(X),60.7%,(X)
37,78617,Married-couple families,Estimate,"3,940",0.6%,0.1%,5.8%,6.2%,10.9%,21.0%,9.5%,30.2%,8.0%,7.8%,"94,929",N,,(X),(X),(X)
39,78617,Nonfamily households,Estimate,"1,301",6.0%,3.4%,8.4%,8.5%,43.8%,11.5%,5.0%,10.5%,1.7%,1.4%,"45,354","54,037",,(X),(X),44.4%
41,78620,Households,Estimate,"6,416",1.7%,3.0%,4.1%,3.5%,9.0%,14.1%,9.9%,19.7%,12.6%,22.5%,"110,986","144,005",,27.5%,(X),(X)
43,78620,Families,Estimate,"5,296",2.4%,2.6%,1.2%,1.8%,6.9%,14.3%,9.3%,23.1%,12.1%,26.4%,"124,490","158,040",,(X),28.2%,(X)
45,78620,Married-couple families,Estimate,"4,638",0.8%,3.0%,1.2%,1.2%,4.2%,14.5%,8.8%,24.0%,12.7%,29.5%,"132,133",N,,(X),(X),(X)
47,78620,Nonfamily households,Estimate,"1,120",4.9%,4.6%,17.9%,11.4%,14.1%,15.4%,13.4%,8.8%,5.6%,3.9%,"47,714","69,368",,(X),(X),24.3%
49,78621,Households,Estimate,"7,183",5.0%,2.8%,7.1%,6.9%,11.1%,13.8%,19.9%,20.8%,8.7%,4.0%,"80,100","85,730",,52.3%,(X),(X)
51,78621,Families,Estimate,"5,408",3.9%,1.8%,4.6%,6.1%,10.9%,16.5%,20.0%,23.6%,8.3%,4.3%,"82,037","90,045",,(X),54.7%,(X)
53,78621,Married-couple families,Estimate,"4,046",1.0%,0.5%,3.0%,4.7%,11.0%,16.7%,20.4%,26.8%,10.2%,5.7%,"89,349",N,,(X),(X),(X)
55,78621,Nonfamily households,Estimate,"1,775",8.1%,8.1%,14.7%,9.9%,12.3%,9.4%,17.1%,9.4%,9.4%,1.7%,"46,235","65,354",,(X),(X),44.7%
57,78634,Households,Estimate,"11,461",1.8%,0.6%,5.5%,2.9%,10.0%,18.5%,19.6%,26.6%,9.0%,5.6%,"90,843","102,233",,30.9%,(X),(X)
