,Zip Code,Population 16 years and over,Population 16 years and over AGE,Population 16 years and over AGE 16 to 19 years,Population 16 years and over AGE 20 to 24 years,Population 16 years and over AGE 25 to 29 years,Population 16 years and over AGE 30 to 34 years,Population 16 years and over AGE 35 to 44 years,Population 16 years and over AGE 45 to 54 years,Population 16 years and over AGE 55 to 59 years,Population 16 years and over AGE 60 to 64 years,Population 16 years and over AGE 65 to 74 years,Population 16 years and over AGE 75 years and over,Population 16 years and over RACE AND HISPANIC OR LATINO ORIGIN,Population 16 years and over RACE AND HISPANIC OR LATINO ORIGIN White alone,Population 16 years and over RACE AND HISPANIC OR LATINO ORIGIN Black or African American alone,Population 16 years and over RACE AND HISPANIC OR LATINO ORIGIN American Indian and Alaska Native alone,Population 16 years and over RACE AND HISPANIC OR LATINO ORIGIN Asian alone,Population 16 years and over RACE AND HISPANIC OR LATINO ORIGIN Native Hawaiian and Other Pacific Islander alone,Population 16 years and over RACE AND HISPANIC OR LATINO ORIGIN Some other race alone,Population 16 years and over RACE AND HISPANIC OR LATINO ORIGIN Two or more races,Population 16 years and over RACE AND HISPANIC OR LATINO ORIGIN Hispanic or Latino origin (of any race),"Population 16 years and over RACE AND HISPANIC OR LATINO ORIGIN White alone, not Hispanic or Latino",Population 20 to 64 years,Population 20 to 64 years SEX,Population 20 to 64 years SEX Male,Population 20 to 64 years SEX Female,Population 20 to 64 years SEX Female With own children under 18 years,Population 20 to 64 years SEX Female With own children under 18 years With own children under 6 years only,Population 20 to 64 years SEX Female With own children under 18 years With own children under 6 years and 6 to 17  years,Population 20 to 64 years SEX Female With own children under 18 years With own children 6 to 17 years only,Population 20 to 64 years POVERTY STATUS IN THE PAST 12 MONTHS,Population 20 to 64 years POVERTY STATUS IN THE PAST 12 MONTHS Below poverty level,Population 20 to 64 years POVERTY STATUS IN THE PAST 12 MONTHS At or above the poverty level,Population 20 to 64 years DISABILITY STATUS,Population 20 to 64 years DISABILITY STATUS With any disability,EDUCATIONAL ATTAINMENT,EDUCATIONAL ATTAINMENT Population 25 to 64 years,EDUCATIONAL ATTAINMENT Population 25 to 64 years Less than high school graduate,EDUCATIONAL ATTAINMENT Population 25 to 64 years High school graduate (includes equivalency),EDUCATIONAL ATTAINMENT Population 25 to 64 years Some college or associate's degree,EDUCATIONAL ATTAINMENT Population 25 to 64 years Bachelor's degree or higher
0,78610,2.8,,8.8,10.3,6.9,5.3,5.3,5.0,8.8,9.0,9.0,5.4,,3.2,9.4,26.3,12.9,**,8.8,9.9,4.3,3.9,3.0,,3.8,4.4,7.1,17.1,11.8,7.7,,13.3,2.7,,12.8,,2.9,9.0,5.4,5.1,3.9
1,78612,4.7,,8.4,20.6,19.1,17.2,10.7,10.5,11.5,16.2,10.2,10.4,,5.1,16.8,14.9,9.4,**,7.2,18.9,7.4,6.2,5.4,,7.7,9.1,13.5,19.4,27.0,19.3,,13.0,5.5,,15.9,,5.3,12.7,10.1,9.6,10.9
2,78613,1.6,,5.9,10.3,6.4,3.3,3.2,2.9,5.6,8.3,5.0,3.7,,1.7,11.8,30.0,5.2,5.1,11.8,8.4,4.1,1.9,1.8,,2.2,2.5,3.8,13.4,8.9,3.7,,13.0,1.8,,8.2,,1.8,11.7,6.5,3.2,2.0
3,78615,10.0,,36.8,24.2,25.5,31.4,2.6,15.5,16.8,26.7,21.2,6.9,,8.5,**,45.1,**,**,59.5,20.8,10.2,8.5,8.7,,11.0,12.8,11.8,100.0,3.3,20.6,,18.5,8.5,,18.1,,8.9,18.5,16.7,16.4,28.3
4,78617,2.9,,8.9,10.5,9.3,10.3,6.0,9.3,9.3,14.6,15.4,15.6,,4.3,9.0,28.1,26.1,**,3.7,20.3,3.0,7.9,3.1,,3.6,5.3,8.9,28.8,12.7,9.1,,10.1,3.3,,13.1,,3.3,7.8,5.3,6.2,6.8
5,78620,3.4,,9.7,8.1,6.2,9.8,6.3,5.6,6.2,10.7,7.6,3.3,,3.4,6.8,87.2,16.0,80.1,25.1,17.8,11.7,3.4,3.4,,3.4,5.1,8.7,13.2,20.6,9.2,,18.4,3.1,,16.7,,3.3,21.3,10.9,5.4,3.5
6,78621,3.4,,16.4,14.4,8.8,14.3,4.8,6.8,10.0,10.6,8.4,6.3,,3.6,11.1,100.0,23.5,**,7.1,22.6,5.2,4.4,3.5,,5.7,4.7,6.5,12.4,10.6,10.2,,11.1,3.6,,12.7,,3.6,8.9,6.2,5.8,11.0
7,78634,3.3,,10.2,12.7,8.8,9.2,4.4,6.6,7.8,16.2,8.8,12.1,,3.7,10.9,20.2,18.6,48.9,10.3,9.6,4.5,4.2,3.5,,4.2,4.6,4.7,8.9,11.9,6.2,,13.7,3.0,,8.7,,3.0,14.8,6.6,5.5,3.2
8,78641,2.1,,6.7,7.3,10.1,3.3,3.3,2.9,6.2,7.0,4.8,7.1,,2.4,9.1,29.0,9.5,56.8,14.3,12.3,4.6,2.3,2.0,,2.3,2.9,4.2,7.2,9.3,6.1,,10.2,2.1,,8.0,,2.1,10.6,3.4,2.9,2.3
9,78645,4.2,,17.2,19.0,29.6,8.7,11.7,7.4,8.5,9.4,7.1,5.6,,4.1,21.0,51.5,25.6,100.0,26.3,22.5,10.2,4.5,4.2,,7.6,7.0,10.0,16.3,29.3,14.9,,18.0,4.1,,12.4,,4.4,22.8,11.4,5.8,8.1
10,78652,5.9,,27.9,19.2,9.8,17.8,8.4,20.2,7.1,21.7,13.8,14.5,,6.4,28.0,**,48.4,**,52.0,18.5,7.7,8.2,6.0,,4.0,10.4,16.5,12.2,41.7,24.1,,19.7,6.1,,12.8,,6.0,25.6,6.3,12.9,7.2
11,78653,3.7,,16.0,21.3,6.8,7.3,5.8,6.5,20.3,15.4,9.1,2.9,,4.8,7.5,22.5,11.0,**,7.1,10.7,6.0,4.9,4.2,,5.0,5.2,7.6,11.4,14.8,10.9,,8.6,3.0,,18.2,,4.5,17.4,6.7,5.2,3.0
12,78654,3.4,,16.0,14.8,15.9,13.1,6.8,12.5,9.0,10.8,7.7,3.8,,3.7,7.8,24.7,23.9,87.2,11.9,19.5,8.0,3.9,3.9,,5.6,5.8,7.6,29.3,37.2,9.1,,17.0,3.6,,15.1,,4.5,11.8,9.5,6.2,8.3
13,78660,1.7,,6.7,7.6,7.2,4.7,2.5,2.6,5.6,7.7,6.7,1.9,,2.4,4.6,14.2,4.9,6.8,4.9,4.9,2.6,2.9,1.9,,1.9,3.1,4.4,8.9,9.6,5.5,,8.7,1.9,,7.8,,1.9,7.1,5.8,3.5,2.6
14,78663,12.9,,48.9,30.3,58.3,39.8,48.4,37.8,14.1,36.0,18.3,55.9,,13.6,**,**,**,50.9,66.7,**,47.6,14.1,14.6,,22.0,21.2,31.7,**,100.0,53.8,,44.3,15.2,,35.9,,15.0,45.8,24.2,21.0,31.4
15,78664,2.2,,7.0,7.3,5.7,4.6,3.7,3.1,6.3,10.3,7.8,3.4,,2.4,5.8,100.0,7.1,**,8.2,7.6,4.1,2.7,2.0,,2.6,3.1,4.7,11.2,16.2,5.0,,8.5,1.9,,9.6,,2.0,7.9,4.6,3.2,2.5
16,78669,3.5,,10.7,8.5,30.2,7.8,7.4,6.2,15.0,8.7,7.6,1.0,,4.0,23.0,100.0,12.5,**,58.2,17.7,10.2,4.0,3.7,,6.3,5.4,8.5,14.0,20.4,11.5,,5.6,3.4,,21.2,,3.8,36.0,11.7,8.1,3.1
17,78701,4.2,,26.7,13.1,4.3,4.1,8.7,15.7,17.3,15.5,14.5,18.5,,4.0,24.1,100.0,15.1,**,15.9,12.9,12.1,3.7,4.1,,5.6,5.3,33.5,40.0,**,65.9,,11.0,3.0,,19.6,,4.2,10.3,22.5,7.9,4.2
18,78702,3.1,,9.8,14.1,4.4,4.7,6.4,7.5,15.9,14.9,7.0,2.9,,3.1,9.2,25.8,8.1,100.0,10.7,13.3,4.7,3.2,2.7,,3.6,4.4,8.3,16.2,17.1,13.0,,6.6,1.9,,10.7,,2.6,9.6,11.7,6.3,2.7
19,78703,2.8,,15.0,10.2,6.2,12.8,5.3,5.1,8.4,7.8,8.0,8.0,,3.0,24.9,60.4,7.8,**,23.8,17.4,7.5,3.1,3.0,,3.4,5.5,9.3,13.6,17.8,12.9,,17.6,3.2,,14.8,,3.2,40.4,21.9,8.1,3.4
20,78704,2.5,,9.7,7.1,2.3,2.2,4.7,8.9,6.6,9.4,7.1,4.7,,2.9,10.7,21.3,6.5,57.4,13.1,10.0,7.7,1.6,2.5,,2.5,3.5,5.5,9.3,23.9,7.4,,8.2,2.7,,11.8,,2.2,9.3,10.4,5.6,1.8
21,78705,2.2,,3.0,3.3,6.2,8.3,12.4,16.1,21.3,25.1,20.1,12.6,,2.5,5.2,39.2,6.5,82.3,10.9,8.8,4.6,3.0,3.1,,4.0,4.8,21.0,33.3,62.7,28.1,,4.8,4.0,,11.8,,5.0,33.0,21.5,12.2,5.5
22,78712,5.2,,5.4,7.9,52.9,100.0,**,**,**,**,**,**,,6.2,17.8,**,57.4,**,84.6,36.3,16.1,5.5,6.9,,11.8,11.0,**,**,**,**,,**,**,,**,,69.2,**,**,**,69.2
23,78719,6.9,,28.6,30.7,10.8,26.0,17.2,15.0,15.6,24.2,18.2,39.0,,11.2,28.1,100.0,**,**,9.6,36.8,7.7,11.8,7.5,,10.7,10.5,27.4,96.8,43.5,33.5,,23.4,8.4,,22.7,,8.1,9.6,16.4,15.4,23.8
24,78721,3.7,,14.7,18.0,5.9,4.6,7.0,7.9,13.7,17.7,12.5,3.3,,4.5,8.3,32.8,25.6,**,8.7,12.1,5.4,5.9,3.7,,4.0,5.9,13.3,21.3,28.9,18.8,,10.0,2.7,,14.2,,3.5,11.7,10.0,7.2,4.1
25,78722,3.8,,18.2,13.7,7.1,6.5,5.0,7.7,17.1,15.3,13.2,4.7,,3.8,16.2,90.1,20.8,**,17.8,14.3,8.7,4.2,3.8,,5.3,6.3,15.2,11.7,34.2,13.3,,15.7,3.8,,15.6,,4.0,23.2,14.9,6.9,3.6
26,78723,2.4,,12.6,5.6,4.9,5.0,3.7,4.8,7.4,9.5,7.7,4.8,,2.7,7.0,23.8,8.6,**,6.3,12.2,3.9,2.9,2.3,,2.9,3.1,5.3,6.7,11.7,8.3,,8.9,2.0,,7.4,,2.4,7.5,6.7,5.2,2.0
27,78724,4.4,,10.7,8.6,10.6,8.4,7.9,8.8,9.2,22.0,17.5,9.8,,5.1,8.2,8.4,12.8,65.0,7.6,14.9,5.2,8.0,4.5,,6.2,6.2,8.5,15.0,13.5,12.1,,10.0,4.4,,16.5,,5.2,8.6,8.7,8.8,7.0
28,78725,5.9,,33.3,34.3,11.5,8.4,10.9,4.2,19.0,33.9,32.9,18.3,,8.2,18.8,**,35.0,**,8.8,19.0,6.9,12.0,8.0,,9.8,12.4,12.4,25.2,31.3,18.0,,24.5,8.1,,23.5,,8.1,11.9,10.6,20.5,4.9
