,Zip Code,Population 16 years and over,Population 16 years and over AGE,Population 16 years and over AGE 16 to 19 years,Population 16 years and over AGE 20 to 24 years,Population 16 years and over AGE 25 to 29 years,Population 16 years and over AGE 30 to 34 years,Population 16 years and over AGE 35 to 44 years,Population 16 years and over AGE 45 to 54 years,Population 16 years and over AGE 55 to 59 years,Population 16 years and over AGE 60 to 64 years,Population 16 years and over AGE 65 to 74 years,Population 16 years and over AGE 75 years and over,Population 16 years and over RACE AND HISPANIC OR LATINO ORIGIN,Population 16 years and over RACE AND HISPANIC OR LATINO ORIGIN White alone,Population 16 years and over RACE AND HISPANIC OR LATINO ORIGIN Black or African American alone,Population 16 years and over RACE AND HISPANIC OR LATINO ORIGIN American Indian and Alaska Native alone,Population 16 years and over RACE AND HISPANIC OR LATINO ORIGIN Asian alone,Population 16 years and over RACE AND HISPANIC OR LATINO ORIGIN Native Hawaiian and Other Pacific Islander alone,Population 16 years and over RACE AND HISPANIC OR LATINO ORIGIN Some other race alone,Population 16 years and over RACE AND HISPANIC OR LATINO ORIGIN Two or more races,Population 16 years and over RACE AND HISPANIC OR LATINO ORIGIN Hispanic or Latino origin (of any race),"Population 16 years and over RACE AND HISPANIC OR LATINO ORIGIN White alone, not Hispanic or Latino",Population 20 to 64 years,Population 20 to 64 years SEX,Population 20 to 64 years SEX Male,Population 20 to 64 years SEX Female,Population 20 to 64 years SEX Female With own children under 18 years,Population 20 to 64 years SEX Female With own children under 18 years With own children under 6 years only,Population 20 to 64 years SEX Female With own children under 18 years With own children under 6 years and 6 to 17  years,Population 20 to 64 years SEX Female With own children under 18 years With own children 6 to 17 years only,Population 20 to 64 years POVERTY STATUS IN THE PAST 12 MONTHS,Population 20 to 64 years POVERTY STATUS IN THE PAST 12 MONTHS Below poverty level,Population 20 to 64 years POVERTY STATUS IN THE PAST 12 MONTHS At or above the poverty level,Population 20 to 64 years DISABILITY STATUS,Population 20 to 64 years DISABILITY STATUS With any disability,EDUCATIONAL ATTAINMENT,EDUCATIONAL ATTAINMENT Population 25 to 64 years,EDUCATIONAL ATTAINMENT Population 25 to 64 years Less than high school graduate,EDUCATIONAL ATTAINMENT Population 25 to 64 years High school graduate (includes equivalency),EDUCATIONAL ATTAINMENT Population 25 to 64 years Some college or associate's degree,EDUCATIONAL ATTAINMENT Population 25 to 64 years Bachelor's degree or higher
0,78610,2.8,,12.1,10.1,5.6,5.3,4.5,5.0,8.9,8.4,9.0,5.4,,3.3,9.7,23.7,12.9,**,9.1,8.1,4.0,4.0,2.9,,3.6,4.0,7.1,17.2,11.4,7.7,,11.9,2.7,,12.0,,2.9,11.1,5.2,5.0,3.8
1,78612,5.1,,11.3,20.6,18.8,15.5,10.7,11.6,11.5,16.9,10.2,10.4,,5.3,21.7,14.9,18.4,**,8.7,18.9,7.9,6.3,5.3,,7.5,8.8,13.5,19.4,27.0,19.3,,13.0,5.3,,15.9,,5.2,12.7,10.0,9.6,8.3
2,78613,1.8,,5.6,5.9,4.5,3.2,3.2,3.0,5.2,8.4,5.1,3.7,,1.8,14.6,30.0,5.0,5.1,8.1,6.2,3.5,1.9,1.7,,2.2,2.6,3.8,13.5,8.8,3.6,,12.2,1.5,,8.3,,1.7,11.6,6.2,3.1,1.8
3,78615,10.7,,30.1,24.2,20.9,31.4,2.6,15.5,37.6,26.7,21.2,6.9,,10.3,**,45.1,**,**,59.5,20.8,10.2,8.2,9.5,,10.6,12.2,11.8,100.0,3.3,20.6,,18.5,9.0,,18.1,,9.9,18.5,16.7,15.5,15.5
4,78617,2.8,,9.5,9.3,9.9,10.0,5.8,9.2,8.5,13.9,15.2,15.6,,4.4,8.9,28.1,23.2,**,3.8,19.6,3.0,9.5,3.1,,3.4,6.4,7.1,27.7,11.8,9.1,,8.7,3.4,,12.9,,3.7,8.2,5.8,5.6,6.5
5,78620,3.2,,9.5,7.9,4.9,9.9,5.9,5.3,6.2,10.8,7.6,3.3,,3.2,6.8,87.2,16.0,80.1,25.1,17.1,10.3,3.3,3.1,,2.8,5.1,8.6,13.2,20.6,8.9,,18.2,2.9,,16.7,,3.1,15.9,11.0,5.4,3.4
6,78621,2.9,,15.5,7.9,8.4,9.3,4.3,7.0,10.0,10.7,8.4,6.3,,3.7,8.0,100.0,17.2,**,5.8,21.4,4.7,4.5,2.7,,3.6,4.7,6.3,12.4,9.8,10.1,,12.8,2.9,,12.5,,2.9,8.8,5.4,5.1,4.6
7,78634,3.0,,10.1,12.8,8.7,6.1,3.3,3.8,7.6,16.3,8.5,12.1,,3.5,8.2,20.2,18.4,48.9,9.1,9.5,4.0,4.1,3.2,,3.4,4.4,4.4,7.9,9.4,6.5,,13.6,2.7,,8.7,,2.4,12.4,5.6,4.5,2.7
8,78641,2.2,,7.0,7.4,7.0,3.0,3.2,2.8,6.2,7.2,5.1,7.1,,2.4,9.1,29.0,9.6,25.2,9.7,9.5,5.4,2.3,2.0,,2.0,3.0,4.0,7.2,9.2,6.0,,10.4,2.0,,7.4,,1.9,11.3,3.4,2.8,2.0
9,78645,4.3,,17.2,16.4,33.3,8.5,11.9,7.8,8.0,9.4,7.1,6.2,,4.1,21.0,51.5,25.6,100.0,26.3,22.5,11.5,4.6,4.3,,7.5,6.5,9.4,16.3,29.3,14.6,,22.9,3.8,,14.1,,4.5,11.0,12.4,5.3,8.5
10,78652,5.9,,27.9,3.0,14.5,16.3,7.2,20.4,7.1,21.7,13.8,14.5,,6.5,28.0,**,48.4,**,52.0,18.5,8.0,8.2,5.6,,3.8,10.0,16.3,12.2,41.7,23.9,,12.7,5.7,,12.8,,5.7,25.6,6.3,12.5,6.4
11,78653,3.7,,16.7,13.6,5.2,5.5,4.7,5.8,20.7,15.1,9.1,6.5,,4.8,6.7,22.5,10.9,**,7.1,10.7,5.9,4.8,4.1,,4.3,5.1,6.6,11.4,14.3,8.6,,8.0,2.9,,18.1,,4.2,17.3,5.6,4.5,2.6
12,78654,3.4,,16.0,14.8,11.5,11.2,6.2,11.6,9.0,10.9,7.7,4.0,,3.6,14.9,24.7,23.9,87.2,11.9,19.5,8.0,3.9,3.5,,5.0,5.3,7.5,29.3,37.2,8.4,,21.0,3.6,,15.1,,4.0,11.1,9.1,5.9,8.9
13,78660,1.6,,6.9,6.1,6.9,4.7,2.3,2.4,5.0,7.7,6.6,1.9,,2.2,4.4,14.2,5.0,6.8,5.2,5.4,2.5,3.0,1.7,,1.7,2.9,4.1,8.6,9.3,5.0,,10.2,1.7,,7.7,,1.7,6.3,5.7,2.6,2.3
14,78663,12.9,,48.9,84.6,58.3,100.0,48.4,8.7,13.3,32.1,18.3,55.9,,13.0,**,**,**,50.9,66.7,**,47.6,13.5,10.3,,2.1,20.3,31.7,**,100.0,53.8,,27.2,10.2,,12.0,,10.9,45.8,19.4,7.1,31.4
15,78664,1.9,,6.7,6.7,5.4,4.5,3.0,2.7,6.3,9.7,7.7,3.4,,2.2,5.8,100.0,7.1,**,8.0,7.5,3.2,2.6,1.8,,2.1,2.7,4.8,11.5,15.4,4.7,,8.4,1.7,,9.4,,1.9,7.1,4.5,2.6,2.4
16,78669,3.3,,10.7,8.5,30.7,7.8,7.5,5.5,15.1,8.7,7.5,1.0,,3.8,23.0,100.0,12.5,**,58.2,17.7,9.5,3.9,3.5,,5.6,5.3,8.4,13.8,20.4,11.4,,12.5,3.4,,20.2,,3.6,36.0,10.9,8.0,3.0
17,78701,4.0,,21.2,11.8,4.3,3.8,8.7,15.0,17.3,15.5,14.5,18.5,,3.9,24.1,100.0,15.1,**,13.9,7.1,11.6,3.4,3.9,,5.6,5.2,33.5,40.0,**,65.9,,13.5,3.0,,19.7,,4.2,10.3,22.5,7.9,4.2
18,78702,2.9,,14.1,10.4,3.9,3.3,6.2,6.4,15.8,14.6,7.0,2.9,,2.7,10.2,25.1,8.1,100.0,11.6,13.3,4.8,2.6,2.4,,2.7,4.3,8.4,16.7,17.1,13.0,,7.5,1.8,,10.4,,2.5,9.2,11.3,5.3,2.7
19,78703,3.0,,15.0,9.7,6.1,6.5,5.3,4.7,8.4,7.6,8.0,8.0,,3.2,20.2,60.4,7.4,**,23.8,17.9,7.5,3.4,2.8,,3.3,4.1,9.3,14.0,17.8,12.7,,16.7,2.5,,14.6,,2.9,40.4,21.9,7.3,2.9
20,78704,1.5,,9.6,4.1,2.1,1.8,2.9,3.7,6.3,9.7,7.3,4.7,,1.5,10.3,21.3,6.5,57.4,13.1,8.4,3.1,1.5,1.2,,1.3,2.3,5.3,9.3,15.6,7.2,,8.1,1.1,,11.5,,1.3,9.3,6.7,3.6,1.4
21,78705,2.3,,3.3,3.8,6.2,7.3,9.6,14.0,13.5,12.8,20.1,12.6,,2.6,5.6,39.2,6.4,82.3,11.5,10.8,4.6,3.1,3.3,,4.1,5.1,21.1,33.3,62.7,17.6,,5.2,3.4,,12.5,,4.5,28.1,11.9,11.7,5.0
22,78712,12.2,,10.6,17.8,84.6,100.0,**,**,**,**,**,**,,8.6,14.4,**,67.0,**,84.6,36.3,14.8,10.9,11.5,,7.3,22.0,**,**,**,**,,**,**,,**,,65.4,**,**,**,65.4
23,78719,7.0,,29.6,30.7,10.8,26.0,17.2,13.8,15.6,24.2,18.3,39.0,,11.2,28.1,100.0,**,**,9.7,36.8,7.3,12.3,7.3,,10.7,10.5,27.4,96.8,43.5,33.5,,18.7,8.4,,22.7,,7.9,9.6,16.3,15.4,23.8
24,78721,3.4,,18.5,18.0,4.7,2.1,6.4,7.9,13.5,17.7,12.5,3.3,,4.4,7.5,32.8,25.6,**,9.1,9.6,5.8,5.7,3.4,,3.5,5.5,13.1,21.3,28.9,18.7,,13.1,2.5,,14.2,,3.0,10.0,9.6,5.2,3.5
25,78722,3.5,,23.6,10.2,5.8,3.5,3.5,7.7,17.1,15.3,13.0,4.7,,3.3,17.0,90.1,20.8,**,17.8,18.3,8.5,3.8,3.3,,3.8,5.8,15.1,9.0,34.2,13.3,,14.6,3.4,,15.6,,3.5,23.2,15.9,6.6,2.4
26,78723,2.4,,13.0,4.7,4.4,5.1,3.4,4.2,7.4,9.4,7.5,4.8,,2.6,6.7,23.8,8.2,**,6.1,12.3,3.7,2.8,2.2,,2.7,3.0,5.1,6.2,11.8,7.9,,9.0,1.9,,7.2,,2.3,7.8,6.7,4.6,1.7
27,78724,4.0,,12.1,8.5,9.6,6.1,6.7,9.0,8.0,22.0,17.5,9.8,,4.9,8.4,8.2,11.6,65.0,5.7,10.4,4.3,8.0,3.9,,5.6,5.0,6.5,7.7,17.3,9.7,,9.1,3.5,,13.6,,4.6,8.2,8.1,6.8,4.9
28,78725,6.0,,33.3,34.3,10.0,7.7,11.0,4.2,19.0,33.9,32.9,18.3,,8.4,18.8,**,35.0,**,8.8,19.0,7.0,12.4,8.0,,9.9,12.4,12.4,25.2,31.3,18.0,,23.5,8.1,,23.7,,8.2,11.9,10.6,21.5,4.9
29,78726,4.3,,10.7,8.9,10.2,8.9,10.7,5.3,20.6,31.8,18.5,33.0,,5.7,21.9,53.2,8.5,**,37.0,8.2,16.3,6.1,4.7,,5.2,6.0,9.8,17.5,21.0,11.8,,21.9,3.7,,38.5,,5.1,57.6,47.5,9.4,4.8
30,78727,2.2,,13.9,10.7,4.2,4.2,3.9,6.4,5.7,10.6,7.0,6.0,,2.6,8.2,17.1,6.0,**,7.9,9.3,7.2,2.8,2.5,,3.6,3.3,7.6,11.8,19.9,7.7,,12.9,2.5,,13.4,,2.4,19.5,6.5,3.4,2.7
31,78728,2.7,,14.1,7.6,2.9,3.9,5.0,8.8,4.5,9.4,7.6,8.6,,3.5,7.6,46.6,12.0,**,17.9,15.9,7.0,4.1,2.5,,2.7,5.3,8.4,9.5,17.6,13.1,,14.9,2.4,,11.2,,2.5,29.9,8.2,5.2,2.4
32,78729,3.4,,13.9,7.0,3.3,4.8,8.6,5.9,7.6,10.7,10.5,1.4,,3.9,12.1,20.4,13.4,**,14.9,8.4,5.2,4.7,3.0,,3.1,4.4,5.6,10.3,17.5,7.5,,17.3,2.8,,22.8,,3.3,12.0,10.0,5.0,3.3
33,78730,5.3,,13.3,35.4,7.7,4.7,8.5,8.3,13.7,17.5,14.2,16.0,,5.8,30.7,25.2,11.0,26.8,34.4,16.8,7.1,6.4,4.5,,2.0,8.8,14.3,26.7,32.8,16.4,,33.1,4.2,,16.1,,4.5,28.4,16.2,12.4,4.3
34,78731,3.0,,10.9,11.3,7.8,10.9,4.9,4.9,6.6,10.8,7.5,4.1,,3.3,14.4,47.9,8.4,**,14.2,11.2,7.9,3.5,3.4,,5.4,3.8,5.1,10.6,10.8,6.8,,11.5,2.6,,14.7,,3.5,26.8,10.6,11.7,2.7
35,78732,4.5,,13.8,37.0,21.4,13.8,6.6,7.1,11.6,12.0,14.6,6.6,,4.6,13.1,**,10.9,**,100.0,9.6,7.9,5.2,3.8,,2.6,8.5,10.1,22.4,20.1,11.0,,37.3,3.5,,34.2,,4.1,23.0,16.1,11.1,4.5
