,Zip Code,Population 16 years and over,Population 16 years and over AGE,Population 16 years and over AGE 16 to 19 years,Population 16 years and over AGE 20 to 24 years,Population 16 years and over AGE 25 to 29 years,Population 16 years and over AGE 30 to 34 years,Population 16 years and over AGE 35 to 44 years,Population 16 years and over AGE 45 to 54 years,Population 16 years and over AGE 55 to 59 years,Population 16 years and over AGE 60 to 64 years,Population 16 years and over AGE 65 to 74 years,Population 16 years and over AGE 75 years and over,Population 16 years and over RACE AND HISPANIC OR LATINO ORIGIN,Population 16 years and over RACE AND HISPANIC OR LATINO ORIGIN White alone,Population 16 years and over RACE AND HISPANIC OR LATINO ORIGIN Black or African American alone,Population 16 years and over RACE AND HISPANIC OR LATINO ORIGIN American Indian and Alaska Native alone,Population 16 years and over RACE AND HISPANIC OR LATINO ORIGIN Asian alone,Population 16 years and over RACE AND HISPANIC OR LATINO ORIGIN Native Hawaiian and Other Pacific Islander alone,Population 16 years and over RACE AND HISPANIC OR LATINO ORIGIN Some other race alone,Population 16 years and over RACE AND HISPANIC OR LATINO ORIGIN Two or more races,Population 16 years and over RACE AND HISPANIC OR LATINO ORIGIN Hispanic or Latino origin (of any race),"Population 16 years and over RACE AND HISPANIC OR LATINO ORIGIN White alone, not Hispanic or Latino",Population 20 to 64 years,Population 20 to 64 years SEX,Population 20 to 64 years SEX Male,Population 20 to 64 years SEX Female,Population 20 to 64 years SEX Female With own children under 18 years,Population 20 to 64 years SEX Female With own children under 18 years With own children under 6 years only,Population 20 to 64 years SEX Female With own children under 18 years With own children under 6 years and 6 to 17  years,Population 20 to 64 years SEX Female With own children under 18 years With own children 6 to 17 years only,Population 20 to 64 years POVERTY STATUS IN THE PAST 12 MONTHS,Population 20 to 64 years POVERTY STATUS IN THE PAST 12 MONTHS Below poverty level,Population 20 to 64 years POVERTY STATUS IN THE PAST 12 MONTHS At or above the poverty level,Population 20 to 64 years DISABILITY STATUS,Population 20 to 64 years DISABILITY STATUS With any disability,EDUCATIONAL ATTAINMENT,EDUCATIONAL ATTAINMENT Population 25 to 64 years,EDUCATIONAL ATTAINMENT Population 25 to 64 years Less than high school graduate,EDUCATIONAL ATTAINMENT Population 25 to 64 years High school graduate (includes equivalency),EDUCATIONAL ATTAINMENT Population 25 to 64 years Some college or associate's degree,EDUCATIONAL ATTAINMENT Population 25 to 64 years Bachelor's degree or higher
0,78610,"29,692",,"1,878","2,417","2,047","3,803","6,614","5,051","2,382","2,080","2,385","1,035",,"24,765","1,277",118,359,0,"1,148","2,025","11,389","15,814","24,394",,"11,662","12,732","4,896","1,237",961,"2,698",,"1,507","22,887",,"1,937",,"21,977","1,824","5,506","5,720","8,927"
1,78612,"11,166",,"1,201",736,805,"1,010","2,151","1,613",990,999,"1,250",411,,"5,928",941,46,220,0,"2,558","1,473","5,336","4,682","8,304",,"3,975","4,329","1,983",427,356,"1,200",,"1,026","7,278",,986,,"7,568","1,748","1,984","2,341","1,495"
2,78613,"63,739",,"4,537","3,969","5,596","6,893","14,657","12,014","4,657","3,456","4,877","3,083",,"50,807","1,964",205,"5,651",185,"1,586","3,341","12,414","41,830","51,242",,"25,186","26,056","11,840","2,393","1,963","7,484",,"2,351","48,862",,"4,274",,"47,273","1,517","6,921","14,632","24,203"
3,78615,903,,73,55,97,114,110,128,68,70,103,85,,730,0,60,0,0,37,76,340,557,642,,348,294,162,11,72,79,,25,617,,100,,587,73,156,252,106
4,78617,"21,769",,"2,147","2,490","2,433","2,046","4,889","4,050","1,224","1,220","1,005",265,,"8,776","1,739",90,302,0,"9,633","1,229","15,384","4,180","18,352",,"10,270","8,082","3,551",545,864,"2,142",,"1,812","14,223",,"1,238",,"15,862","4,598","5,655","3,640","1,969"
5,78620,"14,543",,"1,112","1,097",499,553,"2,810","2,775","2,065","1,258","1,763",611,,"13,547",124,16,192,19,146,499,"2,185","11,698","11,057",,"5,681","5,376","2,250",435,375,"1,440",,611,"10,438",,502,,"9,960",709,"1,461","2,533","5,257"
6,78621,"18,644",,869,"1,368","1,454","1,488","3,736","2,890","1,601","1,804","2,400","1,034",,"11,703","2,668",7,122,0,"3,479",665,"6,870","8,689","14,341",,"6,883","7,458","2,828",431,683,"1,714",,"1,152","13,182",,"1,702",,"12,973","2,532","4,117","3,965","2,359"
7,78634,"28,730",,"1,853","2,086","2,841","2,677","7,960","5,804","1,565","1,705","1,585",654,,"21,214","3,591",197,499,51,"1,111","2,067","8,358","15,840","24,638",,"11,807","12,831","4,471","1,036",798,"2,637",,"2,218","22,420",,"2,595",,"22,552","1,266","6,582","7,232","7,472"
8,78641,"58,104",,"3,593","3,890","3,585","6,864","12,854","10,789","5,160","4,003","5,019","2,347",,"47,022","3,630",107,"2,869",29,"2,056","2,391","12,916","37,228","47,145",,"23,509","23,636","10,597","2,870","1,973","5,754",,"1,875","45,270",,"3,765",,"43,255","2,857","7,422","15,271","17,705"
9,78645,"9,982",,329,258,392,783,"1,235","1,760",969,"1,378","1,751","1,127",,"9,395",299,46,70,9,54,109,"1,202","8,277","6,775",,"3,325","3,450","1,070",237,174,659,,520,"6,255",,570,,"6,517",300,"1,369","2,333","2,515"
