,Zip Code,Population 16 years and over,Population 16 years and over AGE,Population 16 years and over AGE 16 to 19 years,Population 16 years and over AGE 20 to 24 years,Population 16 years and over AGE 25 to 29 years,Population 16 years and over AGE 30 to 34 years,Population 16 years and over AGE 35 to 44 years,Population 16 years and over AGE 45 to 54 years,Population 16 years and over AGE 55 to 59 years,Population 16 years and over AGE 60 to 64 years,Population 16 years and over AGE 65 to 74 years,Population 16 years and over AGE 75 years and over,Population 16 years and over RACE AND HISPANIC OR LATINO ORIGIN,Population 16 years and over RACE AND HISPANIC OR LATINO ORIGIN White alone,Population 16 years and over RACE AND HISPANIC OR LATINO ORIGIN Black or African American alone,Population 16 years and over RACE AND HISPANIC OR LATINO ORIGIN American Indian and Alaska Native alone,Population 16 years and over RACE AND HISPANIC OR LATINO ORIGIN Asian alone,Population 16 years and over RACE AND HISPANIC OR LATINO ORIGIN Native Hawaiian and Other Pacific Islander alone,Population 16 years and over RACE AND HISPANIC OR LATINO ORIGIN Some other race alone,Population 16 years and over RACE AND HISPANIC OR LATINO ORIGIN Two or more races,Population 16 years and over RACE AND HISPANIC OR LATINO ORIGIN Hispanic or Latino origin (of any race),"Population 16 years and over RACE AND HISPANIC OR LATINO ORIGIN White alone, not Hispanic or Latino",Population 20 to 64 years,Population 20 to 64 years SEX,Population 20 to 64 years SEX Male,Population 20 to 64 years SEX Female,Population 20 to 64 years SEX Female With own children under 18 years,Population 20 to 64 years SEX Female With own children under 18 years With own children under 6 years only,Population 20 to 64 years SEX Female With own children under 18 years With own children under 6 years and 6 to 17  years,Population 20 to 64 years SEX Female With own children under 18 years With own children 6 to 17 years only,Population 20 to 64 years POVERTY STATUS IN THE PAST 12 MONTHS,Population 20 to 64 years POVERTY STATUS IN THE PAST 12 MONTHS Below poverty level,Population 20 to 64 years POVERTY STATUS IN THE PAST 12 MONTHS At or above the poverty level,Population 20 to 64 years DISABILITY STATUS,Population 20 to 64 years DISABILITY STATUS With any disability,EDUCATIONAL ATTAINMENT,EDUCATIONAL ATTAINMENT Population 25 to 64 years,EDUCATIONAL ATTAINMENT Population 25 to 64 years Less than high school graduate,EDUCATIONAL ATTAINMENT Population 25 to 64 years High school graduate (includes equivalency),EDUCATIONAL ATTAINMENT Population 25 to 64 years Some college or associate's degree,EDUCATIONAL ATTAINMENT Population 25 to 64 years Bachelor's degree or higher
0,78610,"1,596",,474,572,518,595,842,597,399,547,405,292,,"1,400",361,154,179,30,383,863,"1,328","1,114","1,304",,871,872,480,370,240,491,,494,"1,227",,503,,"1,176",463,800,801,"1,070"
1,78612,"1,265",,364,276,308,369,580,355,340,339,446,175,,866,467,81,198,22,780,857,"1,103",710,"1,040",,583,585,498,280,222,377,,380,"1,075",,362,,975,533,483,573,482
2,78613,"1,585",,641,873,846,729,"1,031",951,544,541,502,501,,"1,910",628,160,755,210,695,703,"1,208","1,879","1,666",,"1,054","1,129",684,473,340,699,,623,"1,877",,778,,"1,334",450,783,"1,337","1,181"
3,78615,279,,100,60,78,130,58,55,63,36,47,51,,213,14,96,14,14,42,115,239,134,253,,156,108,76,11,69,39,,27,248,,51,,227,75,90,121,52
4,78617,"1,940",,408,684,863,534,821,707,328,479,306,124,,"1,469",337,46,271,26,"1,808",800,"1,853","1,006","1,682",,"1,148",735,544,416,218,427,,487,"1,619",,422,,"1,313",863,"1,027",631,567
5,78620,"1,112",,251,410,199,172,475,468,367,225,269,162,,"1,079",141,26,122,38,132,291,601,"1,007",989,,609,514,363,151,136,312,,275,978,,152,,816,214,319,418,615
6,78621,"1,250",,251,389,390,426,584,407,361,402,435,240,,"1,178",497,12,94,26,"1,063",294,"1,035",869,"1,041",,642,637,495,113,193,451,,365,"1,095",,412,,969,584,717,529,461
7,78634,"1,558",,439,853,641,543,"1,060",807,350,431,513,279,,"1,266",924,161,280,75,450,948,"1,236","1,106","1,336",,741,967,521,232,207,451,,819,"1,208",,598,,"1,161",406,908,750,"1,105"
8,78641,"1,588",,442,706,802,809,995,"1,058",819,565,580,413,,"1,900",984,67,609,39,582,701,"1,542","1,804","1,548",,965,972,679,508,375,680,,474,"1,574",,537,,"1,487",718,716,"1,187","1,386"
9,78645,525,,130,119,224,298,233,289,232,385,314,383,,479,173,53,59,17,47,69,389,544,459,,279,324,205,125,99,147,,248,558,,230,,463,218,273,456,448
10,78652,783,,93,97,132,179,350,307,252,184,242,201,,704,132,20,49,20,48,337,501,584,670,,405,352,187,67,83,158,,137,623,,138,,653,324,416,235,300
11,78653,"2,164",,545,411,565,846,"1,032",808,611,458,261,133,,"1,639",980,94,246,26,915,905,"1,970",775,"2,059",,"1,081","1,207",535,233,529,334,,"1,033","1,880",,371,,"1,910",791,673,"1,197",835
