,Zip Code,Population 16 years and over,Population 16 years and over AGE,Population 16 years and over AGE 16 to 19 years,Population 16 years and over AGE 20 to 24 years,Population 16 years and over AGE 25 to 29 years,Population 16 years and over AGE 30 to 34 years,Population 16 years and over AGE 35 to 44 years,Population 16 years and over AGE 45 to 54 years,Population 16 years and over AGE 55 to 59 years,Population 16 years and over AGE 60 to 64 years,Population 16 years and over AGE 65 to 74 years,Population 16 years and over AGE 75 years and over,Population 16 years and over RACE AND HISPANIC OR LATINO ORIGIN,Population 16 years and over RACE AND HISPANIC OR LATINO ORIGIN White alone,Population 16 years and over RACE AND HISPANIC OR LATINO ORIGIN Black or African American alone,Population 16 years and over RACE AND HISPANIC OR LATINO ORIGIN American Indian and Alaska Native alone,Population 16 years and over RACE AND HISPANIC OR LATINO ORIGIN Asian alone,Population 16 years and over RACE AND HISPANIC OR LATINO ORIGIN Native Hawaiian and Other Pacific Islander alone,Population 16 years and over RACE AND HISPANIC OR LATINO ORIGIN Some other race alone,Population 16 years and over RACE AND HISPANIC OR LATINO ORIGIN Two or more races,Population 16 years and over RACE AND HISPANIC OR LATINO ORIGIN Hispanic or Latino origin (of any race),"Population 16 years and over RACE AND HISPANIC OR LATINO ORIGIN White alone, not Hispanic or Latino",Population 20 to 64 years,Population 20 to 64 years SEX,Population 20 to 64 years SEX Male,Population 20 to 64 years SEX Female,Population 20 to 64 years SEX Female With own children under 18 years,Population 20 to 64 years SEX Female With own children under 18 years With own children under 6 years only,Population 20 to 64 years SEX Female With own children under 18 years With own children under 6 years and 6 to 17  years,Population 20 to 64 years SEX Female With own children under 18 years With own children 6 to 17 years only,Population 20 to 64 years POVERTY STATUS IN THE PAST 12 MONTHS,Population 20 to 64 years POVERTY STATUS IN THE PAST 12 MONTHS Below poverty level,Population 20 to 64 years POVERTY STATUS IN THE PAST 12 MONTHS At or above the poverty level,Population 20 to 64 years DISABILITY STATUS,Population 20 to 64 years DISABILITY STATUS With any disability,EDUCATIONAL ATTAINMENT,EDUCATIONAL ATTAINMENT Population 25 to 64 years,EDUCATIONAL ATTAINMENT Population 25 to 64 years Less than high school graduate,EDUCATIONAL ATTAINMENT Population 25 to 64 years High school graduate (includes equivalency),EDUCATIONAL ATTAINMENT Population 25 to 64 years Some college or associate's degree,EDUCATIONAL ATTAINMENT Population 25 to 64 years Bachelor's degree or higher
0,78610,1.4,,17.5,6.1,4.9,1.5,3.8,0.8,1.1,6.0,3.0,56.6,,1.2,3.3,6.6,12.9,**,2.2,11.8,2.6,1.4,1.3,,1.5,2.4,0.9,2.9,3.4,0.2,,23.2,0.7,,6.3,,1.3,14.1,2.3,0.5,0.9
1,78612,3.2,,32.3,7.9,9.7,18.9,2.8,5.4,5.5,11.9,13.5,**,,2.6,9.6,74.4,9.4,**,5.4,6.6,3.5,2.6,3.2,,2.5,6.7,4.6,14.2,27.7,8.3,,8.4,3.6,,13.6,,3.5,5.3,4.2,2.8,11.7
2,78613,1.3,,5.7,11.4,6.0,1.2,2.0,0.7,2.6,1.2,3.1,18.1,,1.3,9.8,26.9,5.0,26.9,15.8,7.1,2.9,1.6,1.4,,0.9,2.6,1.3,1.9,1.1,1.8,,11.2,1.4,,4.3,,1.1,0.9,4.6,2.1,1.4
3,78615,5.4,,15.2,51.5,14.5,31.4,32.7,35.3,33.5,59.0,63.7,100.0,,6.7,**,45.1,**,**,72.8,41.1,13.6,12.0,6.0,,10.6,4.1,26.5,100.0,41.4,44.7,,100.0,6.0,,41.7,,6.5,43.6,30.9,5.0,33.4
4,78617,3.0,,13.0,6.9,16.2,2.1,1.8,0.8,4.1,9.4,9.0,**,,6.3,0.7,90.1,9.8,**,2.9,2.7,1.9,12.9,3.2,,1.4,6.7,12.5,52.6,6.4,2.7,,11.9,3.0,,2.6,,3.4,3.3,8.1,2.7,2.5
5,78620,1.3,,12.8,2.0,3.2,2.3,2.1,2.6,0.9,3.4,6.1,67.2,,1.4,30.1,**,30.7,80.1,36.9,4.4,5.5,1.2,1.1,,1.6,1.1,2.3,12.1,22.4,3.5,,16.4,1.0,,15.4,,1.2,16.4,1.2,2.1,0.9
6,78621,3.4,,14.5,14.9,3.4,20.2,1.9,3.2,8.2,6.2,6.1,37.4,,1.7,16.5,100.0,17.5,**,3.7,26.6,2.5,2.1,3.6,,5.7,2.2,3.4,12.1,5.9,5.5,,20.3,3.1,,23.9,,3.3,5.2,3.0,3.3,11.9
7,78634,1.9,,8.8,4.0,3.4,6.4,3.4,5.5,7.5,1.7,6.7,40.3,,1.9,7.3,27.9,34.5,48.9,6.4,1.4,3.1,2.1,1.9,,2.9,2.6,1.8,4.9,7.5,1.6,,13.4,1.7,,8.6,,2.0,17.0,3.9,4.9,1.3
8,78641,1.7,,8.0,11.4,9.9,2.1,1.8,1.1,0.3,1.7,5.2,14.9,,1.2,1.3,39.5,3.3,100.0,24.4,9.2,4.4,1.4,1.7,,1.7,2.3,1.5,5.2,1.5,1.2,,10.0,1.7,,4.5,,1.4,16.5,0.8,1.5,1.1
9,78645,2.2,,12.1,18.2,31.4,3.2,1.5,4.3,5.4,0.4,2.5,31.2,,2.4,17.9,**,82.3,**,96.8,43.6,10.9,2.2,2.4,,2.2,4.6,10.0,19.9,33.3,16.1,,17.4,2.4,,22.2,,2.5,24.5,7.1,3.0,2.4
10,78652,2.3,,**,19.0,9.8,10.8,4.1,3.0,8.9,18.0,19.4,50.9,,2.7,32.7,**,48.4,**,52.0,19.7,2.0,3.5,2.5,,1.5,4.7,7.1,33.5,47.9,12.7,,28.1,2.3,,22.2,,2.2,19.5,6.4,4.0,4.7
11,78653,1.9,,12.1,21.9,4.6,5.8,2.8,2.4,4.6,4.1,15.9,63.3,,1.5,6.4,46.6,9.0,**,1.7,3.7,1.1,1.7,1.9,,2.4,2.9,4.7,7.7,5.7,9.4,,21.2,1.7,,12.2,,1.8,1.4,6.1,2.5,1.9
12,78654,1.9,,8.1,7.5,13.6,6.8,3.6,6.8,4.8,5.4,4.2,15.8,,1.7,1.7,93.3,40.6,87.2,8.4,13.1,2.0,2.1,2.0,,3.2,2.4,5.0,30.7,50.4,5.6,,14.4,2.1,,4.9,,2.2,7.5,5.2,3.6,3.6
13,78660,1.1,,4.2,7.7,3.6,1.8,0.9,1.8,3.3,5.3,5.9,52.6,,1.8,1.7,11.7,1.7,59.0,1.2,2.7,1.4,2.4,1.2,,0.9,2.4,2.2,1.4,2.3,3.1,,13.1,1.2,,9.6,,1.0,2.4,2.1,2.6,0.7
14,78663,12.9,,**,30.3,100.0,39.8,48.4,40.1,4.9,38.4,50.4,**,,6.2,**,**,**,50.9,100.0,**,96.8,6.4,14.4,,22.6,11.6,53.8,**,**,53.8,,43.2,15.4,,41.3,,15.4,100.0,10.7,23.7,44.0
15,78664,1.2,,10.5,6.2,3.0,1.2,2.8,1.9,1.8,5.5,2.6,38.3,,1.5,1.7,**,2.1,**,3.8,4.5,3.3,1.3,1.2,,1.8,1.4,2.4,7.3,5.1,2.7,,11.8,0.9,,3.2,,0.9,6.2,2.1,2.0,0.9
