"Label (Grouping)","Total:","Total:!!White alone","Total:!!Black or African American alone","Total:!!American Indian and Alaska Native alone","Total:!!Asian alone","Total:!!Native Hawaiian and Other Pacific Islander alone","Total:!!Some other race alone","Total:!!Two or more races:","Total:!!Two or more races:!!Two races including Some other race","Total:!!Two or more races:!!Two races excluding Some other race, and three or more races"
"ZCTA5 78610","","","","","","","","","",""
"    Estimate","39,498","32,618","1,810","176","524","0","1,367","3,003","1,907","1,096"
"    Margin of Error","±1,996","±1,514","±594","±233","±315","±30","±449","±1,345","±1,183","±492"
"ZCTA5 78612","","","","","","","","","",""
"    Estimate","16,234","7,646","1,272","46","220","0","4,701","2,349","2,190","159"
"    Margin of Error","±2,025","±1,146","±622","±81","±198","±22","±1,414","±1,215","±1,207","±116"
"ZCTA5 78613","","","","","","","","","",""
"    Estimate","83,876","66,120","2,296","264","7,767","189","1,984","5,256","1,807","3,449"
"    Margin of Error","±1,563","±2,419","±752","±206","±1,091","±211","±848","±1,106","±819","±957"
"ZCTA5 78615","","","","","","","","","",""
"    Estimate","1,363","1,018","0","105","0","0","37","203","197","6"
"    Margin of Error","±490","±340","±14","±167","±14","±14","±42","±315","±316","±7"
"ZCTA5 78617","","","","","","","","","",""
"    Estimate","28,376","11,650","1,965","90","321","0","12,826","1,524","1,248","276"
"    Margin of Error","±2,213","±1,868","±316","±46","±284","±26","±2,125","±921","±891","±142"
"ZCTA5 78620","","","","","","","","","",""
"    Estimate","18,420","17,214","124","16","239","55","187","585","222","363"
"    Margin of Error","±1,467","±1,418","±141","±26","±149","±96","±198","±318","±235","±212"
"ZCTA5 78621","","","","","","","","","",""
"    Estimate","24,590","14,386","3,712","7","122","0","4,818","1,545","1,105","440"
"    Margin of Error","±1,743","±1,507","±642","±12","±94","±26","±1,468","±798","±733","±252"
"ZCTA5 78634","","","","","","","","","",""
"    Estimate","37,298","27,109","4,605","228","553","51","1,550","3,202","1,649","1,553"
"    Margin of Error","±1,427","±1,535","±1,048","±182","±317","±75","±663","±1,127","±943","±532"
"ZCTA5 78641","","","","","","","","","",""
"    Estimate","78,568","61,815","5,224","110","3,507","46","2,704","5,162","1,527","3,635"
"    Margin of Error","±1,938","±2,221","±1,410","±68","±691","±68","±742","±1,266","±595","±1,087"
"ZCTA5 78645","","","","","","","","","",""
"    Estimate","11,873","11,174","326","46","70","9","54","194","41","153"
"    Margin of Error","±640","±621","±182","±53","±59","±17","±47","±81","±46","±69"
"ZCTA5 78652","","","","","","","","","",""
"    Estimate","5,763","4,938","237","0","69","0","73","446","427","19"
"    Margin of Error","±957","±896","±137","±20","±69","±20","±80","±352","±357","±25"
"ZCTA5 78653","","","","","","","","","",""
"    Estimate","29,622","15,001","6,265","127","616","0","5,618","1,995","1,122","873"
"    Margin of Error","±2,992","±3,003","±1,308","±168","±327","±26","±1,399","±1,038","±896","±503"
"ZCTA5 78654","","","","","","","","","",""
"    Estimate","18,524","16,165","267","96","126","16","1,298","556","362","194"
