"Label (Grouping)","Total population","Total population!!AGE","Total population!!AGE!!Under 5 years","Total population!!AGE!!5 to 9 years","Total population!!AGE!!10 to 14 years","Total population!!AGE!!15 to 19 years","Total population!!AGE!!20 to 24 years","Total population!!AGE!!25 to 29 years","Total population!!AGE!!30 to 34 years","Total population!!AGE!!35 to 39 years","Total population!!AGE!!40 to 44 years","Total population!!AGE!!45 to 49 years","Total population!!AGE!!50 to 54 years","Total population!!AGE!!55 to 59 years","Total population!!AGE!!60 to 64 years","Total population!!AGE!!65 to 69 years","Total population!!AGE!!70 to 74 years","Total population!!AGE!!75 to 79 years","Total population!!AGE!!80 to 84 years","Total population!!AGE!!85 years and over","Total population!!SELECTED AGE CATEGORIES","Total population!!SELECTED AGE CATEGORIES!!5 to 14 years","Total population!!SELECTED AGE CATEGORIES!!15 to 17 years","Total population!!SELECTED AGE CATEGORIES!!Under 18 years","Total population!!SELECTED AGE CATEGORIES!!18 to 24 years","Total population!!SELECTED AGE CATEGORIES!!15 to 44 years","Total population!!SELECTED AGE CATEGORIES!!16 years and over","Total population!!SELECTED AGE CATEGORIES!!18 years and over","Total population!!SELECTED AGE CATEGORIES!!21 years and over","Total population!!SELECTED AGE CATEGORIES!!60 years and over","Total population!!SELECTED AGE CATEGORIES!!62 years and over","Total population!!SELECTED AGE CATEGORIES!!65 years and over","Total population!!SELECTED AGE CATEGORIES!!75 years and over","Total population!!SUMMARY INDICATORS","Total population!!SUMMARY INDICATORS!!Median age (years)","Total population!!SUMMARY INDICATORS!!Sex ratio (males per 100 females)","Total population!!SUMMARY INDICATORS!!Age dependency ratio","Total population!!SUMMARY INDICATORS!!Old-age dependency ratio","Total population!!SUMMARY INDICATORS!!Child dependency ratio","Total population!!PERCENT ALLOCATED","Total population!!PERCENT ALLOCATED!!Sex","Total population!!PERCENT ALLOCATED!!Age"
"ZCTA5 78610","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","39,498","","2,905","3,938","2,607","2,234","2,417","2,047","3,803","3,622","2,992","2,444","2,607","2,382","2,080","1,547","838","471","355","209","","6,545","1,486","10,936","3,165","17,115","29,692","28,562","27,595","5,500","4,634","3,420","1,035","","34.8","97.2","57.1","13.6","43.5","","(X)","(X)"
"        Margin of Error","±1,996","","±493","±985","±554","±517","±572","±518","±595","±622","±691","±454","±397","±399","±547","±337","±242","±166","±185","±113","","±1,154","±352","±1,106","±702","±1,281","±1,596","±1,497","±1,405","±727","±620","±505","±292","","±0.8","±8.0","±5.3","±2.1","±4.6","","(X)","(X)"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","","7.4%","10.0%","6.6%","5.7%","6.1%","5.2%","9.6%","9.2%","7.6%","6.2%","6.6%","6.0%","5.3%","3.9%","2.1%","1.2%","0.9%","0.5%","","16.6%","3.8%","27.7%","8.0%","43.3%","75.2%","72.3%","69.9%","13.9%","11.7%","8.7%","2.6%","","(X)","(X)","(X)","(X)","(X)","","0.0%","1.2%"
"        Margin of Error","(X)","","±1.3","±2.3","±1.3","±1.2","±1.4","±1.3","±1.6","±1.6","±1.6","±1.0","±1.0","±1.0","±1.4","±0.8","±0.6","±0.4","±0.5","±0.3","","±2.5","±0.9","±2.1","±1.6","±2.5","±2.4","±2.1","±2.1","±1.8","±1.5","±1.2","±0.7","","(X)","(X)","(X)","(X)","(X)","","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","19,472","","1,620","2,014","1,431","1,281","1,516","1,122","1,245","2,112","1,128","1,062","1,447","1,033","997","735","296","223","111","99","","3,445","823","5,888","1,974","8,404","14,199","13,584","12,983","2,461","2,178","1,464","433","","32.8","(X)","(X)","(X)","(X)","","(X)","(X)"
"        Margin of Error","±1,334","","±422","±668","±402","±380","±475","±334","±348","±405","±384","±258","±318","±284","±269","±212","±130","±88","±84","±86","","±797","±271","±881","±606","±875","±1,059","±998","±918","±391","±378","±274","±158","","±3.2","(X)","(X)","(X)","(X)","","(X)","(X)"
"    Percent Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","","8.3%","10.3%","7.3%","6.6%","7.8%","5.8%","6.4%","10.8%","5.8%","5.5%","7.4%","5.3%","5.1%","3.8%","1.5%","1.1%","0.6%","0.5%","","17.7%","4.2%","30.2%","10.1%","43.2%","72.9%","69.8%","66.7%","12.6%","11.2%","7.5%","2.2%","","(X)","(X)","(X)","(X)","(X)","","(X)","(X)"
"        Margin of Error","(X)","","±2.0","±3.3","±1.9","±1.8","±2.2","±1.7","±1.9","±2.1","±1.9","±1.3","±1.7","±1.4","±1.4","±1.1","±0.7","±0.4","±0.4","±0.4","","±3.7","±1.4","±3.5","±2.8","±3.3","±3.6","±3.5","±3.4","±2.1","±2.0","±1.4","±0.8","","(X)","(X)","(X)","(X)","(X)","","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","20,026","","1,285","1,924","1,176","953","901","925","2,558","1,510","1,864","1,382","1,160","1,349","1,083","812","542","248","244","110","","3,100","663","5,048","1,191","8,711","15,493","14,978","14,612","3,039","2,456","1,956","602","","36.0","(X)","(X)","(X)","(X)","","(X)","(X)"
"        Margin of Error","±1,236","","±291","±473","±294","±281","±301","±274","±492","±338","±556","±345","±236","±278","±330","±233","±186","±129","±152","±88","","±558","±204","±601","±349","±802","±950","±917","±876","±439","±370","±354","±198","","±1.7","(X)","(X)","(X)","(X)","","(X)","(X)"
"    Percent Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","","6.4%","9.6%","5.9%","4.8%","4.5%","4.6%","12.8%","7.5%","9.3%","6.9%","5.8%","6.7%","5.4%","4.1%","2.7%","1.2%","1.2%","0.5%","","15.5%","3.3%","25.2%","5.9%","43.5%","77.4%","74.8%","73.0%","15.2%","12.3%","9.8%","3.0%","","(X)","(X)","(X)","(X)","(X)","","(X)","(X)"
"        Margin of Error","(X)","","±1.4","±2.1","±1.4","±1.4","±1.5","±1.4","±2.3","±1.8","±2.6","±1.6","±1.2","±1.4","±1.6","±1.2","±0.9","±0.6","±0.8","±0.4","","±2.3","±1.0","±2.2","±1.6","±3.0","±2.4","±2.2","±2.3","±2.2","±1.9","±1.8","±1.0","","(X)","(X)","(X)","(X)","(X)","","(X)","(X)"
"ZCTA5 78612","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","16,234","","1,072","1,371","2,263","1,563","736","805","1,010","1,327","824","824","789","990","999","817","433","201","169","41","","3,634","1,171","5,877","1,128","6,265","11,166","10,357","9,965","2,660","2,244","1,661","411","","31.2","101.5","86.7","19.1","67.6","","(X)","(X)"
"        Margin of Error","±2,025","","±452","±403","±531","±403","±276","±308","±369","±477","±310","±252","±266","±340","±339","±392","±191","±121","±103","±49","","±731","±294","±1,093","±347","±1,063","±1,265","±1,158","±1,081","±566","±551","±469","±175","","±2.8","±10.7","±12.7","±6.2","±10.0","","(X)","(X)"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
