"Label (Grouping)","Population 16 years and over","Population 16 years and over!!AGE","Population 16 years and over!!AGE!!16 to 19 years","Population 16 years and over!!AGE!!20 to 24 years","Population 16 years and over!!AGE!!25 to 29 years","Population 16 years and over!!AGE!!30 to 34 years","Population 16 years and over!!AGE!!35 to 44 years","Population 16 years and over!!AGE!!45 to 54 years","Population 16 years and over!!AGE!!55 to 59 years","Population 16 years and over!!AGE!!60 to 64 years","Population 16 years and over!!AGE!!65 to 74 years","Population 16 years and over!!AGE!!75 years and over","Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN","Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone","Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone","Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone","Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone","Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone","Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone","Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races","Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race)","Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino","Population 20 to 64 years","Population 20 to 64 years!!SEX","Population 20 to 64 years!!SEX!!Male","Population 20 to 64 years!!SEX!!Female","Population 20 to 64 years!!SEX!!Female!!With own children under 18 years","Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years only","Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years and 6 to 17  years","Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children 6 to 17 years only","Population 20 to 64 years!!POVERTY STATUS IN THE PAST 12 MONTHS","Population 20 to 64 years!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level","Population 20 to 64 years!!POVERTY STATUS IN THE PAST 12 MONTHS!!At or above the poverty level","Population 20 to 64 years!!DISABILITY STATUS","Population 20 to 64 years!!DISABILITY STATUS!!With any disability","EDUCATIONAL ATTAINMENT","EDUCATIONAL ATTAINMENT!!Population 25 to 64 years","EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Less than high school graduate","EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!High school graduate (includes equivalency)","EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Some college or associate's degree","EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Bachelor's degree or higher"
"ZCTA5 78610","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","29,692","","1,878","2,417","2,047","3,803","6,614","5,051","2,382","2,080","2,385","1,035","","24,765","1,277","118","359","0","1,148","2,025","11,389","15,814","24,394","","11,662","12,732","4,896","1,237","961","2,698","","1,507","22,887","","1,937","","21,977","1,824","5,506","5,720","8,927"
"        Margin of Error","±1,596","","±474","±572","±518","±595","±842","±597","±399","±547","±405","±292","","±1,400","±361","±154","±179","±30","±383","±863","±1,328","±1,114","±1,304","","±871","±872","±480","±370","±240","±491","","±494","±1,227","","±503","","±1,176","±463","±800","±801","±1,070"
"    Labor Force Participation Rate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","73.3%","","36.4%","84.1%","92.3%","87.1%","87.8%","87.5%","66.7%","58.5%","31.7%","3.7%","","73.4%","72.4%","90.7%","90.3%","-","62.0%","74.2%","72.7%","73.6%","83.1%","","88.7%","77.9%","73.0%","65.4%","79.0%","74.4%","","55.5%","84.9%","","46.8%","","83.0%","68.0%","81.9%","79.0%","89.3%"
"        Margin of Error","±2.8","","±12.1","±10.1","±5.6","±5.3","±4.5","±5.0","±8.9","±8.4","±9.0","±5.4","","±3.3","±9.7","±23.7","±12.9","**","±9.1","±8.1","±4.0","±4.0","±2.9","","±3.6","±4.0","±7.1","±17.2","±11.4","±7.7","","±11.9","±2.7","","±12.0","","±2.9","±11.1","±5.2","±5.0","±3.8"
"    Employment/Population Ratio","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","70.2%","","24.7%","78.2%","88.1%","86.1%","83.2%","87.0%","66.2%","55.2%","31.4%","3.7%","","71.0%","70.6%","89.8%","90.3%","-","60.9%","60.5%","68.9%","71.4%","80.3%","","86.0%","75.1%","72.4%","64.2%","77.5%","74.3%","","36.2%","83.2%","","45.1%","","80.5%","55.8%","78.6%","78.6%","88.0%"
"        Margin of Error","±2.8","","±8.8","±10.3","±6.9","±5.3","±5.3","±5.0","±8.8","±9.0","±9.0","±5.4","","±3.2","±9.4","±26.3","±12.9","**","±8.8","±9.9","±4.3","±3.9","±3.0","","±3.8","±4.4","±7.1","±17.1","±11.8","±7.7","","±13.3","±2.7","","±12.8","","±2.9","±9.0","±5.4","±5.1","±3.9"
"    Unemployment rate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3.9%","","32.3%","7.0%","4.6%","1.2%","4.3%","0.6%","0.7%","5.6%","0.8%","0.0%","","3.0%","2.5%","0.9%","0.0%","-","1.8%","18.4%","4.7%","2.9%","3.1%","","2.5%","3.7%","0.8%","1.9%","1.8%","0.0%","","34.9%","1.7%","","3.6%","","2.6%","18.0%","2.7%","0.5%","1.4%"
"        Margin of Error","±1.4","","±17.5","±6.1","±4.9","±1.5","±3.8","±0.8","±1.1","±6.0","±3.0","±56.6","","±1.2","±3.3","±6.6","±12.9","**","±2.2","±11.8","±2.6","±1.4","±1.3","","±1.5","±2.4","±0.9","±2.9","±3.4","±0.2","","±23.2","±0.7","","±6.3","","±1.3","±14.1","±2.3","±0.5","±0.9"
"ZCTA5 78612","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","11,166","","1,201","736","805","1,010","2,151","1,613","990","999","1,250","411","","5,928","941","46","220","0","2,558","1,473","5,336","4,682","8,304","","3,975","4,329","1,983","427","356","1,200","","1,026","7,278","","986","","7,568","1,748","1,984","2,341","1,495"
"        Margin of Error","±1,265","","±364","±276","±308","±369","±580","±355","±340","±339","±446","±175","","±866","±467","±81","±198","±22","±780","±857","±1,103","±710","±1,040","","±583","±585","±498","±280","±222","±377","","±380","±1,075","","±362","","±975","±533","±483","±573","±482"
"    Labor Force Participation Rate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","56.6%","","21.3%","74.2%","56.3%","69.5%","72.7%","75.8%","79.9%","47.5%","24.7%","0.0%","","57.3%","48.6%","47.8%","100.0%","-","61.5%","44.4%","54.2%","57.3%","69.3%","","81.6%","58.0%","47.8%","68.4%","37.9%","43.3%","","49.8%","72.0%","","31.1%","","68.8%","47.5%","78.6%","66.9%","83.8%"
"        Margin of Error","±5.1","","±11.3","±20.6","±18.8","±15.5","±10.7","±11.6","±11.5","±16.9","±10.2","±10.4","","±5.3","±21.7","±14.9","±18.4","**","±8.7","±18.9","±7.9","±6.3","±5.3","","±7.5","±8.8","±13.5","±19.4","±27.0","±19.3","","±13.0","±5.3","","±15.9","","±5.2","±12.7","±10.0","±9.6","±8.3"
